Complexity,Loss,Equation
1,0.0051040696,"-1.8947117e-5"
2,0.0051039634,"square(7.84755e-5)"
3,0.0050204834,"(-2.0084437e-5 * x5)"
4,0.004657567,"(0.05719934 * cos(x4))"
5,0.0046575647,"tanh(0.05719934 * cos(x4))"
6,0.004607591,"(0.05719934 * cos(x4 / -0.9287483))"
7,0.0041146735,"(square(square(x4 * -0.09871821)) * x0)"
9,0.004060969,"(square(square((0.05719934 * -1.8432375) * x4)) * x0)"
10,0.003989573,"(square(square(0.05719934 * square(x4)) * 0.8796859) * x0)"
11,0.0039686337,"(square(square(sin(0.05719934 * square(x4))) * 0.8796859) * x0)"
12,0.0039554285,"(square(square(sin(sin(0.05719934 * square(x4)))) * 0.8796859) * x0)"
13,0.003946714,"(square(square(sin(sin(tanh(0.05719934 * square(x4))))) * 0.8796859) * x0)"
15,0.003943292,"(square(square(sin(sin(0.05719934 * square(x4 + 0.07547612)))) * sin(0.8796859)) * x0)"
