complexity,loss,score,equation,sympy_format,lambda_format
1,0.00020743151,0.0,0.0110056205,0.0110056205000000,PySRFunction(X=>0.0110056205000000)
4,0.00010759091,0.2188216827635221,(1.003477 - cos(x1)),1.003477 - cos(x1),PySRFunction(X=>1.003477 - cos(x1))
5,0.000106162086,0.013369125188749399,(1.0036085 - cos(sin(x1))),1.0036085 - cos(sin(x1)),PySRFunction(X=>1.0036085 - cos(sin(x1)))
6,8.245118e-05,0.2527606788091733,(1.0050993 - cos(x1 - -0.04670307)),1.0050993 - cos(x1 + 0.04670307),PySRFunction(X=>1.0050993 - cos(x1 + 0.04670307))
7,5.381461e-05,0.42666136896733686,(0.84561044 - sin(cos(x3 + x1))),0.84561044 - sin(cos(x1 + x3)),PySRFunction(X=>0.84561044 - sin(cos(x1 + x3)))
8,5.283615e-05,0.01834937610890817,(0.84591144 - sin(cos(sin(x3 + x1)))),0.84591144 - sin(cos(sin(x1 + x3))),PySRFunction(X=>0.84591144 - sin(cos(sin(x1 + x3))))
9,4.433313e-05,0.1754633624540536,cos((-0.5712787 - cos(x1)) * cos(x0)),cos((-cos(x1) - 0.5712787)*cos(x0)),PySRFunction(X=>cos((-cos(x1) - 0.5712787)*cos(x0)))
10,4.3185813e-05,0.026220214540674965,cos((-0.57114565 - cos(sin(x1))) * cos(x0)),cos((-cos(sin(x1)) - 0.57114565)*cos(x0)),PySRFunction(X=>cos((-cos(sin(x1)) - 0.57114565)*cos(x0)))
11,2.7379721e-05,0.45570940864754994,(1.003477 - cos(((x1 - x2) * 0.539978) + x3)),1.003477 - cos(0.539978*x1 - 0.539978*x2 + x3),PySRFunction(X=>1.003477 - cos(0.539978*x1 - 0.539978*x2 + x3))
12,2.7326529e-05,0.0019446413074448556,(1.003477 - cos((sin(x1 - x2) * 0.539978) + x3)),1.003477 - cos(x3 + 0.539978*sin(x1 - x2)),PySRFunction(X=>1.003477 - cos(x3 + 0.539978*sin(x1 - x2)))
13,1.520488e-05,0.5862415596238494,(1.003477 - cos(((x1 - (x2 - 0.051296983)) * 0.6004273) + x3)),1.003477 - cos(0.6004273*x1 - 0.6004273*x2 + x3 + 0.0308001090008359),PySRFunction(X=>1.003477 - cos(0.6004273*x1 - 0.6004273*x2 + x3 + 0.0308001090008359))
14,1.5198379e-05,0.00042765152900732474,(1.003477 - cos(((x1 - (x2 - 0.051296983)) * cos(-0.9323131)) + x3)),1.003477 - cos(0.59597815752132*x1 - 0.59597815752132*x2 + x3 + 0.0305718814147425),PySRFunction(X=>1.003477 - cos(0.59597815752132*x1 - 0.59597815752132*x2 + x3 + 0.0305718814147425))
15,1.5197613e-05,5.040138187703611e-05,sin(1.003477 - cos(((x1 - (x2 - 0.051296983)) * cos(-0.9323131)) + x3)),-sin(cos(0.59597815752132*x1 - 0.59597815752132*x2 + x3 + 0.0305718814147425) - 1.003477),PySRFunction(X=>-sin(cos(0.59597815752132*x1 - 0.59597815752132*x2 + x3 + 0.0305718814147425) - 1.003477))
16,1.4899132e-05,0.019835419825591276,(1.003477 - cos(((x1 - (x2 - 0.051296983)) * 0.5817352) + (x3 * 1.029074))),1.003477 - cos(0.5817352*x1 - 0.5817352*x2 + 1.029074*x3 + 0.0298412606649016),PySRFunction(X=>1.003477 - cos(0.5817352*x1 - 0.5817352*x2 + 1.029074*x3 + 0.0298412606649016))
17,1.4750246e-05,0.010043195608111212,(1.003477 - cos(((x1 - x2) * sin(sin(0.6501197 - x3))) + (x3 + 0.038844783))),1.003477 - cos(x3 - (x1 - x2)*sin(sin(x3 - 0.6501197)) + 0.038844783),PySRFunction(X=>1.003477 - cos(x3 - (x1 - x2)*sin(sin(x3 - 0.6501197)) + 0.038844783))
18,1.4728024e-05,0.001507687134247861,(1.003477 - cos(((x1 - x2) * sin(sin(0.6501197 - sin(x3)))) + (x3 + 0.038844783))),1.003477 - cos(x3 - (x1 - x2)*sin(sin(sin(x3) - 0.6501197)) + 0.038844783),PySRFunction(X=>1.003477 - cos(x3 - (x1 - x2)*sin(sin(sin(x3) - 0.6501197)) + 0.038844783))
19,1.38135165e-05,0.06410450414826889,(1.003477 - cos((((x1 - (x2 - 0.051296983)) * 0.6200832) * cos(x3 + x3)) + x3)),1.003477 - cos(x3 + (0.6200832*x1 - 0.6200832*x2 + 0.0318083973689856)*cos(2*x3)),PySRFunction(X=>1.003477 - cos(x3 + (0.6200832*x1 - 0.6200832*x2 + 0.0318083973689856)*cos(2*x3)))
20,1.327677e-05,0.03963167775710121,(1.003477 - cos((((x1 - (x2 - 0.051296983)) * 0.6200832) * cos(x3 * 2.6290529)) + x3)),1.003477 - cos(x3 + (0.6200832*x1 - 0.6200832*x2 + 0.0318083973689856)*cos(2.6290529*x3)),PySRFunction(X=>1.003477 - cos(x3 + (0.6200832*x1 - 0.6200832*x2 + 0.0318083973689856)*cos(2.6290529*x3)))
21,1.27849e-05,0.03775110452669122,(1.003477 - cos((((x1 - (x2 - 0.051296983)) * 0.6200832) * cos((x3 - x1) + x3)) + x3)),1.003477 - cos(x3 + (0.6200832*x1 - 0.6200832*x2 + 0.0318083973689856)*cos(x1 - 2*x3)),PySRFunction(X=>1.003477 - cos(x3 + (0.6200832*x1 - 0.6200832*x2 + 0.0318083973689856)*cos(x1 - 2*x3)))
22,1.2483715e-05,0.023839792120006732,(1.003477 - cos((((x1 - (x2 - 0.051296983)) * 0.6200832) * cos((x3 + x0) * 2.6290529)) + x3)),1.003477 - cos(x3 + (0.6200832*x1 - 0.6200832*x2 + 0.0318083973689856)*cos(2.6290529*x0 + 2.6290529*x3)),PySRFunction(X=>1.003477 - cos(x3 + (0.6200832*x1 - 0.6200832*x2 + 0.0318083973689856)*cos(2.6290529*x0 + 2.6290529*x3)))
23,1.1724611e-05,0.06273485811684527,(1.003477 - cos((((x1 - (x2 - 0.051296983)) * 0.6200832) * cos(((x3 - x1) + x3) + x3)) + x3)),1.003477 - cos(x3 + (0.6200832*x1 - 0.6200832*x2 + 0.0318083973689856)*cos(x1 - 3*x3)),PySRFunction(X=>1.003477 - cos(x3 + (0.6200832*x1 - 0.6200832*x2 + 0.0318083973689856)*cos(x1 - 3*x3)))
24,1.1720585e-05,0.0003434392307551641,(1.003477 - cos((((x1 - (x2 - 0.051296983)) * 0.6200832) * cos(((sin(x3) - x1) + x3) + x3)) + x3)),1.003477 - cos(x3 + (0.6200832*x1 - 0.6200832*x2 + 0.0318083973689856)*cos(-x1 + 2*x3 + sin(x3))),PySRFunction(X=>1.003477 - cos(x3 + (0.6200832*x1 - 0.6200832*x2 + 0.0318083973689856)*cos(-x1 + 2*x3 + sin(x3))))
25,1.094189e-05,0.06874815499459896,(1.003477 - cos(((x1 - x2) * sin(sin(cos(sin(x3 / -0.13388862) - x3)))) + (x3 + 0.038844783))),1.003477 - cos(x3 + (x1 - x2)*sin(sin(cos(x3 + sin(7.46889466782166*x3)))) + 0.038844783),PySRFunction(X=>1.003477 - cos(x3 + (x1 - x2)*sin(sin(cos(x3 + sin(7.46889466782166*x3)))) + 0.038844783))
26,1.0218539e-05,0.06839492301803479,(1.0034783 - cos(((x1 - x2) * (sin(cos(sin(x3 / -0.15013677) + x2)) + -0.073304094)) + (x3 + 0.038844783))),1.0034783 - cos(x3 + (x1 - x2)*(sin(cos(x2 - sin(6.66059353747919*x3))) - 0.073304094) + 0.038844783),PySRFunction(X=>1.0034783 - cos(x3 + (x1 - x2)*(sin(cos(x2 - sin(6.66059353747919*x3))) - 0.073304094) + 0.038844783))
27,9.9890185e-06,0.022717279980766118,(1.003477 - cos(((x1 - x2) * sin(sin(cos((sin(x3 / -0.15013677) + x2) - x3)))) + (x3 + 0.038844783))),1.003477 - cos(x3 + (x1 - x2)*sin(sin(cos(-x2 + x3 + sin(6.66059353747919*x3)))) + 0.038844783),PySRFunction(X=>1.003477 - cos(x3 + (x1 - x2)*sin(sin(cos(-x2 + x3 + sin(6.66059353747919*x3)))) + 0.038844783))
