complexity,loss,score,equation,sympy_format,lambda_format
1,0.00040338494,0.0,0.012711044,0.0127110440000000,PySRFunction(X=>0.0127110440000000)
2,0.0004033849,9.916087099030532e-08,sin(0.012711453),0.0127111106811386,PySRFunction(X=>0.0127111106811386)
4,0.00010444185,0.6756303678981517,(x1 * x1),x1**2,PySRFunction(X=>x1**2)
6,9.429816e-05,0.0510843899699227,((x1 * x1) + 0.0031849162),x1**2 + 0.0031849162,PySRFunction(X=>x1**2 + 0.0031849162)
8,8.497345e-05,0.05206141124856242,((x1 - -0.0363219) * (x1 - x0)),(-x0 + x1)*(x1 + 0.0363219),PySRFunction(X=>(-x0 + x1)*(x1 + 0.0363219))
9,8.472704e-05,0.002904059654467112,sin((0.033472516 + x1) * (x1 - x0)),sin((-x0 + x1)*(x1 + 0.033472516)),PySRFunction(X=>sin((-x0 + x1)*(x1 + 0.033472516)))
10,8.455041e-05,0.002086870567844631,tanh(tanh((0.033472516 + x1) * (x1 - x0))),tanh(tanh((-x0 + x1)*(x1 + 0.033472516))),PySRFunction(X=>tanh(tanh((-x0 + x1)*(x1 + 0.033472516))))
11,6.470572e-05,0.26749831889829895,((x1 + (x0 * x0)) * (x1 - x0)),(-x0 + x1)*(x0**2 + x1),PySRFunction(X=>(-x0 + x1)*(x0**2 + x1))
12,6.4655855e-05,0.0007709399405466462,tanh((x1 + (x0 * x0)) * (x1 - x0)),tanh((-x0 + x1)*(x0**2 + x1)),PySRFunction(X=>tanh((-x0 + x1)*(x0**2 + x1)))
13,4.8030233e-05,0.2972479988959683,((x1 + ((x0 + x0) * x0)) * (x1 - x0)),(-x0 + x1)*(2*x0**2 + x1),PySRFunction(X=>(-x0 + x1)*(2*x0**2 + x1))
15,2.5950033e-18,15.274631997217439,(((x0 * (x0 / x1)) + x1) * x1),x1*(x0**2/x1 + x1),PySRFunction(X=>x1*(x0**2/x1 + x1))
