complexity,loss,score,equation,sympy_format,lambda_format
1,0.0006804673,0.0,0.020251852,0.0202518520000000,PySRFunction(X=>0.0202518520000000)
2,0.0006804672,1.4695784414514254e-07,sin(0.020250361),0.0202489769934227,PySRFunction(X=>0.0202489769934227)
4,0.0001381741,0.7971325684289955,(x1 * x1),x1**2,PySRFunction(X=>x1**2)
6,7.220131e-05,0.3245281472201648,((x1 - x0) * x1),x1*(-x0 + x1),PySRFunction(X=>x1*(-x0 + x1))
7,7.020866e-05,0.027986524531817547,(x1 * tanh(x1 - x0)),-x1*tanh(x0 - x1),PySRFunction(X=>-x1*tanh(x0 - x1))
8,6.412054e-05,0.09070691583149833,((x1 * (x1 - x0)) - -0.0028426717),x1*(-x0 + x1) + 0.0028426717,PySRFunction(X=>x1*(-x0 + x1) + 0.0028426717)
9,5.959323e-05,0.07322277239980889,((x1 * tanh(x1 - x0)) - -0.0028426717),-x1*tanh(x0 - x1) + 0.0028426717,PySRFunction(X=>-x1*tanh(x0 - x1) + 0.0028426717)
10,5.6937883e-05,0.04558107534383821,(((x1 - -0.017145732) * (x1 - x0)) - -0.0028426717),(-x0 + x1)*(x1 + 0.017145732) + 0.0028426717,PySRFunction(X=>(-x0 + x1)*(x1 + 0.017145732) + 0.0028426717)
11,5.4456203e-05,0.044564137752609485,((tanh(x1 - -0.017145732) * (x1 - x0)) - -0.0028426717),(-x0 + x1)*tanh(x1 + 0.017145732) + 0.0028426717,PySRFunction(X=>(-x0 + x1)*tanh(x1 + 0.017145732) + 0.0028426717)
12,4.9696886e-05,0.09145448871492409,((x1 + (x0 * x0)) * tanh(x1 - x0)),-(x0**2 + x1)*tanh(x0 - x1),PySRFunction(X=>-(x0**2 + x1)*tanh(x0 - x1))
13,4.7017966e-05,0.05541249121574812,((x1 + (x0 * x0)) * tanh(tanh(x1 - x0))),-(x0**2 + x1)*tanh(tanh(x0 - x1)),PySRFunction(X=>-(x0**2 + x1)*tanh(tanh(x0 - x1)))
14,4.6614605e-05,0.008615879942775262,((x1 + (x0 * x0)) * tanh(tanh(sin(x1 - x0)))),-(x0**2 + x1)*tanh(tanh(sin(x0 - x1))),PySRFunction(X=>-(x0**2 + x1)*tanh(tanh(sin(x0 - x1))))
15,5.1243645e-18,29.838928502638193,((x1 + ((x0 * x0) / x1)) * x1),x1*(x0**2/x1 + x1),PySRFunction(X=>x1*(x0**2/x1 + x1))
