complexity,loss,score,equation,sympy_format,lambda_format
1,0.0006804673,0.0,0.020244848,0.0202448480000000,PySRFunction(X=>0.0202448480000000)
2,0.00068046723,1.0287048864505813e-07,tanh(0.020247066),0.0202442997346784,PySRFunction(X=>0.0202442997346784)
4,0.0001381741,0.7971325904726732,(x1 * x1),x1**2,PySRFunction(X=>x1**2)
6,7.220131e-05,0.3245281472201648,((x1 - x0) * x1),x1*(-x0 + x1),PySRFunction(X=>x1*(-x0 + x1))
7,7.020866e-05,0.027986524531817547,(tanh(x1 - x0) * x1),-x1*tanh(x0 - x1),PySRFunction(X=>-x1*tanh(x0 - x1))
8,6.695531e-05,0.04744628333451532,((-0.014542576 - x1) * (x0 - x1)),(x0 - x1)*(-x1 - 0.014542576),PySRFunction(X=>(x0 - x1)*(-x1 - 0.014542576))
9,6.4874235e-05,0.03157483240315472,((-0.014542576 - x1) * tanh(x0 - x1)),(-x1 - 0.014542576)*tanh(x0 - x1),PySRFunction(X=>(-x1 - 0.014542576)*tanh(x0 - x1))
10,5.683066e-05,0.13237458068304572,(((-0.016562596 - x1) * (x0 - x1)) + 0.0033273557),(x0 - x1)*(-x1 - 0.016562596) + 0.0033273557,PySRFunction(X=>(x0 - x1)*(-x1 - 0.016562596) + 0.0033273557)
11,5.169429e-05,0.09472863828534296,(((-0.016562596 - x1) * tanh(x0 - x1)) + 0.0033273557),(-x1 - 0.016562596)*tanh(x0 - x1) + 0.0033273557,PySRFunction(X=>(-x1 - 0.016562596)*tanh(x0 - x1) + 0.0033273557)
12,4.952012e-05,0.04296827890389199,(((-0.016562596 - x1) * tanh(tanh(x0 - x1))) + 0.0033273557),(-x1 - 0.016562596)*tanh(tanh(x0 - x1)) + 0.0033273557,PySRFunction(X=>(-x1 - 0.016562596)*tanh(tanh(x0 - x1)) + 0.0033273557)
13,4.9265003e-05,0.005165100967137705,(((-0.016562596 - x1) * tanh(tanh(sin(x0 - x1)))) + 0.0033273557),(-x1 - 0.016562596)*tanh(tanh(sin(x0 - x1))) + 0.0033273557,PySRFunction(X=>(-x1 - 0.016562596)*tanh(tanh(sin(x0 - x1))) + 0.0033273557)
14,2.8050827e-05,0.563195836069553,((((x0 * x7) * x5) - x1) * (x0 - x1)),(x0 - x1)*(x0*x5*x7 - x1),PySRFunction(X=>(x0 - x1)*(x0*x5*x7 - x1))
15,4.8892072999999995e-18,29.37800904652193,((x1 + (x0 * (x0 / x1))) * x1),x1*(x0**2/x1 + x1),PySRFunction(X=>x1*(x0**2/x1 + x1))
