complexity, loss        , score                , equation                                                                                                     , sympy_format                                                   , lambda_format
         1, 0.004721029 , 0.0                  , 0.0006245248                                                                                                 , 0.000624524800000000                                           , PySRFunction(X=>0.000624524800000000)
         2, 0.004448064 , 0.059557838977669426 , square(theta_angle)                                                                                          , theta_angle**2                                                 , PySRFunction(X=>theta_angle**2)
         3, 0.0041214735, 0.07625820028142744  , (-0.0009889985 * theta_v_sway)                                                                               , -0.0009889985*theta_v_sway                                     , PySRFunction(X=>-0.0009889985*theta_v_sway)
         5, 0.003924864 , 0.024439522050010046 , (0.0006245248 * (gamma_v_sway - theta_v_sway))                                                               , 0.0006245248*gamma_v_sway - 0.0006245248*theta_v_sway          , PySRFunction(X=>0.0006245248*gamma_v_sway - 0.0006245248*theta_v_sway)
         6, 0.003784948 , 0.03629955259870558  , ((gamma_angle * neg(-1.5735851e-6)) * v_sway_sq)                                                             , 1.5735851e-6*gamma_angle*v_sway_sq                             , PySRFunction(X=>1.5735851e-6*gamma_angle*v_sway_sq)
         7, 0.0037800667, 0.0012904933753616324, ((tanh(gamma_angle) * neg(-1.5735851e-6)) * v_sway_sq)                                                       , 1.5735851e-6*v_sway_sq*tanh(gamma_angle)                       , PySRFunction(X=>1.5735851e-6*v_sway_sq*tanh(gamma_angle))
         9, 0.0037454967, 0.00459370831515908  , (((gamma_angle * -1.5735851e-6) / -0.63494825) * (v_sway_sq - v_surge_X_v_sway))                             , 2.47828874242901e-6*gamma_angle*(-v_surge_X_v_sway + v_sway_sq), PySRFunction(X=>2.47828874242901e-6*gamma_angle*(-v_surge_X_v_sway + v_sway_sq))
        10, 0.0037157258, 0.007980209139547364 , (((gamma_angle * tanh(-1.5735851e-6)) / tanh(neg(l))) * v_sway_sq)                                           , 1.5735850999987e-6*gamma_angle*v_sway_sq/tanh(l)               , PySRFunction(X=>1.5735850999987e-6*gamma_angle*v_sway_sq/tanh(l))
        11, 0.0037067798, 0.002410507937309768 , (((tanh(gamma_angle) * tanh(-1.5735851e-6)) / tanh(neg(l))) * v_sway_sq)                                     , 1.5735850999987e-6*v_sway_sq*tanh(gamma_angle)/tanh(l)         , PySRFunction(X=>1.5735850999987e-6*v_sway_sq*tanh(gamma_angle)/tanh(l))
        14, 0.0036778436, 0.0026123063678920922, (square((theta_v_sway - theta_v_sway) + gamma_angle) - tanh((0.0015537702 * 0.82238746) * neg(gamma_v_sway))), gamma_angle**2 + tanh(0.00127780112820169*gamma_v_sway)        , PySRFunction(X=>gamma_angle**2 + tanh(0.00127780112820169*gamma_v_sway))
