Complexity,Loss,Equation
1,0.99927366,"theta"
2,0.99903095,"square(gamma_)"
3,0.9938195,"(-0.072544016 - gamma_)"
5,0.99337196,"((v_surge * gamma_v_sway_l) * -2.2947788e-5)"
6,0.99330187,"((-0.072544016 - gamma_) - sin(dtheta))"
7,0.9925487,"((-0.072544016 - gamma_) - (dtheta * 0.5401524))"
8,0.9925299,"((-0.072544016 - gamma_) - (sin(dtheta) * 0.5401524))"
9,0.99198735,"((-0.072544016 - gamma_) - (neg(sin(theta_v_surge)) * dgamma))"
10,0.9917573,"((-0.072544016 - gamma_) - (sin(theta - theta_v_surge) * dgamma))"
11,0.99175465,"((-0.072544016 - gamma_) - sin(sin(theta - theta_v_surge) * dgamma))"
12,0.99093103,"((-0.072544016 - gamma_) - (sin((theta / 0.17925373) - theta_v_surge) * dgamma))"
14,0.99075866,"((-0.072544016 - gamma_) - (sin(((1.4749657 * theta) / 0.17925373) - theta_v_surge) * dgamma))"
15,0.9904061,"((-0.072544016 - gamma_) - (sin(((1.4749657 * theta) / dgamma) - sin(theta_v_surge)) * dgamma))"
16,0.99039316,"((-0.072544016 - gamma_) - (sin(((1.4749657 * sin(theta)) / dgamma) - sin(theta_v_surge)) * dgamma))"
17,0.9903167,"((-0.072544016 - gamma_) - (sin((((1.4749657 + -0.38177544) * theta) / dgamma) - sin(theta_v_surge)) * dgamma))"
