Complexity,Loss,Equation
1,0.004721029,"0.0006245435"
3,0.004084552,"(0.0010219977 * gamma_v_sway_l)"
5,0.0037064233,"((2.3317014e-6 * v_sway_sq_l) * sin_gamma)"
6,0.003704163,"((2.3317014e-6 * v_sway_sq_l) * sin(sin_gamma))"
7,0.0024997895,"(((0.0026213322 * gamma_v_sway) - 0.045304447) - sin_gamma)"
8,0.0024611661,"(sin((0.0027516668 * gamma_v_sway) - 0.045260258) - sin_gamma)"
9,0.0024221404,"(sin(sin((0.0027516668 * gamma_v_sway) - 0.045260258)) - sin_gamma)"
10,0.002398064,"(sin(sin(sin((0.0027516668 * gamma_v_sway) - 0.04581704))) - sin_gamma)"
11,0.002194286,"((((0.0038609994 * gamma_v_sway) / (1.2729119 - sin_gamma)) - 0.045758177) - sin_gamma)"
12,0.0020891943,"((((0.0046632695 * sin(sin_gamma - -0.8044316)) * gamma_v_sway) - 0.047212377) - sin_gamma)"
13,0.0020737418,"(sin(((0.0046632695 * sin(sin_gamma - -0.8044316)) * gamma_v_sway) - 0.047212377) - sin_gamma)"
14,0.00202439,"((((0.0038609994 * sin((sin_gamma + sin_gamma) - -1.1657187)) * gamma_v_sway) - 0.045758177) - sin_gamma)"
15,0.0020211928,"((sin((0.0038609994 * sin((sin_gamma + sin_gamma) - -1.1657187)) * gamma_v_sway) - 0.045758177) - sin_gamma)"
16,0.001995936,"((((0.0038609994 * sin((sin_gamma / 0.4266327) - (-1.1657187 - T_l))) * gamma_v_sway) - 0.045758177) - sin_gamma)"
17,0.0019835383,"(((sin((0.0038609994 * sin((sin_gamma + sin_gamma) - -1.1657187)) * gamma_v_sway) - 0.045758177) - sin_gamma) / 0.8845626)"
18,0.0019744588,"(((sin(sin((0.0038609994 * sin((sin_gamma + sin_gamma) - -1.1657187)) * gamma_v_sway)) - 0.045758177) - sin_gamma) / 0.8845626)"
19,0.0019742607,"sin(((sin(sin((0.0038609994 * sin((sin_gamma + sin_gamma) - -1.1657187)) * gamma_v_sway)) - 0.045758177) - sin_gamma) / 0.8845626)"
20,0.0019726579,"(((sin(sin((0.0038609994 * sin((sin_gamma + sin_gamma) - -1.1657187)) * gamma_v_sway)) - 0.045758177) - sin_gamma) * (1.383351 + -0.20064263))"
21,0.0019550864,"((sin(sin((0.0038609994 * sin((sin_gamma + sin_gamma) - -1.1657187)) * gamma_v_sway) - 0.045758177) - sin_gamma) / sin(sin_gamma - -1.1657187))"
23,0.0019489767,"((sin(sin((0.0038609994 * sin((sin_gamma + sin_gamma) - -1.1657187)) * gamma_v_sway) - 0.045758177) - sin_gamma) / sin(sin_gamma - (-1.1657187 + T_l)))"
