complexity, loss        , score                 , equation                                                                                                                                               , sympy_format                                                                                                                             , lambda_format
         1, 0.004721029 , 0.0                   , 0.0006245435                                                                                                                                           , 0.000624543500000000                                                                                                                     , PySRFunction(X=>0.000624543500000000)
         3, 0.004084552 , 0.07240736576823276   , (0.0010219977 * gamma_v_sway_l)                                                                                                                        , 0.0010219977*gamma_v_sway_l                                                                                                              , PySRFunction(X=>0.0010219977*gamma_v_sway_l)
         5, 0.0037064233, 0.0485723556255774    , ((2.3317014e-6 * v_sway_sq_l) * sin_gamma)                                                                                                             , 2.3317014e-6*sin_gamma*v_sway_sq_l                                                                                                       , PySRFunction(X=>2.3317014e-6*sin_gamma*v_sway_sq_l)
         6, 0.003704163 , 0.0006100192288679228 , ((2.3317014e-6 * v_sway_sq_l) * sin(sin_gamma))                                                                                                        , 2.3317014e-6*v_sway_sq_l*sin(sin_gamma)                                                                                                  , PySRFunction(X=>2.3317014e-6*v_sway_sq_l*sin(sin_gamma))
         7, 0.0024997895, 0.39325079396602186   , (((0.0026213322 * gamma_v_sway) - 0.045304447) - sin_gamma)                                                                                            , 0.0026213322*gamma_v_sway - sin_gamma - 0.045304447                                                                                      , PySRFunction(X=>0.0026213322*gamma_v_sway - sin_gamma - 0.045304447)
         8, 0.0024611661, 0.015571266308690327  , (sin((0.0027516668 * gamma_v_sway) - 0.045260258) - sin_gamma)                                                                                         , -sin_gamma + sin(0.0027516668*gamma_v_sway - 0.045260258)                                                                                , PySRFunction(X=>-sin_gamma + sin(0.0027516668*gamma_v_sway - 0.045260258))
         9, 0.0024221404, 0.015983649948686417  , (sin(sin((0.0027516668 * gamma_v_sway) - 0.045260258)) - sin_gamma)                                                                                    , -sin_gamma + sin(sin(0.0027516668*gamma_v_sway - 0.045260258))                                                                           , PySRFunction(X=>-sin_gamma + sin(sin(0.0027516668*gamma_v_sway - 0.045260258)))
        10, 0.002398064 , 0.009989866915156473  , (sin(sin(sin((0.0027516668 * gamma_v_sway) - 0.04581704))) - sin_gamma)                                                                                , -sin_gamma + sin(sin(sin(0.0027516668*gamma_v_sway - 0.04581704)))                                                                       , PySRFunction(X=>-sin_gamma + sin(sin(sin(0.0027516668*gamma_v_sway - 0.04581704))))
        11, 0.002194286 , 0.08880503628406515   , ((((0.0038609994 * gamma_v_sway) / (1.2729119 - sin_gamma)) - 0.045758177) - sin_gamma)                                                                , 0.0038609994*gamma_v_sway/(1.2729119 - sin_gamma) - sin_gamma - 0.045758177                                                              , PySRFunction(X=>0.0038609994*gamma_v_sway/(1.2729119 - sin_gamma) - sin_gamma - 0.045758177)
        12, 0.0020891943, 0.049078219613312137  , ((((0.0046632695 * sin(sin_gamma - -0.8044316)) * gamma_v_sway) - 0.047212377) - sin_gamma)                                                            , 0.0046632695*gamma_v_sway*sin(sin_gamma + 0.8044316) - sin_gamma - 0.047212377                                                           , PySRFunction(X=>0.0046632695*gamma_v_sway*sin(sin_gamma + 0.8044316) - sin_gamma - 0.047212377)
        13, 0.0020737418, 0.007423880933796952  , (sin(((0.0046632695 * sin(sin_gamma - -0.8044316)) * gamma_v_sway) - 0.047212377) - sin_gamma)                                                         , -sin_gamma + sin(0.0046632695*gamma_v_sway*sin(sin_gamma + 0.8044316) - 0.047212377)                                                     , PySRFunction(X=>-sin_gamma + sin(0.0046632695*gamma_v_sway*sin(sin_gamma + 0.8044316) - 0.047212377))
        14, 0.00202439  , 0.024086187715073523  , ((((0.0038609994 * sin((sin_gamma + sin_gamma) - -1.1657187)) * gamma_v_sway) - 0.045758177) - sin_gamma)                                              , 0.0038609994*gamma_v_sway*sin(2*sin_gamma + 1.1657187) - sin_gamma - 0.045758177                                                         , PySRFunction(X=>0.0038609994*gamma_v_sway*sin(2*sin_gamma + 1.1657187) - sin_gamma - 0.045758177)
        15, 0.0020211928, 0.0015805884213367556 , ((sin((0.0038609994 * sin((sin_gamma + sin_gamma) - -1.1657187)) * gamma_v_sway) - 0.045758177) - sin_gamma)                                           , -sin_gamma + sin(0.0038609994*gamma_v_sway*sin(2*sin_gamma + 1.1657187)) - 0.045758177                                                   , PySRFunction(X=>-sin_gamma + sin(0.0038609994*gamma_v_sway*sin(2*sin_gamma + 1.1657187)) - 0.045758177)
