Complexity,Loss,Equation
1,0.002679396,"0.0018324003"
3,0.001782234,"(0.000351046 * v_surge)"
4,0.0017822285,"sin(0.00035163778 * v_surge)"
5,0.0015911172,"((0.00041492327 * v_surge) + 0.014864117)"
6,0.0015907874,"(sin(0.0004149272 * v_surge) - -0.014864287)"
7,0.0014619686,"((0.00046386785 * v_surge) + (-0.32111898 * sin_theta))"
8,0.0014578812,"((0.00046386785 * v_surge) + (sin(-0.44513148) * sin_theta))"
9,0.0014022125,"((0.00046386785 * v_surge) + ((sin_theta + -0.076343454) * -0.31191397))"
10,0.0012954527,"sin((0.0006564801 * v_surge) + ((sin_theta + -0.034180854) * -0.4713606))"
11,0.0012941626,"sin(sin((0.0006564801 * v_surge) + ((sin_theta + -0.034180854) * -0.4713606)))"
12,0.0012701197,"sin((0.0006564801 * (v_surge + theta_v_surge)) + ((sin_theta + -0.034180854) * -0.4713606))"
13,0.0012511216,"(0.008951332 * (((0.062913254 * v_surge) - ((sin_theta / -0.30936465) / -0.06697533)) + 1.544284))"
14,0.0012503216,"sin(0.008951332 * ((0.062913254 * v_surge) - (((sin_theta / -0.30936465) / -0.06697533) + -1.5900626)))"
15,0.0012480386,"(0.008951332 * (((0.062913254 * v_surge) - -1.4949718) - (((sin_theta / -0.30936465) / -0.06697533) - delta_H_l)))"
16,0.0012290664,"(0.008951332 * (((0.062913254 * v_surge) + (cos(delta_H_l) + 0.8227956)) - ((sin_theta / -0.32463112) / -0.06697533)))"
17,0.0012194248,"(0.008951332 * ((((0.062913254 * v_surge) - -1.4949718) + delta_H_l) - (((sin_theta / -0.30936465) / -0.06697533) - 0.58905214)))"
18,0.0012109589,"(0.008951332 * ((((0.062913254 * v_surge) - -1.4949718) + cos(delta_H_l)) - (((sin_theta / -0.30936465) / -0.06697533) - delta_H_l)))"
19,0.0011986125,"(0.008951332 * ((((((0.062913254 * v_surge) + 1.1067141) + delta_H_l) + delta_H_l) - -1.4949718) - ((sin_theta / -0.30936465) / -0.06697533)))"
20,0.0011876686,"(0.008951332 * ((((0.062913254 * v_surge) - -1.4949718) + cos(delta_H_l)) - (((sin_theta / -0.30936465) / -0.06697533) - (delta_H_l + delta_H_l))))"
22,0.0011876612,"(0.008951332 * (((((0.062913254 * v_surge) - -1.4949718) + cos(delta_H_l)) - (((sin_theta / -0.30936465) / -0.06697533) - (delta_H_l + delta_H_l))) + 0.00046386785))"
23,0.0011776363,"(0.008951332 * (((((0.062913254 * v_surge) + delta_H_l) + ((cos(delta_H_l) + delta_H_l) * 1.6547468)) - -1.4949718) - ((sin_theta / sin(-0.28065857)) / -0.06697533)))"
24,0.0011744477,"(0.008951332 * (((((0.062913254 * v_surge) + delta_H_l) + ((sin(cos(delta_H_l)) + delta_H_l) * 1.6547468)) - -1.4949718) - ((sin_theta / sin(-0.28065857)) / -0.06697533)))"
25,0.001170631,"(0.008951332 * (((((0.062913254 * v_surge) + delta_H_l) + (((cos(delta_H_l) + delta_H_l) - T_l) * 1.6547468)) - -1.4949718) - ((sin_theta / sin(-0.30936465)) / -0.06697533)))"
