complexity,loss,score,equation,sympy_format,lambda_format
1,0.002679396,0.0,0.0018324003,0.00183240030000000,PySRFunction(X=>0.00183240030000000)
3,0.001782234,0.2038618812144898,(0.000351046 * v_surge),0.000351046*v_surge,PySRFunction(X=>0.000351046*v_surge)
4,0.0017822285,3.086019280568673e-06,sin(0.00035163778 * v_surge),sin(0.00035163778*v_surge),PySRFunction(X=>sin(0.00035163778*v_surge))
5,0.0015911172,0.11342813653523515,((0.00041492327 * v_surge) + 0.014864117),0.00041492327*v_surge + 0.014864117,PySRFunction(X=>0.00041492327*v_surge + 0.014864117)
6,0.0015907874,0.00020729722769257443,(sin(0.0004149272 * v_surge) - -0.014864287),sin(0.0004149272*v_surge) + 0.014864287,PySRFunction(X=>sin(0.0004149272*v_surge) + 0.014864287)
7,0.0014619686,0.08444523010814502,((0.00046386785 * v_surge) + (-0.32111898 * sin_theta)),-0.32111898*sin_theta + 0.00046386785*v_surge,PySRFunction(X=>-0.32111898*sin_theta + 0.00046386785*v_surge)
8,0.0014578812,0.0027997348835742822,((0.00046386785 * v_surge) + (sin(-0.44513148) * sin_theta)),-0.430576551830193*sin_theta + 0.00046386785*v_surge,PySRFunction(X=>-0.430576551830193*sin_theta + 0.00046386785*v_surge)
9,0.0014022125,0.03893280247136299,((0.00046386785 * v_surge) + ((sin_theta + -0.076343454) * -0.31191397)),-0.31191397*sin_theta + 0.00046386785*v_surge + 0.0238125898206524,PySRFunction(X=>-0.31191397*sin_theta + 0.00046386785*v_surge + 0.0238125898206524)
10,0.0012954527,0.07919113695995496,sin((0.0006564801 * v_surge) + ((sin_theta + -0.034180854) * -0.4713606)),sin(-0.4713606*sin_theta + 0.0006564801*v_surge + 0.0161115078499524),PySRFunction(X=>sin(-0.4713606*sin_theta + 0.0006564801*v_surge + 0.0161115078499524))
11,0.0012941626,0.00099636429142817,sin(sin((0.0006564801 * v_surge) + ((sin_theta + -0.034180854) * -0.4713606))),sin(sin(-0.4713606*sin_theta + 0.0006564801*v_surge + 0.0161115078499524)),PySRFunction(X=>sin(sin(-0.4713606*sin_theta + 0.0006564801*v_surge + 0.0161115078499524)))
12,0.0012701197,0.01875269706487647,sin((0.0006564801 * (v_surge + theta_v_surge)) + ((sin_theta + -0.034180854) * -0.4713606)),sin(-0.4713606*sin_theta + 0.0006564801*theta_v_surge + 0.0006564801*v_surge + 0.0161115078499524),PySRFunction(X=>sin(-0.4713606*sin_theta + 0.0006564801*theta_v_surge + 0.0006564801*v_surge + 0.0161115078499524))
13,0.0012511216,0.015070718998414053,(0.008951332 * (((0.062913254 * v_surge) - ((sin_theta / -0.30936465) / -0.06697533)) + 1.544284)),-0.432018272647622*sin_theta + 0.000563157423754328*v_surge + 0.013823398786288,PySRFunction(X=>-0.432018272647622*sin_theta + 0.000563157423754328*v_surge + 0.013823398786288)
14,0.0012503216,0.0006396307757659548,sin(0.008951332 * ((0.062913254 * v_surge) - (((sin_theta / -0.30936465) / -0.06697533) + -1.5900626))),sin(-0.432018272647622*sin_theta + 0.000563157423754328*v_surge + 0.0142331782333832),PySRFunction(X=>sin(-0.432018272647622*sin_theta + 0.000563157423754328*v_surge + 0.0142331782333832))
15,0.0012480386,0.0018275992672775044,(0.008951332 * (((0.062913254 * v_surge) - -1.4949718) - (((sin_theta / -0.30936465) / -0.06697533) - delta_H_l))),0.008951332*delta_H_l - 0.432018272647622*sin_theta + 0.000563157423754328*v_surge + 0.0133819889124376,PySRFunction(X=>0.008951332*delta_H_l - 0.432018272647622*sin_theta + 0.000563157423754328*v_surge + 0.0133819889124376)
16,0.0012290664,0.015318342166884545,(0.008951332 * (((0.062913254 * v_surge) + (cos(delta_H_l) + 0.8227956)) - ((sin_theta / -0.32463112) / -0.06697533))),-0.411701693020793*sin_theta + 0.000563157423754328*v_surge + 0.008951332*cos(delta_H_l) + 0.0073651165837392,PySRFunction(X=>-0.411701693020793*sin_theta + 0.000563157423754328*v_surge + 0.008951332*cos(delta_H_l) + 0.0073651165837392)
17,0.0012194248,0.007875584633372911,(0.008951332 * ((((0.062913254 * v_surge) - -1.4949718) + delta_H_l) - (((sin_theta / -0.30936465) / -0.06697533) - 0.58905214))),0.008951332*delta_H_l - 0.432018272647622*sin_theta + 0.000563157423754328*v_surge + 0.0186547901828881,PySRFunction(X=>0.008951332*delta_H_l - 0.432018272647622*sin_theta + 0.000563157423754328*v_surge + 0.0186547901828881)
18,0.0012109589,0.006966747054309793,(0.008951332 * ((((0.062913254 * v_surge) - -1.4949718) + cos(delta_H_l)) - (((sin_theta / -0.30936465) / -0.06697533) - delta_H_l))),0.008951332*delta_H_l - 0.432018272647622*sin_theta + 0.000563157423754328*v_surge + 0.008951332*cos(delta_H_l) + 0.0133819889124376,PySRFunction(X=>0.008951332*delta_H_l - 0.432018272647622*sin_theta + 0.000563157423754328*v_surge + 0.008951332*cos(delta_H_l) + 0.0133819889124376)
