Complexity,Loss,Equation
1,0.00047558956,"1.0173082e-9"
3,0.00038157892,"x3 * -7.3799514e-5"
5,0.00032101935,"(-0.08523737 - x13) - x12"
6,0.00030555786,"log(0.9150852 - x13) - x12"
7,0.00022383164,"((x15 * -1.5323799) - x12) + -0.11355822"
8,0.0002232293,"log(((x15 * -1.5333767) + 0.88644314) - x12)"
9,0.00019683364,"(((x13 + 0.075555116) * x11) * 4.0545807) - x12"
11,0.00019571585,"((((x13 + 0.075560234) * 4.054207) * x11) - x12) * 0.9412006"
12,0.00018552232,"(x13 * -1.4590571) + (-0.105047174 - (log(x16 + 1.9905702) * x12))"
13,0.00017102389,"((0.0050067473 - (-0.04415583 * x12)) / x15) + 0.068035185"
14,0.00017020859,"(x13 * (x9 + -0.565417)) + (-0.105047174 - (x12 * log(x16 + 1.9905702)))"
15,0.00016033268,"(x9 * -0.072270565) + ((0.004854154 - (x12 * -0.043147594)) / x15)"
17,0.00015975274,"(sin(x9) * -0.08446957) + ((0.0049031167 - (x12 * -0.043458533)) / x15)"
19,0.00015775241,"((x12 - ((((x9 - x2) - 0.3320633) * x15) + -0.112973675)) / x13) * 0.042126607"
21,0.00015736806,"((x12 - ((((x9 - x2) - 0.3327717) * x13) + -0.11315989)) * (x9 * -0.047603007)) / x13"
22,0.00015690507,"((log(x12 - ((((x9 - 0.36541402) - x2) * x15) + -0.4831013)) + x14) / x13) * 0.015682233"
23,0.00015625017,"(((0.33460534 / x13) - x16) * 0.12580238) * (x12 - ((x15 * ((x9 - x2) - 0.32799414)) + -0.113013946))"
25,0.00015392122,"((0.04965987 / x15) - ((x1 + x0) * (0.55691427 - x16))) * (x12 - ((x13 * (-1.1644344 - x2)) + -0.11250861))"
27,0.00015293961,"(x12 - ((x13 * ((-0.8695785 - x2) - x2)) + -0.1126957)) * ((0.04797774 / x15) - ((x0 + x1) * (0.56442267 - x16)))"
28,0.0001526963,"((0.04797774 / x15) - ((x1 + x0) * (sqrt(x2) - x16))) * (x12 - (-0.1126957 + (x13 * ((-0.8715183 - x2) - x2))))"
29,0.00015171546,"((0.04806159 / x15) - ((x0 + x1) * sin(0.6898604 - x16))) * (x12 - ((x13 * ((-0.87160754 - x2) - x2)) + -0.11257937))"
