complexity,loss,equation,score,sympy_format,lambda_format
1,0.00047558956,1.0173082e-9,0.0,1.01730820000000e-9,PySRFunction(X=>1.01730820000000E-9)
3,0.00038157892,x3 * -7.3799514e-5,0.11011875819902175,x3*(-7.3799514e-5),PySRFunction(X=>x3*(-7.3799514e-5))
5,0.00032101935,(-0.08523737 - x13) - x12,0.08640814763554033,-x12 - x13 - 0.08523737,PySRFunction(X=>-x12 - x13 - 0.08523737)
6,0.00030555786,log(0.9150852 - x13) - x12,0.04936224657291876,-x12 + log(0.9150852 - x13),PySRFunction(X=>-x12 + log(0.9150852 - x13))
7,0.00022383164,((x15 * -1.5323799) - x12) + -0.11355822,0.31124499300021674,-x12 + x15*(-1.5323799) - 0.11355822,PySRFunction(X=>-x12 + x15*(-1.5323799) - 0.11355822)
8,0.0002232293,log(((x15 * -1.5333767) + 0.88644314) - x12),0.0026946678208014953,log(-x12 - 1.5333767*x15 + 0.88644314),PySRFunction(X=>log(-x12 - 1.5333767*x15 + 0.88644314))
9,0.00019683364,(((x13 + 0.075555116) * x11) * 4.0545807) - x12,0.12584058932333467,(x13 + 0.075555116)*x11*4.0545807 - x12,PySRFunction(X=>(x13 + 0.075555116)*x11*4.0545807 - x12)
11,0.00019571585,((((x13 + 0.075560234) * 4.054207) * x11) - x12) * 0.9412006,0.0028475212670707037,((x13 + 0.075560234)*4.054207*x11 - x12)*0.9412006,PySRFunction(X=>((x13 + 0.075560234)*4.054207*x11 - x12)*0.9412006)
12,0.00018552232,(x13 * -1.4590571) + (-0.105047174 - (log(x16 + 1.9905702) * x12)),0.053488664176306835,-x12*log(x16 + 1.9905702) - 1.4590571*x13 - 0.105047174,PySRFunction(X=>-x12*log(x16 + 1.9905702) - 1.4590571*x13 - 0.105047174)
13,0.00017102389,((0.0050067473 - (-0.04415583 * x12)) / x15) + 0.068035185,0.08137194391253819,0.068035185 + (0.0050067473 - (-1)*0.04415583*x12)/x15,PySRFunction(X=>0.068035185 + (0.0050067473 - (-1)*0.04415583*x12)/x15)
14,0.00017020859,(x13 * (x9 + -0.565417)) + (-0.105047174 - (x12 * log(x16 + 1.9905702))),0.004778569445843637,-x12*log(x16 + 1.9905702) + x13*(x9 - 0.565417) - 0.105047174,PySRFunction(X=>-x12*log(x16 + 1.9905702) + x13*(x9 - 0.565417) - 0.105047174)
15,0.00016033268,(x9 * -0.072270565) + ((0.004854154 - (x12 * -0.043147594)) / x15),0.059773778315682605,x9*(-0.072270565) + (0.004854154 - (-0.043147594)*x12)/x15,PySRFunction(X=>x9*(-0.072270565) + (0.004854154 - (-0.043147594)*x12)/x15)
17,0.00015975274,(sin(x9) * -0.08446957) + ((0.0049031167 - (x12 * -0.043458533)) / x15),0.0018118308375168323,sin(x9)*(-0.08446957) + (0.0049031167 - (-0.043458533)*x12)/x15,PySRFunction(X=>sin(x9)*(-0.08446957) + (0.0049031167 - (-0.043458533)*x12)/x15)
19,0.00015775241,((x12 - ((((x9 - x2) - 0.3320633) * x15) + -0.112973675)) / x13) * 0.042126607,0.00630023313402807,(x12 - (x15*(-x2 + x9 - 1*0.3320633) - 0.112973675))*0.042126607/x13,PySRFunction(X=>(x12 - (x15*(-x2 + x9 - 1*0.3320633) - 0.112973675))*0.042126607/x13)
21,0.00015736806,((x12 - ((((x9 - x2) - 0.3327717) * x13) + -0.11315989)) * (x9 * -0.047603007)) / x13,0.0012196928704531534,(x12 - (x13*(-x2 + x9 - 1*0.3327717) - 0.11315989))*x9*(-0.047603007)/x13,PySRFunction(X=>(x12 - (x13*(-x2 + x9 - 1*0.3327717) - 0.11315989))*x9*(-0.047603007)/x13)
22,0.00015690507,((log(x12 - ((((x9 - 0.36541402) - x2) * x15) + -0.4831013)) + x14) / x13) * 0.015682233,0.002946420108837994,0.015682233*(x14 + log(x12 - x15*(-x2 + x9 - 0.36541402) + 0.4831013))/x13,PySRFunction(X=>0.015682233*(x14 + log(x12 - x15*(-x2 + x9 - 0.36541402) + 0.4831013))/x13)
23,0.00015625017,(((0.33460534 / x13) - x16) * 0.12580238) * (x12 - ((x15 * ((x9 - x2) - 0.32799414)) + -0.113013946)),0.004182596176521438,(-x16 + 0.33460534/x13)*0.12580238*(x12 - (x15*(-x2 + x9 - 1*0.32799414) - 0.113013946)),PySRFunction(X=>(-x16 + 0.33460534/x13)*0.12580238*(x12 - (x15*(-x2 + x9 - 1*0.32799414) - 0.113013946)))
25,0.00015392122,((0.04965987 / x15) - ((x1 + x0) * (0.55691427 - x16))) * (x12 - ((x13 * (-1.1644344 - x2)) + -0.11250861)),0.007508731767254284,(x12 - (x13*(-x2 - 1.1644344) - 0.11250861))*(-(0.55691427 - x16)*(x0 + x1) + 0.04965987/x15),PySRFunction(X=>(x12 - (x13*(-x2 - 1.1644344) - 0.11250861))*(-(0.55691427 - x16)*(x0 + x1) + 0.04965987/x15))
27,0.00015293961,(x12 - ((x13 * ((-0.8695785 - x2) - x2)) + -0.1126957)) * ((0.04797774 / x15) - ((x0 + x1) * (0.56442267 - x16))),0.0031988877440990784,(x12 - (x13*(-x2 - x2 - 0.8695785) - 0.1126957))*(-(0.56442267 - x16)*(x0 + x1) + 0.04797774/x15),PySRFunction(X=>(x12 - (x13*(-x2 - x2 - 0.8695785) - 0.1126957))*(-(0.56442267 - x16)*(x0 + x1) + 0.04797774/x15))
28,0.0001526963,((0.04797774 / x15) - ((x1 + x0) * (sqrt(x2) - x16))) * (x12 - (-0.1126957 + (x13 * ((-0.8715183 - x2) - x2)))),0.0015921561795434525,(-(x0 + x1)*(-x16 + sqrt(x2)) + 0.04797774/x15)*(x12 - x13*(-2*x2 - 0.8715183) + 0.1126957),PySRFunction(X=>(-(x0 + x1)*(-x16 + sqrt(x2)) + 0.04797774/x15)*(x12 - x13*(-2*x2 - 0.8715183) + 0.1126957))
29,0.00015171546,((0.04806159 / x15) - ((x0 + x1) * sin(0.6898604 - x16))) * (x12 - ((x13 * ((-0.87160754 - x2) - x2)) + -0.11257937)),0.0064441885840581135,(x12 - (x13*(-x2 - x2 - 0.87160754) - 0.11257937))*(-(x0 + x1)*sin(0.6898604 - x16) + 0.04806159/x15),PySRFunction(X=>(x12 - (x13*(-x2 - x2 - 0.87160754) - 0.11257937))*(-(x0 + x1)*sin(0.6898604 - x16) + 0.04806159/x15))
