complexity,loss,score,equation,sympy_format,lambda_format
1,0.06061242,0.0,1.533763e-7,1.53376300000000e-7,PySRFunction(X=>1.53376300000000E-7)
2,0.060612418,3.2996538157735844e-08,square(-0.0003180771),1.01173041544410e-7,PySRFunction(X=>1.01173041544410E-7)
3,0.039591007,0.4258977930636497,(a_y * -0.14498761),-0.14498761*a_y,PySRFunction(X=>-0.14498761*a_y)
5,0.027738463,0.17789099525650337,((a_y + a_z) * -0.12888876),-0.12888876*a_y - 0.12888876*a_z,PySRFunction(X=>-0.12888876*a_y - 0.12888876*a_z)
7,0.025537394,0.04133809831060108,(-0.0550134 * ((a_z - a_y) * gamma_t)),-0.0550134*gamma_t*(-a_y + a_z),PySRFunction(X=>-0.0550134*gamma_t*(-a_y + a_z))
8,0.024240179,0.05213226371414052,(-0.049061075 * ((a_z + a_y) * abs(gamma_t))),-0.049061075*(a_y + a_z)*Abs(gamma_t),PySRFunction(X=>-0.049061075*(a_y + a_z)*Abs(gamma_t))
9,0.021496657,0.12011411099034347,(-0.048457384 * ((a_y / 0.33582607) + (a_z * gamma_t))),-0.144293097912262*a_y - 0.048457384*a_z*gamma_t,PySRFunction(X=>-0.144293097912262*a_y - 0.048457384*a_z*gamma_t)
10,0.01986982,0.0786954370319982,(-0.04489024 * ((a_y / 0.30784053) + (ceil(gamma_t) * a_z))),-0.145823033763618*a_y - 0.04489024*a_z*ceiling(gamma_t),PySRFunction(X=>-0.145823033763618*a_y - 0.04489024*a_z*ceiling(gamma_t))
11,0.019352637,0.026373308379546438,(-0.0383227 * ((a_y / 0.26416528) + ((gamma_t + 1.4098027) * a_z))),-0.145070919236623*a_y - 0.0383227*a_z*(gamma_t + 1.4098027),PySRFunction(X=>-0.145070919236623*a_y - 0.0383227*a_z*(gamma_t + 1.4098027))
12,0.018833762,0.02717757897320592,(-0.04489024 * (((a_y / 0.30784053) + dgamma_t_2) + (ceil(gamma_t) * a_z))),-0.145823033763618*a_y - 0.04489024*a_z*ceiling(gamma_t) - 0.04489024*dgamma_t_2,PySRFunction(X=>-0.145823033763618*a_y - 0.04489024*a_z*ceiling(gamma_t) - 0.04489024*dgamma_t_2)
13,0.018162731,0.03627936295826121,(-0.0383227 * (((a_y / 0.25881347) + ((gamma_t - -1.4192344) * a_z)) + dgamma_t_2)),-0.148070732176343*a_y - 0.0383227*a_z*(gamma_t + 1.4192344) - 0.0383227*dgamma_t_2,PySRFunction(X=>-0.148070732176343*a_y - 0.0383227*a_z*(gamma_t + 1.4192344) - 0.0383227*dgamma_t_2)
14,0.018162528,1.1176795738921459e-05,(tanh(-0.0383227) * (((a_y / 0.25881347) + ((gamma_t - -1.4192344) * a_z)) + dgamma_t_2)),-0.147998287726672*a_y - 0.0383039504005985*a_z*(gamma_t + 1.4192344) - 0.0383039504005985*dgamma_t_2,PySRFunction(X=>-0.147998287726672*a_y - 0.0383039504005985*a_z*(gamma_t + 1.4192344) - 0.0383039504005985*dgamma_t_2)
15,0.017688887,0.026423981243065397,(-0.044904944 * ((((a_y / 0.35519627) - abs(a_y)) + (ceil(gamma_t) * a_z)) + dgamma_t_2)),-0.126422904159438*a_y - 0.044904944*a_z*ceiling(gamma_t) - 0.044904944*dgamma_t_2 + 0.044904944*Abs(a_y),PySRFunction(X=>-0.126422904159438*a_y - 0.044904944*a_z*ceiling(gamma_t) - 0.044904944*dgamma_t_2 + 0.044904944*Abs(a_y))
16,0.017181596,0.02909777832940628,(-0.0383227 * (((a_y / 0.26416528) - abs(a_y)) + (((gamma_t + 1.4098027) * a_z) + dgamma_t_2))),-0.145070919236623*a_y - 0.0383227*a_z*(gamma_t + 1.4098027) - 0.0383227*dgamma_t_2 + 0.0383227*Abs(a_y),PySRFunction(X=>-0.145070919236623*a_y - 0.0383227*a_z*(gamma_t + 1.4098027) - 0.0383227*dgamma_t_2 + 0.0383227*Abs(a_y))
17,0.016937794,0.014291354537880023,(-0.0383227 * (((a_y / 0.26416528) - floor(abs(a_y))) + (((gamma_t + 1.4098027) * a_z) + dgamma_t_2))),-0.145070919236623*a_y - 0.0383227*a_z*(gamma_t + 1.4098027) - 0.0383227*dgamma_t_2 + 0.0383227*floor(Abs(a_y)),PySRFunction(X=>-0.145070919236623*a_y - 0.0383227*a_z*(gamma_t + 1.4098027) - 0.0383227*dgamma_t_2 + 0.0383227*floor(Abs(a_y)))
18,0.016731944,0.012227749728730152,(-0.0383227 * (ceil((a_y / 0.25881347) - abs(ceil(a_y))) + (((gamma_t - -1.3793375) * a_z) + dgamma_t_2))),-0.0383227*a_z*(gamma_t + 1.3793375) - 0.0383227*dgamma_t_2 - 0.0383227*ceiling(3.86378653321251*a_y - Abs(ceiling(a_y))),PySRFunction(X=>-0.0383227*a_z*(gamma_t + 1.3793375) - 0.0383227*dgamma_t_2 - 0.0383227*ceiling(3.86378653321251*a_y - Abs(ceiling(a_y))))
19,0.016731545,2.3846885781551387e-05,(tanh(-0.0383227) * (ceil((a_y / 0.25881347) - abs(ceil(a_y))) + (((gamma_t - -1.3793375) * a_z) + dgamma_t_2))),-0.0383039504005985*a_z*(gamma_t + 1.3793375) - 0.0383039504005985*dgamma_t_2 - 0.0383039504005985*ceiling(3.86378653321251*a_y - Abs(ceiling(a_y))),PySRFunction(X=>-0.0383039504005985*a_z*(gamma_t + 1.3793375) - 0.0383039504005985*dgamma_t_2 - 0.0383039504005985*ceiling(3.86378653321251*a_y - Abs(ceiling(a_y))))
20,0.016492294,0.014402618297455042,(-0.0383227 * (((a_y / 0.32760197) - floor(abs(a_y))) + (((gamma_t - (-1.3793375 - tanh(dgamma_t_2))) * a_z) + dgamma_t_2))),-0.116979455282274*a_y - 0.0383227*a_z*(gamma_t + tanh(dgamma_t_2) + 1.3793375) - 0.0383227*dgamma_t_2 + 0.0383227*floor(Abs(a_y)),PySRFunction(X=>-0.116979455282274*a_y - 0.0383227*a_z*(gamma_t + tanh(dgamma_t_2) + 1.3793375) - 0.0383227*dgamma_t_2 + 0.0383227*floor(Abs(a_y)))
22,0.016118722,0.01145589398614101,(0.04365433 * (((floor(abs(a_y) - a_y) - a_y) - (a_z * (ceil(gamma_t) - (-0.45569897 * dgamma_t_2)))) - (a_y + dgamma_t_2))),-0.08730866*a_y - 0.04365433*a_z*(0.45569897*dgamma_t_2 + ceiling(gamma_t)) - 0.04365433*dgamma_t_2 + 0.04365433*floor(-a_y + Abs(a_y)),PySRFunction(X=>-0.08730866*a_y - 0.04365433*a_z*(0.45569897*dgamma_t_2 + ceiling(gamma_t)) - 0.04365433*dgamma_t_2 + 0.04365433*floor(-a_y + Abs(a_y)))
23,0.01588526,0.01458981830864206,(0.04365433 * ((((floor(abs(a_y) - a_y) - a_y) - (a_z * (gamma_t - (-0.45569897 * dgamma_t_2)))) - (a_y + dgamma_t_2)) - a_z)),-0.08730866*a_y - 0.04365433*a_z*(0.45569897*dgamma_t_2 + gamma_t) - 0.04365433*a_z - 0.04365433*dgamma_t_2 + 0.04365433*floor(-a_y + Abs(a_y)),PySRFunction(X=>-0.08730866*a_y - 0.04365433*a_z*(0.45569897*dgamma_t_2 + gamma_t) - 0.04365433*a_z - 0.04365433*dgamma_t_2 + 0.04365433*floor(-a_y + Abs(a_y)))
