complexity,loss,score,equation,sympy_format,lambda_format
1,0.055326737,0.0,-1.7338768e-9,-1.73387680000000e-9,PySRFunction(X=>-1.73387680000000E-9)
3,0.04563725,0.09626600636168886,(0.0984352 * a_y),0.0984352*a_y,PySRFunction(X=>0.0984352*a_y)
5,0.042711895,0.033123408073085295,((a_y - a_x) * 0.079979025),-0.079979025*a_x + 0.079979025*a_y,PySRFunction(X=>-0.079979025*a_x + 0.079979025*a_y)
6,0.042618323,0.002193174697078471,sin((a_y - a_x) * 0.086181894),-sin(0.086181894*a_x - 0.086181894*a_y),PySRFunction(X=>-sin(0.086181894*a_x - 0.086181894*a_y))
7,0.03894741,0.09007200357348312,(((a_y * theta_t_1) - a_x) * 0.07508047),-0.07508047*a_x + 0.07508047*a_y*theta_t_1,PySRFunction(X=>-0.07508047*a_x + 0.07508047*a_y*theta_t_1)
8,0.038940985,0.00016497964849779392,(((a_y * ceil(theta_t_2)) - a_x) * 0.06597416),-0.06597416*a_x + 0.06597416*a_y*ceiling(theta_t_2),PySRFunction(X=>-0.06597416*a_x + 0.06597416*a_y*ceiling(theta_t_2))
9,0.03777526,0.030392903956124748,((((a_y * theta_t_2) - dtheta_t_2) - a_x) * 0.07171865),-0.07171865*a_x + 0.07171865*a_y*theta_t_2 - 0.07171865*dtheta_t_2,PySRFunction(X=>-0.07171865*a_x + 0.07171865*a_y*theta_t_2 - 0.07171865*dtheta_t_2)
10,0.037446797,0.008733212058422268,((((a_y * ceil(theta_t)) - dtheta_t_2) - a_x) * 0.06832187),-0.06832187*a_x + 0.06832187*a_y*ceiling(theta_t) - 0.06832187*dtheta_t_2,PySRFunction(X=>-0.06832187*a_x + 0.06832187*a_y*ceiling(theta_t) - 0.06832187*dtheta_t_2)
11,0.036755472,0.018634066401899515,((((a_y * (theta_t + 0.50166893)) - a_x) - dtheta_t_2) * 0.06832187),-0.06832187*a_x + 0.06832187*a_y*(theta_t + 0.50166893) - 0.06832187*dtheta_t_2,PySRFunction(X=>-0.06832187*a_x + 0.06832187*a_y*(theta_t + 0.50166893) - 0.06832187*dtheta_t_2)
12,0.035884947,0.023969208593109557,((((a_y * theta_t) - (a_x * sin(gamma_t_2))) - a_x) * 0.08091476),-0.08091476*a_x*sin(gamma_t_2) - 0.08091476*a_x + 0.08091476*a_y*theta_t,PySRFunction(X=>-0.08091476*a_x*sin(gamma_t_2) - 0.08091476*a_x + 0.08091476*a_y*theta_t)
13,0.035203785,0.019164298708341423,((((a_y * abs(theta_t)) - (a_x * sin(gamma_t_2))) - a_x) * 0.08091476),-0.08091476*a_x*sin(gamma_t_2) - 0.08091476*a_x + 0.08091476*a_y*Abs(theta_t),PySRFunction(X=>-0.08091476*a_x*sin(gamma_t_2) - 0.08091476*a_x + 0.08091476*a_y*Abs(theta_t))
14,0.034652613,0.015780471184339707,((((a_y * abs(theta_t)) - (a_x * sin(ceil(gamma_t_2)))) - a_x) * 0.074643455),-0.074643455*a_x*sin(ceiling(gamma_t_2)) - 0.074643455*a_x + 0.074643455*a_y*Abs(theta_t),PySRFunction(X=>-0.074643455*a_x*sin(ceiling(gamma_t_2)) - 0.074643455*a_x + 0.074643455*a_y*Abs(theta_t))
15,0.03423119,0.012235917284050345,(((((a_y * abs(theta_t)) - (a_x * sin(gamma_t_2))) - dtheta_t_2) - a_x) * 0.074643455),-0.074643455*a_x*sin(gamma_t_2) - 0.074643455*a_x + 0.074643455*a_y*Abs(theta_t) - 0.074643455*dtheta_t_2,PySRFunction(X=>-0.074643455*a_x*sin(gamma_t_2) - 0.074643455*a_x + 0.074643455*a_y*Abs(theta_t) - 0.074643455*dtheta_t_2)
16,0.032748505,0.04427990457962895,(((((a_y * abs(theta_t)) - (a_x * sin(ceil(gamma_t_2)))) - dtheta_t_2) - a_x) * 0.074643455),-0.074643455*a_x*sin(ceiling(gamma_t_2)) - 0.074643455*a_x + 0.074643455*a_y*Abs(theta_t) - 0.074643455*dtheta_t_2,PySRFunction(X=>-0.074643455*a_x*sin(ceiling(gamma_t_2)) - 0.074643455*a_x + 0.074643455*a_y*Abs(theta_t) - 0.074643455*dtheta_t_2)
17,0.032657012,0.002797716886114487,(((((a_y * abs(theta_t)) - (a_x * sign(sin(ceil(gamma_t_2))))) - dtheta_t_2) - a_x) * 0.074643455),-0.074643455*a_x*sign(sin(ceiling(gamma_t_2))) - 0.074643455*a_x + 0.074643455*a_y*Abs(theta_t) - 0.074643455*dtheta_t_2,PySRFunction(X=>-0.074643455*a_x*sign(sin(ceiling(gamma_t_2))) - 0.074643455*a_x + 0.074643455*a_y*Abs(theta_t) - 0.074643455*dtheta_t_2)
