Complexity,Loss,Equation
1,0.060612418,"1.0053298e-7"
3,0.039591007,"(-0.14498763 * a_y)"
5,0.027738463,"(-0.12888877 * (a_y + a_z))"
7,0.025537394,"(-0.0550134 * ((a_z - a_y) * gamma_t))"
8,0.024362063,"((tanh(a_z) - (a_y + a_z)) * 0.15336123)"
9,0.021496657,"(0.04845844 * ((a_y / -0.3358171) - (a_z * gamma_t)))"
11,0.019351594,"(0.037132725 * ((a_y / -0.25534707) - (a_z * (gamma_t + 1.4940455))))"
13,0.01815042,"(0.037132725 * (((a_y / -0.25009418) - (a_z * (gamma_t - -1.5061249))) - dgamma_t_2))"
15,0.01812074,"(0.037132725 * (((a_y / -0.25009418) - dgamma_t_2) - ((a_z + 0.06584974) * (gamma_t + 1.4885018))))"
16,0.017632918,"(0.037132725 * (((a_y / -0.25009418) - dgamma_t_2) - (a_z * ((gamma_t + 1.4948546) + tanh(dgamma_t_2)))))"
17,0.01750334,"(0.04473227 * (((a_y / -0.3099442) - dgamma_t_2) - (a_z * (gamma_t + (0.91191864 + (0.43775752 * dgamma_t_2))))))"
18,0.017105496,"(0.037132725 * (((a_y / -0.25009418) + ((tanh(a_y) * a_y) - dgamma_t_2)) - (a_z * (gamma_t + 1.4885018))))"
19,0.017068727,"(0.037132725 * (((a_y / -0.31749636) + (((a_y * a_y) * 0.15997252) - dgamma_t_2)) - (a_z * (gamma_t + 1.4885018))))"
20,0.016512118,"(0.037132725 * (((a_y / -0.25009418) + ((tanh(a_y - -1.9024299) * a_y) - dgamma_t_2)) - (a_z * (gamma_t + 1.4885018))))"
21,0.016511653,"(tanh(0.037132725) * (((a_y / -0.25009418) + ((tanh(a_y - -1.9024299) * a_y) - dgamma_t_2)) - (a_z * (gamma_t + 1.4885018))))"
22,0.016221575,"(0.037132725 * (((a_y / -0.31749636) + (((tanh(a_y * theta_t_1) / 0.5985408) * a_y) - dgamma_t_2)) - (a_z * (gamma_t + 1.4885018))))"
23,0.015959203,"(0.037132725 * (((a_y / -0.31749636) + ((tanh(a_y * theta_t_1) * a_y) - dgamma_t_2)) - (a_z * ((gamma_t + 1.3607026) + tanh(dgamma_t_2)))))"
24,0.015656004,"(0.037132725 * (((a_y / -0.31749636) + ((tanh(a_y * theta_t) * a_y) - dgamma_t_2)) - (a_z * ((gamma_t + 1.4885018) + (dgamma_t_2 / 2.014161)))))"
25,0.015587885,"(0.037132725 * (((a_y / -0.31749636) + (((tanh(a_y * theta_t) / 0.6348183) * a_y) - dgamma_t_2)) - (a_z * ((gamma_t + tanh(dgamma_t_2)) - -1.2597166))))"
26,0.015294774,"(0.037132725 * (((a_y / -0.31749636) + (((tanh(a_y * theta_t) / 0.6547049) * a_y) - dgamma_t_2)) - (a_z * ((gamma_t + 1.2311561) + (dgamma_t_2 / 2.014161)))))"
27,0.015252731,"(0.037132725 * (((a_y / -0.31749636) + (((tanh((a_y + 1.6815093) * theta_t) / 0.6348183) * a_y) - dgamma_t_2)) - (a_z * ((gamma_t_2 + tanh(dgamma_t_2)) - -1.2597166))))"
28,0.014970538,"(0.037132725 * (((a_y / -0.31749636) + (((tanh((a_y + 1.6815093) * theta_t) / 0.6348183) * a_y) - dgamma_t_2)) - (a_z * ((gamma_t_2 + 1.4885018) + (dgamma_t_2 / 1.9252105)))))"
30,0.014937118,"(0.037132725 * (((a_y / -0.31749636) + (((tanh((a_y + 1.6815093) * theta_t) / 0.6348183) * a_y) - dgamma_t_2)) - (a_z * (((gamma_t_2 + 1.4885018) + (dgamma_t_2 / 1.9252105)) - 0.09919697))))"
