complexity,loss,score,equation,sympy_format,lambda_format
1,0.060612418,0.0,1.0053298e-7,1.00532980000000e-7,PySRFunction(X=>1.00532980000000E-7)
3,0.039591007,0.21294889653182486,(-0.14498763 * a_y),-0.14498763*a_y,PySRFunction(X=>-0.14498763*a_y)
5,0.027738463,0.17789099525650337,(-0.12888877 * (a_y + a_z)),-0.12888877*a_y - 0.12888877*a_z,PySRFunction(X=>-0.12888877*a_y - 0.12888877*a_z)
7,0.025537394,0.04133809831060108,(-0.0550134 * ((a_z - a_y) * gamma_t)),-0.0550134*gamma_t*(-a_y + a_z),PySRFunction(X=>-0.0550134*gamma_t*(-a_y + a_z))
8,0.024362063,0.04711668210743268,((tanh(a_z) - (a_y + a_z)) * 0.15336123),-0.15336123*a_y - 0.15336123*a_z + 0.15336123*tanh(a_z),PySRFunction(X=>-0.15336123*a_y - 0.15336123*a_z + 0.15336123*tanh(a_z))
9,0.021496657,0.12512969259705128,(0.04845844 * ((a_y / -0.3358171) - (a_z * gamma_t))),-0.144300096689537*a_y - 0.04845844*a_z*gamma_t,PySRFunction(X=>-0.144300096689537*a_y - 0.04845844*a_z*gamma_t)
11,0.019351594,0.052561320664000696,(0.037132725 * ((a_y / -0.25534707) - (a_z * (gamma_t + 1.4940455)))),-0.145420603416362*a_y - 0.037132725*a_z*(gamma_t + 1.4940455),PySRFunction(X=>-0.145420603416362*a_y - 0.037132725*a_z*(gamma_t + 1.4940455))
13,0.01815042,0.032040546202481035,(0.037132725 * (((a_y / -0.25009418) - (a_z * (gamma_t - -1.5061249))) - dgamma_t_2)),-0.148474966510616*a_y - 0.037132725*a_z*(gamma_t + 1.5061249) - 0.037132725*dgamma_t_2,PySRFunction(X=>-0.148474966510616*a_y - 0.037132725*a_z*(gamma_t + 1.5061249) - 0.037132725*dgamma_t_2)
15,0.01812074,0.0008182811529716494,(0.037132725 * (((a_y / -0.25009418) - dgamma_t_2) - ((a_z + 0.06584974) * (gamma_t + 1.4885018)))),-0.148474966510616*a_y - 0.037132725*dgamma_t_2 - 0.037132725*(a_z + 0.06584974)*(gamma_t + 1.4885018),PySRFunction(X=>-0.148474966510616*a_y - 0.037132725*dgamma_t_2 - 0.037132725*(a_z + 0.06584974)*(gamma_t + 1.4885018))
16,0.017632918,0.02728964258953633,(0.037132725 * (((a_y / -0.25009418) - dgamma_t_2) - (a_z * ((gamma_t + 1.4948546) + tanh(dgamma_t_2))))),-0.148474966510616*a_y - 0.037132725*a_z*(gamma_t + tanh(dgamma_t_2) + 1.4948546) - 0.037132725*dgamma_t_2,PySRFunction(X=>-0.148474966510616*a_y - 0.037132725*a_z*(gamma_t + tanh(dgamma_t_2) + 1.4948546) - 0.037132725*dgamma_t_2)
