complexity,loss,score,equation,sympy_format,lambda_format
1,0.055326737,0.0,2.740032e-10,2.74003200000000e-10,PySRFunction(X=>2.74003200000000E-10)
3,0.04563725,0.09626600636168886,(a_y * 0.09845567),0.09845567*a_y,PySRFunction(X=>0.09845567*a_y)
5,0.042711895,0.033123408073085295,((a_y - a_x) * 0.07997846),-0.07997846*a_x + 0.07997846*a_y,PySRFunction(X=>-0.07997846*a_x + 0.07997846*a_y)
6,0.042618323,0.002193174697078471,sin(0.08619654 * (a_y - a_x)),-sin(0.08619654*a_x - 0.08619654*a_y),PySRFunction(X=>-sin(0.08619654*a_x - 0.08619654*a_y))
7,0.03894741,0.09007200357348312,(((a_y * theta_t_1) - a_x) * 0.07508049),-0.07508049*a_x + 0.07508049*a_y*theta_t_1,PySRFunction(X=>-0.07508049*a_x + 0.07508049*a_y*theta_t_1)
9,0.037786946,0.015124287766758475,(((a_y * theta_t_2) - (a_x + dtheta_t_2)) * 0.07356942),-0.07356942*a_x + 0.07356942*a_y*theta_t_2 - 0.07356942*dtheta_t_2,PySRFunction(X=>-0.07356942*a_x + 0.07356942*a_y*theta_t_2 - 0.07356942*dtheta_t_2)
10,0.037445094,0.009087999018565234,((a_y - (a_x + (a_x * sin(gamma_t_2)))) * 0.09281806),-0.09281806*a_x*sin(gamma_t_2) - 0.09281806*a_x + 0.09281806*a_y,PySRFunction(X=>-0.09281806*a_x*sin(gamma_t_2) - 0.09281806*a_x + 0.09281806*a_y)
11,0.036840625,0.016274523548335345,(((a_y * theta_t_2) - (a_x + (dtheta_t_2 * 0.58835363))) * 0.078322604),-0.078322604*a_x + 0.078322604*a_y*theta_t_2 - 0.0460813883744525*dtheta_t_2,PySRFunction(X=>-0.078322604*a_x + 0.078322604*a_y*theta_t_2 - 0.0460813883744525*dtheta_t_2)
12,0.035901643,0.025818116034641223,(((a_y * theta_t) - (a_x + (a_x * sin(gamma_t_2)))) * 0.078322604),-0.078322604*a_x*sin(gamma_t_2) - 0.078322604*a_x + 0.078322604*a_y*theta_t,PySRFunction(X=>-0.078322604*a_x*sin(gamma_t_2) - 0.078322604*a_x + 0.078322604*a_y*theta_t)
14,0.034942772,0.013535711450079351,((((a_y - 0.34738383) * theta_t) - (a_x + (a_x * sin(gamma_t_2)))) * 0.078322604),-0.078322604*a_x*sin(gamma_t_2) - 0.078322604*a_x + 0.078322604*theta_t*(a_y - 0.34738383),PySRFunction(X=>-0.078322604*a_x*sin(gamma_t_2) - 0.078322604*a_x + 0.078322604*theta_t*(a_y - 0.34738383))
15,0.034709744,0.006691183113198202,((((a_y * theta_t_1) - (a_x + (a_x * sin(gamma_t_2)))) - tanh(dtheta_t_2)) * 0.07997846),-0.07997846*a_x*sin(gamma_t_2) - 0.07997846*a_x + 0.07997846*a_y*theta_t_1 - 0.07997846*tanh(dtheta_t_2),PySRFunction(X=>-0.07997846*a_x*sin(gamma_t_2) - 0.07997846*a_x + 0.07997846*a_y*theta_t_1 - 0.07997846*tanh(dtheta_t_2))
16,0.03434507,0.010561968644210391,((((a_y - 0.55161935) * theta_t) - (a_x + ((a_x + 0.7960896) * sin(gamma_t_1)))) * 0.078322604),-0.078322604*a_x + 0.078322604*theta_t*(a_y - 0.55161935) - 0.078322604*(a_x + 0.7960896)*sin(gamma_t_1),PySRFunction(X=>-0.078322604*a_x + 0.078322604*theta_t*(a_y - 0.55161935) - 0.078322604*(a_x + 0.7960896)*sin(gamma_t_1))
17,0.03401921,0.009533120742389958,(((((a_y + -0.3252335) * theta_t_1) - (a_x + (a_x * sin(gamma_t_2)))) - tanh(dtheta_t_2)) * 0.078322604),-0.078322604*a_x*sin(gamma_t_2) - 0.078322604*a_x + 0.078322604*theta_t_1*(a_y - 0.3252335) - 0.078322604*tanh(dtheta_t_2),PySRFunction(X=>-0.078322604*a_x*sin(gamma_t_2) - 0.078322604*a_x + 0.078322604*theta_t_1*(a_y - 0.3252335) - 0.078322604*tanh(dtheta_t_2))
18,0.033220187,0.023767631755378587,((0.22486362 * ((((a_y * theta_t) - dtheta_t_2) - (a_x * (sin(gamma_t_2) + 1.5439938))) + a_y)) * 0.23980223),-0.0539227975218726*a_x*(sin(gamma_t_2) + 1.5439938) + 0.0539227975218726*a_y*theta_t + 0.0539227975218726*a_y - 0.0539227975218726*dtheta_t_2,PySRFunction(X=>-0.0539227975218726*a_x*(sin(gamma_t_2) + 1.5439938) + 0.0539227975218726*a_y*theta_t + 0.0539227975218726*a_y - 0.0539227975218726*dtheta_t_2)
20,0.032567434,0.00992245064053527,((0.22486362 * ((((a_y * theta_t) - dtheta_t_2) - (a_x * (sin(gamma_t_2 - -0.58849055) + 1.5439938))) + a_y)) * 0.23980223),-0.0539227975218726*a_x*(sin(gamma_t_2 + 0.58849055) + 1.5439938) + 0.0539227975218726*a_y*theta_t + 0.0539227975218726*a_y - 0.0539227975218726*dtheta_t_2,PySRFunction(X=>-0.0539227975218726*a_x*(sin(gamma_t_2 + 0.58849055) + 1.5439938) + 0.0539227975218726*a_y*theta_t + 0.0539227975218726*a_y - 0.0539227975218726*dtheta_t_2)
22,0.031876747,0.010718011103737528,((0.22486362 * (((((a_y + -0.47855985) * theta_t) - dtheta_t_2) - (a_x * (sin(gamma_t_2 - -0.58849055) + 1.5439938))) + a_y)) * 0.23980223),-0.0539227975218726*a_x*(sin(gamma_t_2 + 0.58849055) + 1.5439938) + 0.0539227975218726*a_y - 0.0539227975218726*dtheta_t_2 + 0.0539227975218726*theta_t*(a_y - 0.47855985),PySRFunction(X=>-0.0539227975218726*a_x*(sin(gamma_t_2 + 0.58849055) + 1.5439938) + 0.0539227975218726*a_y - 0.0539227975218726*dtheta_t_2 + 0.0539227975218726*theta_t*(a_y - 0.47855985))
23,0.031868562,0.00025680321182463113,((0.22486362 * (((((a_y + -0.47855985) * theta_t) - dtheta_t_2) - (a_x * (sin(gamma_t_2 - -0.58849055) + 1.5439938))) + a_y)) * tanh(0.23980223)),-0.052912419801003*a_x*(sin(gamma_t_2 + 0.58849055) + 1.5439938) + 0.052912419801003*a_y - 0.052912419801003*dtheta_t_2 + 0.052912419801003*theta_t*(a_y - 0.47855985),PySRFunction(X=>-0.052912419801003*a_x*(sin(gamma_t_2 + 0.58849055) + 1.5439938) + 0.052912419801003*a_y - 0.052912419801003*dtheta_t_2 + 0.052912419801003*theta_t*(a_y - 0.47855985))
24,0.031318847,0.017399949700716087,((0.21413933 * ((((((a_y - 0.4632633) * theta_t_1) - dtheta_t_2) - a_x) - ((a_x / 0.48617694) * sin(gamma_t_2))) + (a_y - a_x))) * 0.23980223),-0.105622222363541*a_x*sin(gamma_t_2) - 0.102702177729412*a_x + 0.0513510888647059*a_y - 0.0513510888647059*dtheta_t_2 + 0.0513510888647059*theta_t_1*(a_y - 0.4632633),PySRFunction(X=>-0.105622222363541*a_x*sin(gamma_t_2) - 0.102702177729412*a_x + 0.0513510888647059*a_y - 0.0513510888647059*dtheta_t_2 + 0.0513510888647059*theta_t_1*(a_y - 0.4632633))
25,0.031314954,0.0001243098755896965,((tanh(0.21413933) * ((((((a_y - 0.4632633) * theta_t_1) - dtheta_t_2) - a_x) - ((a_x / 0.48617694) * sin(gamma_t_2))) + (a_y - a_x))) * 0.23980223),-0.104036836933042*a_x*sin(gamma_t_2) - 0.101160622054771*a_x + 0.0505803110273855*a_y - 0.0505803110273855*dtheta_t_2 + 0.0505803110273855*theta_t_1*(a_y - 0.4632633),PySRFunction(X=>-0.104036836933042*a_x*sin(gamma_t_2) - 0.101160622054771*a_x + 0.0505803110273855*a_y - 0.0505803110273855*dtheta_t_2 + 0.0505803110273855*theta_t_1*(a_y - 0.4632633))
26,0.03042943,0.028685514813211608,((0.21413933 * (((((a_y * theta_t_1) - dtheta_t_2) - a_x) - (((a_x - -0.6419345) / 0.41522825) * sin(gamma_t_2))) + (a_y - (a_x + theta_t_2)))) * 0.22486362),-0.0963042898563492*a_x + 0.0481521449281746*a_y*theta_t_1 + 0.0481521449281746*a_y - 0.0481521449281746*dtheta_t_2 - 0.0481521449281746*theta_t_2 - 0.0481521449281746*(2.40831398152703*a_x + 1.54597983157456)*sin(gamma_t_2),PySRFunction(X=>-0.0963042898563492*a_x + 0.0481521449281746*a_y*theta_t_1 + 0.0481521449281746*a_y - 0.0481521449281746*dtheta_t_2 - 0.0481521449281746*theta_t_2 - 0.0481521449281746*(2.40831398152703*a_x + 1.54597983157456)*sin(gamma_t_2))
27,0.030424865,0.00015003049525307032,((0.21413933 * (((((a_y * theta_t_1) - dtheta_t_2) - a_x) - (((a_x - sin(-0.76436985)) / 0.41522825) * sin(gamma_t_2))) + (a_y - (a_x + theta_t_2)))) * 0.22486362),-0.0963042898563492*a_x + 0.0481521449281746*a_y*theta_t_1 + 0.0481521449281746*a_y - 0.0481521449281746*dtheta_t_2 - 0.0481521449281746*theta_t_2 - 0.0481521449281746*(2.40831398152703*a_x + 1.66675143611142)*sin(gamma_t_2),PySRFunction(X=>-0.0963042898563492*a_x + 0.0481521449281746*a_y*theta_t_1 + 0.0481521449281746*a_y - 0.0481521449281746*dtheta_t_2 - 0.0481521449281746*theta_t_2 - 0.0481521449281746*(2.40831398152703*a_x + 1.66675143611142)*sin(gamma_t_2))
28,0.03034745,0.002547707516945947,((0.21413933 * (((((a_y * theta_t_1) - dtheta_t_2) - a_x) - (((a_x - -0.6419345) / 0.41522825) * sin(gamma_t_2))) + ((a_y - (a_x + theta_t_2)) - -0.17925046))) * 0.22486362),-0.0963042898563492*a_x + 0.0481521449281746*a_y*theta_t_1 + 0.0481521449281746*a_y - 0.0481521449281746*dtheta_t_2 - 0.0481521449281746*theta_t_2 - 0.0481521449281746*(2.40831398152703*a_x + 1.54597983157456)*sin(gamma_t_2) + 0.00863129412836196,PySRFunction(X=>-0.0963042898563492*a_x + 0.0481521449281746*a_y*theta_t_1 + 0.0481521449281746*a_y - 0.0481521449281746*dtheta_t_2 - 0.0481521449281746*theta_t_2 - 0.0481521449281746*(2.40831398152703*a_x + 1.54597983157456)*sin(gamma_t_2) + 0.00863129412836196)
29,0.029976457,0.012300187301359768,((0.22486362 * (((((a_y * theta_t_2) - dtheta_t_2) - a_x) - (((a_x - (sin(a_y) + -0.89280695)) / 0.41522825) * sin(gamma_t_2))) + (a_y - (a_x + theta_t_2)))) * 0.22486362),-0.101127295199009*a_x + 0.0505636475995044*a_y*theta_t_2 + 0.0505636475995044*a_y - 0.0505636475995044*dtheta_t_2 - 0.0505636475995044*theta_t_2 - 0.0505636475995044*(2.40831398152703*a_x - 2.40831398152703*sin(a_y) + 2.1501594604895)*sin(gamma_t_2),PySRFunction(X=>-0.101127295199009*a_x + 0.0505636475995044*a_y*theta_t_2 + 0.0505636475995044*a_y - 0.0505636475995044*dtheta_t_2 - 0.0505636475995044*theta_t_2 - 0.0505636475995044*(2.40831398152703*a_x - 2.40831398152703*sin(a_y) + 2.1501594604895)*sin(gamma_t_2))
