Complexity,Loss,Equation
1,0.055326737,"2.3228085e-7"
3,0.04563725,"(a_y * 0.09843522)"
5,0.042711895,"((a_y - a_x) * 0.07997841)"
6,0.042618323,"sin(0.086207315 * (a_y - a_x))"
7,0.03894741,"(0.0750805 * ((theta_t_1 * a_y) - a_x))"
8,0.03826228,"(0.07144531 * ((round(theta_t) * a_y) - a_x))"
9,0.037775513,"(0.07144531 * ((theta_t_2 * a_y) - (a_x + dtheta_t_2)))"
10,0.03705816,"(0.07144531 * ((round(theta_t) * a_y) - (a_x + dtheta_t_2)))"
11,0.03661145,"(0.061298262 * (((theta_t_1 + 0.6274633) * a_y) - (a_x + dtheta_t_2)))"
12,0.03639485,"(0.061298262 * (((round(theta_t_1) + 0.6274633) * a_y) - (a_x + dtheta_t_2)))"
13,0.0360857,"(0.054636363 * ((((theta_t_1 + 0.8504016) * a_y) + (a_x * -1.583992)) - dtheta_t_2))"
14,0.03476675,"(0.061298262 * (((theta_t_1 * a_y) + (a_x * (-1.077434 - cos(dgamma_t)))) - dtheta_t_2))"
15,0.033885308,"(0.061298262 * (((ceil(theta_t_1) * a_y) + (a_x * (-1.4014271 - cos(dgamma_t)))) - dtheta_t_2))"
16,0.03364495,"(0.061298262 * (((theta_t_1 * a_y) + ((a_x * (-1.0106952 - cos(dgamma_t))) + a_y)) - dtheta_t_2))"
17,0.033295445,"(0.061298262 * ((a_y + (a_x * ((tanh(theta_t_1 + ceil(gamma_t_1)) * dtheta_t) + -1.5256962))) - dtheta_t_2))"
18,0.03284142,"(0.061298262 * ((round(theta_t) * a_y) + (a_x * ((tanh(theta_t_1 + ceil(gamma_t)) * dtheta_t) + -1.1448843))))"
19,0.029695576,"(0.061298262 * (((a_y * theta_t_1) + (a_x * ((tanh(theta_t + ceil(gamma_t_1)) * dtheta_t) + -1.7488873))) - dtheta_t_2))"
20,0.029016621,"(0.061298262 * (((a_y * round(theta_t_1)) + (a_x * ((tanh(theta_t + ceil(gamma_t_1)) * dtheta_t) + -1.7488873))) - dtheta_t_2))"
21,0.028534252,"(0.061298262 * ((((theta_t + 0.5222056) * a_y) - dtheta_t_2) + (a_x * ((tanh(theta_t + ceil(gamma_t)) * dtheta_t) + -1.7488873))))"
22,0.028473482,"(0.061298262 * ((((round(theta_t_1) + 0.5222056) * a_y) - dtheta_t_2) + (a_x * ((tanh(theta_t + ceil(gamma_t)) * dtheta_t) + -1.7488873))))"
23,0.028216962,"(0.054636363 * ((((theta_t_1 + 0.77405995) * a_y) + (a_x * ((tanh((theta_t_2 + ceil(gamma_t)) * dtheta_t) - 0.77405995) * 2.1226165))) - dtheta_t_2))"
24,0.028005667,"(0.054636363 * ((((round(theta_t) + 0.51871866) * a_y) + (a_x * ((tanh((theta_t_2 + ceil(gamma_t_2)) * dtheta_t) * 2.1226165) + -1.5157143))) - dtheta_t_2))"
25,0.027759442,"(0.054636363 * ((((theta_t_1 + 0.7231327) * a_y) + (a_x * ((tanh((theta_t_2 + ceil(gamma_t_2)) * dtheta_t) - ceil(tanh(gamma_t_2))) * 2.1226165))) - dtheta_t_2))"
26,0.027483124,"(0.054636363 * ((((round(theta_t) + 0.51871866) * a_y) + (a_x * ((tanh((theta_t_2 + ceil(gamma_t_2)) * dtheta_t) - ceil(tanh(gamma_t_2))) * 2.1226165))) - dtheta_t_2))"
27,0.027309168,"(0.054636363 * ((((theta_t + 0.79073364) * a_y) + (a_x * ((tanh((theta_t_2 + ceil(gamma_t_2)) * (dtheta_t - -0.54239315)) - ceil(tanh(gamma_t_2))) * 2.1226165))) - dtheta_t_2))"
28,0.026966253,"(0.054636363 * ((((round(theta_t) + 0.51871866) * a_y) + (a_x * ((tanh((theta_t_2 + ceil(gamma_t_2)) * (dtheta_t - -0.57705224)) - ceil(tanh(gamma_t_2))) * 2.1226165))) - dtheta_t_2))"
29,0.02695424,"(0.054636363 * ((((round(theta_t) + 0.51871866) * a_y) + (a_x * ((tanh((theta_t_2 + ceil(gamma_t_2)) * (dtheta_t - tanh(-0.57705224))) - ceil(tanh(gamma_t_2))) * 2.1226165))) - dtheta_t_2))"
30,0.026953664,"(0.054636363 * ((((round(theta_t) - cos(2.1226165)) * a_y) + (a_x * ((tanh((theta_t_2 + ceil(gamma_t_2)) * (dtheta_t - tanh(-0.57705224))) - ceil(tanh(gamma_t_2))) * 2.1226165))) - dtheta_t_2))"
