complexity,loss,score,equation,sympy_format,lambda_format
1,0.060612425,0.0,5.2353903e-7,5.23539030000000e-7,PySRFunction(X=>5.23539030000000E-7)
3,0.039591007,0.21294895427576432,(-0.14498752 * a_y),-0.14498752*a_y,PySRFunction(X=>-0.14498752*a_y)
5,0.027738463,0.17789099525650337,(-0.12888888 * (a_y + a_z)),-0.12888888*a_y - 0.12888888*a_z,PySRFunction(X=>-0.12888888*a_y - 0.12888888*a_z)
7,0.025537394,0.04133809831060108,((0.055013396 * (a_y - a_z)) * gamma_t),gamma_t*(0.055013396*a_y - 0.055013396*a_z),PySRFunction(X=>gamma_t*(0.055013396*a_y - 0.055013396*a_z))
8,0.02444289,0.04380443329137429,(-0.14611961 * (a_z + (a_y - tanh(a_z)))),-0.14611961*a_y - 0.14611961*a_z + 0.14611961*tanh(a_z),PySRFunction(X=>-0.14611961*a_y - 0.14611961*a_z + 0.14611961*tanh(a_z))
9,0.02149685,0.12843296331323045,(-0.048301984 * ((a_y / 0.33437306) + (a_z * gamma_t))),-0.144455369699939*a_y - 0.048301984*a_z*gamma_t,PySRFunction(X=>-0.144455369699939*a_y - 0.048301984*a_z*gamma_t)
11,0.019432105,0.05048990881417354,(-0.0356051 * ((a_y / 0.23334262) - (a_z * (-1.5543897 - gamma_t)))),-0.152587212743219*a_y + 0.0356051*a_z*(-gamma_t - 1.5543897),PySRFunction(X=>-0.152587212743219*a_y + 0.0356051*a_z*(-gamma_t - 1.5543897))
12,0.01943173,1.9298146979643216e-05,(tanh(-0.0356051) * ((a_y / 0.23334262) - (a_z * (-1.5543897 - gamma_t)))),-0.152522765976158*a_y + 0.0355900618225236*a_z*(-gamma_t - 1.5543897),PySRFunction(X=>-0.152522765976158*a_y + 0.0355900618225236*a_z*(-gamma_t - 1.5543897))
13,0.018186888,0.06620640211548785,(-0.0356051 * (((a_y / 0.23334262) - (a_z * (-1.5543897 - gamma_t))) + dgamma_t_2)),-0.152587212743219*a_y + 0.0356051*a_z*(-gamma_t - 1.5543897) - 0.0356051*dgamma_t_2,PySRFunction(X=>-0.152587212743219*a_y + 0.0356051*a_z*(-gamma_t - 1.5543897) - 0.0356051*dgamma_t_2)
15,0.018164145,0.0006256494270048254,(-0.0356051 * (((a_y / 0.23334262) - ((a_z - -0.039149895) * (-1.554224 - gamma_t))) + dgamma_t_2)),-0.152587212743219*a_y - 0.0356051*dgamma_t_2 + 0.0356051*(a_z + 0.039149895)*(-gamma_t - 1.554224),PySRFunction(X=>-0.152587212743219*a_y - 0.0356051*dgamma_t_2 + 0.0356051*(a_z + 0.039149895)*(-gamma_t - 1.554224))
16,0.017838906,0.01806779362542458,(-0.0356051 * ((((a_y / 0.23334262) - (a_z * (-1.554224 - gamma_t))) + dgamma_t_2) - tanh(a_y))),-0.152587212743219*a_y + 0.0356051*a_z*(-gamma_t - 1.554224) - 0.0356051*dgamma_t_2 + 0.0356051*tanh(a_y),PySRFunction(X=>-0.152587212743219*a_y + 0.0356051*a_z*(-gamma_t - 1.554224) - 0.0356051*dgamma_t_2 + 0.0356051*tanh(a_y))
17,0.017472196,0.020770984953292482,(-0.0356051 * (((a_y / 0.23334262) + dgamma_t_2) - (a_z * ((-1.554224 + (dgamma_t_2 / -1.9705799)) - gamma_t)))),-0.152587212743219*a_y + 0.0356051*a_z*(-0.507464833067667*dgamma_t_2 - gamma_t - 1.554224) - 0.0356051*dgamma_t_2,PySRFunction(X=>-0.152587212743219*a_y + 0.0356051*a_z*(-0.507464833067667*dgamma_t_2 - gamma_t - 1.554224) - 0.0356051*dgamma_t_2)
18,0.01747158,3.5256636264076e-05,(tanh(-0.0356051) * (((a_y / 0.23334262) + dgamma_t_2) - (a_z * ((-1.554224 + (dgamma_t_2 / -1.9705799)) - gamma_t)))),-0.152522765976158*a_y + 0.0355900618225236*a_z*(-0.507464833067667*dgamma_t_2 - gamma_t - 1.554224) - 0.0355900618225236*dgamma_t_2,PySRFunction(X=>-0.152522765976158*a_y + 0.0355900618225236*a_z*(-0.507464833067667*dgamma_t_2 - gamma_t - 1.554224) - 0.0355900618225236*dgamma_t_2)
20,0.017031146,0.012765887694586343,(-0.0356051 * (((a_y / 0.23334262) + (dgamma_t_2 - tanh(a_y))) - (a_z * ((-1.554224 + (dgamma_t_2 / -1.9705799)) - gamma_t)))),-0.152587212743219*a_y + 0.0356051*a_z*(-0.507464833067667*dgamma_t_2 - gamma_t - 1.554224) - 0.0356051*dgamma_t_2 + 0.0356051*tanh(a_y),PySRFunction(X=>-0.152587212743219*a_y + 0.0356051*a_z*(-0.507464833067667*dgamma_t_2 - gamma_t - 1.554224) - 0.0356051*dgamma_t_2 + 0.0356051*tanh(a_y))
24,0.016738044,0.004339893266668318,(-0.04480005 * (((a_z - (((a_z * theta_t_1) - dgamma_t_2) - (tanh((a_y * gamma_t) - theta_t_2) * a_y))) + a_y) + (a_y / 0.5562169))),-0.04480005*a_y*tanh(a_y*gamma_t - theta_t_2) - 0.125344258563242*a_y + 0.04480005*a_z*theta_t_1 - 0.04480005*a_z - 0.04480005*dgamma_t_2,PySRFunction(X=>-0.04480005*a_y*tanh(a_y*gamma_t - theta_t_2) - 0.125344258563242*a_y + 0.04480005*a_z*theta_t_1 - 0.04480005*a_z - 0.04480005*dgamma_t_2)
26,0.01673498,9.153639684773891e-05,(-0.04480005 * (((a_z - ((((a_z + tanh(tanh(a_y))) * theta_t_1) - dgamma_t_2) - (tanh(a_y * gamma_t) * a_y))) + a_y) + (a_y / 0.5562169))),-0.04480005*a_y*tanh(a_y*gamma_t) - 0.125344258563242*a_y - 0.04480005*a_z - 0.04480005*dgamma_t_2 + 0.04480005*theta_t_1*(a_z + tanh(tanh(a_y))),PySRFunction(X=>-0.04480005*a_y*tanh(a_y*gamma_t) - 0.125344258563242*a_y - 0.04480005*a_z - 0.04480005*dgamma_t_2 + 0.04480005*theta_t_1*(a_z + tanh(tanh(a_y))))
27,0.016507918,0.013660994973075116,(-0.04480005 * (((a_z - ((((a_z + tanh(a_y)) * theta_t_1) - dgamma_t_2) - ((tanh(a_y * gamma_t) * a_y) * 1.8664759))) + a_y) + (a_y / 0.5562169))),-0.083618213643795*a_y*tanh(a_y*gamma_t) - 0.125344258563242*a_y - 0.04480005*a_z - 0.04480005*dgamma_t_2 + 0.04480005*theta_t_1*(a_z + tanh(a_y)),PySRFunction(X=>-0.083618213643795*a_y*tanh(a_y*gamma_t) - 0.125344258563242*a_y - 0.04480005*a_z - 0.04480005*dgamma_t_2 + 0.04480005*theta_t_1*(a_z + tanh(a_y)))
28,0.0165067,7.378549711240434e-05,(tanh(-0.04480005) * (((a_z - ((((a_z + tanh(a_y)) * theta_t_1) - dgamma_t_2) - ((tanh(a_y * gamma_t) * a_y) * 1.8664759))) + a_y) + (a_y / 0.5562169))),-0.083562316693725*a_y*tanh(a_y*gamma_t) - 0.125260468663205*a_y - 0.0447701021447558*a_z - 0.0447701021447558*dgamma_t_2 + 0.0447701021447558*theta_t_1*(a_z + tanh(a_y)),PySRFunction(X=>-0.083562316693725*a_y*tanh(a_y*gamma_t) - 0.125260468663205*a_y - 0.0447701021447558*a_z - 0.0447701021447558*dgamma_t_2 + 0.0447701021447558*theta_t_1*(a_z + tanh(a_y)))
29,0.016336994,0.01033425231248617,(-0.04480005 * (((a_z - ((((a_z + tanh(a_y)) * theta_t_1) - dgamma_t_2) - ((tanh(a_y * gamma_t) * a_y) * (1.8664759 / 1.1395171)))) + a_y) + (a_y / 0.5562169))),-0.0733803938912325*a_y*tanh(a_y*gamma_t) - 0.125344258563242*a_y - 0.04480005*a_z - 0.04480005*dgamma_t_2 + 0.04480005*theta_t_1*(a_z + tanh(a_y)),PySRFunction(X=>-0.0733803938912325*a_y*tanh(a_y*gamma_t) - 0.125344258563242*a_y - 0.04480005*a_z - 0.04480005*dgamma_t_2 + 0.04480005*theta_t_1*(a_z + tanh(a_y)))
30,0.016286219,0.003112816692778229,(-0.04480005 * ((((a_z - ((((a_z + tanh(a_y)) * theta_t_1) - dgamma_t_2) - ((tanh(tanh(a_y * gamma_t)) * a_y) * 1.8664759))) + a_y) - -0.09684736) + (a_y / 0.5562169))),-0.083618213643795*a_y*tanh(tanh(a_y*gamma_t)) - 0.125344258563242*a_y - 0.04480005*a_z - 0.04480005*dgamma_t_2 + 0.04480005*theta_t_1*(a_z + tanh(a_y)) - 0.004338766570368,PySRFunction(X=>-0.083618213643795*a_y*tanh(tanh(a_y*gamma_t)) - 0.125344258563242*a_y - 0.04480005*a_z - 0.04480005*dgamma_t_2 + 0.04480005*theta_t_1*(a_z + tanh(a_y)) - 0.004338766570368)
