complexity,loss,score,equation,sympy_format,lambda_format
1,0.055326737,0.0,-9.756312e-8,-9.75631200000000e-8,PySRFunction(X=>-9.75631200000000E-8)
3,0.04563725,0.09626600636168886,(0.09843505 * a_y),0.09843505*a_y,PySRFunction(X=>0.09843505*a_y)
5,0.042711902,0.03312332612870625,((a_y - a_x) * 0.08003298),-0.08003298*a_x + 0.08003298*a_y,PySRFunction(X=>-0.08003298*a_x + 0.08003298*a_y)
6,0.042711895,1.6388875811618633e-07,((a_y - a_x) * tanh(0.080151565)),-0.0799803663956166*a_x + 0.0799803663956166*a_y,PySRFunction(X=>-0.0799803663956166*a_x + 0.0799803663956166*a_y)
7,0.03894741,0.09226517827056152,(((a_y * theta_t_1) - a_x) * 0.0750612),-0.0750612*a_x + 0.0750612*a_y*theta_t_1,PySRFunction(X=>-0.0750612*a_x + 0.0750612*a_y*theta_t_1)
9,0.037784677,0.015154312264190258,(((a_y * theta_t_2) - (a_x + dtheta_t_2)) * 0.07338003),-0.07338003*a_x + 0.07338003*a_y*theta_t_2 - 0.07338003*dtheta_t_2,PySRFunction(X=>-0.07338003*a_x + 0.07338003*a_y*theta_t_2 - 0.07338003*dtheta_t_2)
10,0.037558116,0.006014156732780905,(((a_y * theta_t_1) - (a_x + tanh(dtheta_t_2))) * 0.07522743),-0.07522743*a_x + 0.07522743*a_y*theta_t_1 - 0.07522743*tanh(dtheta_t_2),PySRFunction(X=>-0.07522743*a_x + 0.07522743*a_y*theta_t_1 - 0.07522743*tanh(dtheta_t_2))
11,0.037034918,0.014028295996586589,(((a_y * theta_t_1) - (a_x + (dtheta_t_2 / 1.3592347))) * 0.07338003),-0.07338003*a_x + 0.07338003*a_y*theta_t_1 - 0.0539862836050316*dtheta_t_2,PySRFunction(X=>-0.07338003*a_x + 0.07338003*a_y*theta_t_1 - 0.0539862836050316*dtheta_t_2)
12,0.036368195,0.018166568388634733,(((a_y * theta_t_2) - (a_x - (tanh(V_z) * dtheta_t_1))) * 0.08175597),-0.08175597*a_x + 0.08175597*a_y*theta_t_2 + 0.08175597*dtheta_t_1*tanh(V_z),PySRFunction(X=>-0.08175597*a_x + 0.08175597*a_y*theta_t_2 + 0.08175597*dtheta_t_1*tanh(V_z))
13,0.036365513,7.374847439959335e-05,(((a_y * theta_t_2) - (a_x - (tanh(V_z) * dtheta_t_1))) * tanh(0.08175597)),-0.0815743023400859*a_x + 0.0815743023400859*a_y*theta_t_2 + 0.0815743023400859*dtheta_t_1*tanh(V_z),PySRFunction(X=>-0.0815743023400859*a_x + 0.0815743023400859*a_y*theta_t_2 + 0.0815743023400859*dtheta_t_1*tanh(V_z))
14,0.03523751,0.031509740249222117,(((a_y * theta_t_2) - (a_x - (tanh(V_z) * (dtheta_t_1 - dgamma_t)))) * 0.08175597),-0.08175597*a_x + 0.08175597*a_y*theta_t_2 + 0.08175597*(-dgamma_t + dtheta_t_1)*tanh(V_z),PySRFunction(X=>-0.08175597*a_x + 0.08175597*a_y*theta_t_2 + 0.08175597*(-dgamma_t + dtheta_t_1)*tanh(V_z))
15,0.035130326,0.0030463941762701413,(((a_y * theta_t_2) - (a_x - (tanh(tanh(V_z)) * (dtheta_t_1 - dgamma_t)))) * 0.08175597),-0.08175597*a_x + 0.08175597*a_y*theta_t_2 + 0.08175597*(-dgamma_t + dtheta_t_1)*tanh(tanh(V_z)),PySRFunction(X=>-0.08175597*a_x + 0.08175597*a_y*theta_t_2 + 0.08175597*(-dgamma_t + dtheta_t_1)*tanh(tanh(V_z)))
