complexity,loss,score,equation,sympy_format,lambda_format
1,0.060612425,0.0,3.8332377e-7,3.83323770000000e-7,PySRFunction(X=>3.83323770000000E-7)
2,0.060612418,1.1548787893406557e-07,tanh(1.15147444e-7),1.15147443999999e-7,PySRFunction(X=>1.15147443999999E-7)
3,0.039591007,0.4258977930636497,(-0.14498778 * a_y),-0.14498778*a_y,PySRFunction(X=>-0.14498778*a_y)
5,0.027738463,0.17789099525650337,(-0.12888876 * (a_y + a_z)),-0.12888876*a_y - 0.12888876*a_z,PySRFunction(X=>-0.12888876*a_y - 0.12888876*a_z)
7,0.027074903,0.012106397878907943,(-0.14498778 * (a_y + (a_z / 1.3111944))),-0.14498778*a_y - 0.110576875557126*a_z,PySRFunction(X=>-0.14498778*a_y - 0.110576875557126*a_z)
8,0.024362063,0.10558008297081894,(0.15336122 * ((tanh(a_z) - a_z) - a_y)),-0.15336122*a_y - 0.15336122*a_z + 0.15336122*tanh(a_z),PySRFunction(X=>-0.15336122*a_y - 0.15336122*a_z + 0.15336122*tanh(a_z))
9,0.02150193,0.12488442872238334,(0.14430158 * (((-0.34148005 * a_z) * gamma_t) - a_y)),-0.14430158*a_y - 0.049276110753479*a_z*gamma_t,PySRFunction(X=>-0.14430158*a_y - 0.049276110753479*a_z*gamma_t)
10,0.021496657,0.0002452638746678784,(0.14429562 * (((sin(-0.34238166) * gamma_t) * a_z) - a_y)),-0.14429562*a_y - 0.0484445799353835*a_z*gamma_t,PySRFunction(X=>-0.14429562*a_y - 0.0484445799353835*a_z*gamma_t)
11,0.01943986,0.10057183731168344,(0.14677522 * (((-0.28352892 * a_z) * (1.1419299 + gamma_t)) - a_y)),-0.14677522*a_y - 0.0416150196093624*a_z*(gamma_t + 1.1419299),PySRFunction(X=>-0.14677522*a_y - 0.0416150196093624*a_z*(gamma_t + 1.1419299))
12,0.01942357,0.000838320290001348,(0.14677522 * (((sin(-0.28352892) * a_z) * (1.1419299 + gamma_t)) - a_y)),-0.14677522*a_y - 0.0410596938791379*a_z*(gamma_t + 1.1419299),PySRFunction(X=>-0.14677522*a_y - 0.0410596938791379*a_z*(gamma_t + 1.1419299))
13,0.019413825,0.0005018359343882937,(0.14677522 * (((sin(tanh(-0.28352892)) * a_z) * (1.1419299 + gamma_t)) - a_y)),-0.14677522*a_y - 0.0400213289743402*a_z*(gamma_t + 1.1419299),PySRFunction(X=>-0.14677522*a_y - 0.0400213289743402*a_z*(gamma_t + 1.1419299))
14,0.019406915,0.00035599527845043736,(tanh(0.14430158) * ((((-0.29655325 + 0.03411319) * a_z) * (gamma_t - -1.645412)) - a_y)),-0.143308258067068*a_y - 0.0376098278456169*a_z*(gamma_t + 1.645412),PySRFunction(X=>-0.143308258067068*a_y - 0.0376098278456169*a_z*(gamma_t + 1.645412))
15,0.019056909,0.018199732870831955,(0.06258455 * ((((a_z * gamma_t_1) + (a_z + dgamma_t_2)) * -0.6932033) - (a_y + a_y))),-0.1251691*a_y - 0.043383816589015*a_z*gamma_t_1 - 0.043383816589015*a_z - 0.043383816589015*dgamma_t_2,PySRFunction(X=>-0.1251691*a_y - 0.043383816589015*a_z*gamma_t_1 - 0.043383816589015*a_z - 0.043383816589015*dgamma_t_2)
16,0.018810371,0.013021346316863565,(0.14677522 * (((-0.28352892 * a_z) * ((sign(1.644493 + dgamma_t_1) + 0.37959233) + gamma_t_2)) - a_y)),-0.14677522*a_y - 0.0416150196093624*a_z*(gamma_t_2 + sign(dgamma_t_1 + 1.644493) + 0.37959233),PySRFunction(X=>-0.14677522*a_y - 0.0416150196093624*a_z*(gamma_t_2 + sign(dgamma_t_1 + 1.644493) + 0.37959233))
17,0.018478727,0.01778818811028189,(0.06258455 * ((((a_z * gamma_t_1) + (a_z + dgamma_t_2)) * -0.6932033) - ((a_y + a_y) * 1.1769949))),-0.14732339233759*a_y - 0.043383816589015*a_z*gamma_t_1 - 0.043383816589015*a_z - 0.043383816589015*dgamma_t_2,PySRFunction(X=>-0.14732339233759*a_y - 0.043383816589015*a_z*gamma_t_1 - 0.043383816589015*a_z - 0.043383816589015*dgamma_t_2)
18,0.018416537,0.003371167578468253,(0.06258455 * ((((a_z * gamma_t_1) + (a_z + dgamma_t_2)) * sin(-0.6932033)) - ((a_y / 0.76884246) + a_y))),-0.143985556390828*a_y - 0.0399918056110288*a_z*gamma_t_1 - 0.0399918056110288*a_z - 0.0399918056110288*dgamma_t_2,PySRFunction(X=>-0.143985556390828*a_y - 0.0399918056110288*a_z*gamma_t_1 - 0.0399918056110288*a_z - 0.0399918056110288*dgamma_t_2)
20,0.018402543,0.0003800746969734958,(0.06258455 * (((((a_z * gamma_t_1) + (a_z + dgamma_t_2)) * sin(-0.6932033)) - -0.031890206) - ((a_y / 0.76884246) + a_y))),-0.143985556390828*a_y - 0.0399918056110288*a_z*gamma_t_1 - 0.0399918056110288*a_z - 0.0399918056110288*dgamma_t_2 + 0.0019958341919173,PySRFunction(X=>-0.143985556390828*a_y - 0.0399918056110288*a_z*gamma_t_1 - 0.0399918056110288*a_z - 0.0399918056110288*dgamma_t_2 + 0.0019958341919173)
21,0.018347314,0.0030056738222720863,(0.06258455 * ((((a_z * gamma_t_1) + (a_z + dgamma_t_2)) * -0.6932033) - (((a_y + a_y) * 1.1769949) + tanh(tanh(gamma_t_1))))),-0.14732339233759*a_y - 0.043383816589015*a_z*gamma_t_1 - 0.043383816589015*a_z - 0.043383816589015*dgamma_t_2 - 0.06258455*tanh(tanh(gamma_t_1)),PySRFunction(X=>-0.14732339233759*a_y - 0.043383816589015*a_z*gamma_t_1 - 0.043383816589015*a_z - 0.043383816589015*dgamma_t_2 - 0.06258455*tanh(tanh(gamma_t_1)))
