Complexity,Loss,Equation
1,0.055326737,"-2.1096176e-7"
3,0.04563725,"(0.09843616 * a_y)"
5,0.042711895,"(0.07997844 * (a_y - a_x))"
6,0.04262501,"sin(0.08846098 * (a_y - a_x))"
7,0.038983632,"(0.07222293 * ((a_y * theta_t) - a_x))"
8,0.038947973,"(square(0.27481037) * ((a_y * theta_t_1) - a_x))"
9,0.038189918,"(0.05878648 * ((a_y * (theta_t_2 + 0.60389143)) - a_x))"
10,0.037870806,"(square(0.27481037) * (((a_y * theta_t) - a_x) - dtheta_t_2))"
11,0.036836393,"(0.045832407 * ((((a_y * theta_t_1) - a_x) / 0.5775248) - dtheta_t_2))"
13,0.036304165,"(0.036965363 * (((((a_y * theta_t_1) - a_x) / 0.60828066) - dtheta_t_2) + a_y))"
15,0.035692498,"(0.036965363 * ((((((a_y * theta_t_1) - a_x) / 0.60828066) - dtheta_t_2) + a_y) - v_abs_v_z))"
17,0.035683103,"((0.036965363 * ((((((a_y * theta_t_1) - a_x) / 0.60828066) - dtheta_t_2) + a_y) - v_abs_v_z)) * 1.0435266)"
18,0.034897737,"(tanh(0.036965363) * (((((a_y * theta_t_1) - a_x) / 0.47841534) + square(dgamma_t_1 * sin(-0.69252336))) - dtheta_t_2))"
19,0.034873005,"(tanh(0.036965363) * (((((a_y * theta_t_1) - a_x) / 0.47841534) + square(dgamma_t_1 * tanh(sin(-2.1122992)))) - dtheta_t_2))"
23,0.034821406,"(0.036965363 * ((((((a_y * theta_t_1) - a_x) / 0.47841534) + square(dgamma_t_1 * sin(0.47841534 * -1.7833167))) - (dtheta_t_2 - 0.42641574)) + -0.61335516))"
24,0.034519177,"(tanh(0.036965363) * (((((a_y * theta_t_1) - a_x) / 0.47841534) + (square(sin(tanh((dgamma_t_2 / gamma_t_1) * dtheta_t_2))) * square(dgamma_t_2))) - dtheta_t_2))"
