complexity,loss,score,equation,sympy_format,lambda_format
1,0.055326737,0.0,-2.1096176e-7,-2.10961760000000e-7,PySRFunction(X=>-2.10961760000000E-7)
3,0.04563725,0.09626600636168886,(0.09843616 * a_y),0.09843616*a_y,PySRFunction(X=>0.09843616*a_y)
5,0.042711895,0.033123408073085295,(0.07997844 * (a_y - a_x)),-0.07997844*a_x + 0.07997844*a_y,PySRFunction(X=>-0.07997844*a_x + 0.07997844*a_y)
6,0.04262501,0.0020362826615754233,sin(0.08846098 * (a_y - a_x)),-sin(0.08846098*a_x - 0.08846098*a_y),PySRFunction(X=>-sin(0.08846098*a_x - 0.08846098*a_y))
7,0.038983632,0.0892993044812709,(0.07222293 * ((a_y * theta_t) - a_x)),-0.07222293*a_x + 0.07222293*a_y*theta_t,PySRFunction(X=>-0.07222293*a_x + 0.07222293*a_y*theta_t)
8,0.038947973,0.0009151358422201449,(square(0.27481037) * ((a_y * theta_t_1) - a_x)),-0.0755207394595369*a_x + 0.0755207394595369*a_y*theta_t_1,PySRFunction(X=>-0.0755207394595369*a_x + 0.0755207394595369*a_y*theta_t_1)
9,0.038189918,0.019655175808090158,(0.05878648 * ((a_y * (theta_t_2 + 0.60389143)) - a_x)),-0.05878648*a_x + 0.05878648*a_y*(theta_t_2 + 0.60389143),PySRFunction(X=>-0.05878648*a_x + 0.05878648*a_y*(theta_t_2 + 0.60389143))
10,0.037870806,0.008391029051226894,(square(0.27481037) * (((a_y * theta_t) - a_x) - dtheta_t_2)),-0.0755207394595369*a_x + 0.0755207394595369*a_y*theta_t - 0.0755207394595369*dtheta_t_2,PySRFunction(X=>-0.0755207394595369*a_x + 0.0755207394595369*a_y*theta_t - 0.0755207394595369*dtheta_t_2)
11,0.036836393,0.027694228311894435,(0.045832407 * ((((a_y * theta_t_1) - a_x) / 0.5775248) - dtheta_t_2)),-0.0793600673079321*a_x + 0.0793600673079321*a_y*theta_t_1 - 0.045832407*dtheta_t_2,PySRFunction(X=>-0.0793600673079321*a_x + 0.0793600673079321*a_y*theta_t_1 - 0.045832407*dtheta_t_2)
13,0.036304165,0.0072769118660872935,(0.036965363 * (((((a_y * theta_t_1) - a_x) / 0.60828066) - dtheta_t_2) + a_y)),-0.0607702421444732*a_x + 0.0607702421444732*a_y*theta_t_1 + 0.036965363*a_y - 0.036965363*dtheta_t_2,PySRFunction(X=>-0.0607702421444732*a_x + 0.0607702421444732*a_y*theta_t_1 + 0.036965363*a_y - 0.036965363*dtheta_t_2)
15,0.035692498,0.008495973166912939,(0.036965363 * ((((((a_y * theta_t_1) - a_x) / 0.60828066) - dtheta_t_2) + a_y) - v_abs_v_z)),-0.0607702421444732*a_x + 0.0607702421444732*a_y*theta_t_1 + 0.036965363*a_y - 0.036965363*dtheta_t_2 - 0.036965363*v_abs_v_z,PySRFunction(X=>-0.0607702421444732*a_x + 0.0607702421444732*a_y*theta_t_1 + 0.036965363*a_y - 0.036965363*dtheta_t_2 - 0.036965363*v_abs_v_z)
17,0.035683103,0.00013162761395535026,((0.036965363 * ((((((a_y * theta_t_1) - a_x) / 0.60828066) - dtheta_t_2) + a_y) - v_abs_v_z)) * 1.0435266),-0.0634153641661989*a_x + 0.0634153641661989*a_y*theta_t_1 + 0.0385743395691558*a_y - 0.0385743395691558*dtheta_t_2 - 0.0385743395691558*v_abs_v_z,PySRFunction(X=>-0.0634153641661989*a_x + 0.0634153641661989*a_y*theta_t_1 + 0.0385743395691558*a_y - 0.0385743395691558*dtheta_t_2 - 0.0385743395691558*v_abs_v_z)
