Complexity,Loss,Equation
1,0.049326085,"-2.251062e-8"
3,0.02014387,"(a_y * -0.17082909)"
5,0.020142516,"((a_y * -0.17082962) - -0.0011310106)"
6,0.01805093,"((a_y - tanh(a_y)) * -0.24165168)"
7,0.017868087,"((a_y - tanh(tanh(a_y))) * -0.2268117)"
8,0.017705156,"((a_y * square(square(tanh(a_y)))) * -0.19220497)"
9,0.01712347,"((a_y * square(tanh(a_y) - 0.08556635)) * -0.17854308)"
10,0.01632298,"((a_y - tanh(a_y - (0.24378195 * dgamma_t_2))) * -0.24165168)"
11,0.016216818,"((a_y - sin(tanh(a_y - (dgamma_t_2 * 0.2955398)))) * -0.23373841)"
12,0.016127814,"((a_y - tanh(a_y - ((-0.24729846 - dgamma_t_2) * -0.24729846))) * -0.24165168)"
13,0.015312209,"(-0.054704208 * ((a_y * (square(-1.8315358) - (sin(gamma_t) * gamma_t))) + dgamma_t_2))"
14,0.015310843,"(tanh(-0.054704208) * ((a_y * (square(-1.8315358) - (sin(gamma_t) * gamma_t))) + dgamma_t_2))"
15,0.015026362,"(-0.054704208 * (((a_y * (square(1.8350546) - (sin(gamma_t) * gamma_t_2))) + dgamma_t_2) + a_z))"
16,0.014512103,"(-0.054704208 * (((a_y * (square(-1.8315358) - (sin(gamma_t) * gamma_t))) + dgamma_t_2) + tanh(a_z)))"
17,0.01355013,"(-0.052188423 * ((a_y + (a_y + dgamma_t_2)) - (abs(a_y) * (sin(gamma_t_2 * -1.5759691) - gamma_t))))"
19,0.012594726,"(-0.054704208 * (((a_y * 1.8168825) - (abs(a_y) * ((sin(gamma_t_2 * -1.6650956) / 0.55776376) - gamma_t))) + dgamma_t_2))"
20,0.012567805,"(-0.054704208 * (((a_y * 1.8168825) - (abs(a_y) * ((sin(sin(gamma_t_2 * -1.6650956)) * 2.0292132) - gamma_t))) + dgamma_t_2))"
21,0.012522854,"(-0.054704208 * ((a_y - (((abs(a_y) / 1.2445271) * ((sin(gamma_t_2 * -1.7310137) / 0.52078116) - gamma_t_1)) - a_y)) + dgamma_t_2))"
22,0.01229805,"(-0.054704208 * (((a_y * 2.0411642) - ((abs(a_y) * ((sin(gamma_t * -1.6650956) / 0.55776376) - gamma_t)) - tanh(a_z))) + dgamma_t_2))"
23,0.012060835,"(-0.054704208 * ((((a_y * 1.8168825) - (abs(a_y) * ((sin(gamma_t * -1.7310137) / 0.55776376) - gamma_t_1))) + square(tanh(dgamma_t))) + dgamma_t_2))"
24,0.011966173,"(-0.054704208 * ((((a_y * 1.8168825) - (abs(a_y) * ((sin(sin(gamma_t_1 * -1.6650956)) * 2.0292132) - gamma_t_2))) + square(tanh(dgamma_t_2))) + dgamma_t_2))"
25,0.011708008,"(-0.054704208 * ((((a_y * 1.8168825) - (abs(a_y) * ((sin(gamma_t * -1.7310137) / 0.6202924) - gamma_t))) + tanh(square(dgamma_t_2) + a_z)) + dgamma_t_2))"
26,0.0116653005,"(-0.054704208 * ((((a_y * 1.8168825) - (abs(a_y) * ((sin(sin(gamma_t * -1.7310137)) / 0.49128512) - gamma_t))) + tanh(square(dgamma_t_2) + a_z)) + dgamma_t_2))"
27,0.011515505,"(-0.054704208 * ((((a_y * 1.664493) - (abs(a_y) * ((sin(gamma_t * -1.7310137) / 0.5496851) - gamma_t))) + tanh(square(dgamma_t_2) + (a_z + a_y))) + dgamma_t_2))"
28,0.01147714,"(-0.054704208 * ((((a_y * 1.664493) - (abs(a_y) * ((tanh(sin(gamma_t * -1.7310137)) / 0.4501197) - gamma_t))) + tanh(square(dgamma_t_2) + (a_z + a_y))) + dgamma_t_2))"
29,0.01143952,"(-0.054704208 * (((((a_y * 1.664493) - (abs(a_y) * ((sin(gamma_t * -1.7310137) / 0.5496851) - gamma_t))) + tanh(square(dgamma_t_2) + (a_z + a_y))) - 0.14668104) + dgamma_t_2))"
30,0.011397231,"(-0.054704208 * ((((a_y * 1.6803845) - (abs(a_y / 1.0965863) * ((sin(sin(gamma_t * -1.7310137)) / 0.52078116) - gamma_t_2))) + tanh(abs(dgamma_t_2) + (a_z + a_y))) + dgamma_t_2))"
