complexity,loss,score,equation,sympy_format,lambda_format
1,0.049326085,0.0,-2.251062e-8,-2.25106200000000e-8,PySRFunction(X=>-2.25106200000000E-8)
3,0.02014387,0.44777651243953964,(a_y * -0.17082909),-0.17082909*a_y,PySRFunction(X=>-0.17082909*a_y)
5,0.020142516,3.360936869619846e-05,((a_y * -0.17082962) - -0.0011310106),0.0011310106 - 0.17082962*a_y,PySRFunction(X=>0.0011310106 - 0.17082962*a_y)
6,0.01805093,0.10963559801191967,((a_y - tanh(a_y)) * -0.24165168),-0.24165168*a_y + 0.24165168*tanh(a_y),PySRFunction(X=>-0.24165168*a_y + 0.24165168*tanh(a_y))
7,0.017868087,0.01018093447966153,((a_y - tanh(tanh(a_y))) * -0.2268117),-0.2268117*a_y + 0.2268117*tanh(tanh(a_y)),PySRFunction(X=>-0.2268117*a_y + 0.2268117*tanh(tanh(a_y)))
8,0.017705156,0.009160375922273556,((a_y * square(square(tanh(a_y)))) * -0.19220497),-0.19220497*a_y*tanh(a_y)**4,PySRFunction(X=>-0.19220497*a_y*tanh(a_y)**4)
9,0.01712347,0.0334058595041029,((a_y * square(tanh(a_y) - 0.08556635)) * -0.17854308),-0.17854308*a_y*(tanh(a_y) - 0.08556635)**2,PySRFunction(X=>-0.17854308*a_y*(tanh(a_y) - 0.08556635)**2)
10,0.01632298,0.04787610618508217,((a_y - tanh(a_y - (0.24378195 * dgamma_t_2))) * -0.24165168),-0.24165168*a_y + 0.24165168*tanh(a_y - 0.24378195*dgamma_t_2),PySRFunction(X=>-0.24165168*a_y + 0.24165168*tanh(a_y - 0.24378195*dgamma_t_2))
11,0.016216818,0.006525079022820856,((a_y - sin(tanh(a_y - (dgamma_t_2 * 0.2955398)))) * -0.23373841),-0.23373841*a_y + 0.23373841*sin(tanh(a_y - 0.2955398*dgamma_t_2)),PySRFunction(X=>-0.23373841*a_y + 0.23373841*sin(tanh(a_y - 0.2955398*dgamma_t_2)))
12,0.016127814,0.0055034927990026145,((a_y - tanh(a_y - ((-0.24729846 - dgamma_t_2) * -0.24729846))) * -0.24165168),-0.24165168*a_y - 0.24165168*tanh(-a_y + 0.24729846*dgamma_t_2 + 0.0611565283183716),PySRFunction(X=>-0.24165168*a_y - 0.24165168*tanh(-a_y + 0.24729846*dgamma_t_2 + 0.0611565283183716))
13,0.015312209,0.051894875041627084,(-0.054704208 * ((a_y * (square(-1.8315358) - (sin(gamma_t) * gamma_t))) + dgamma_t_2)),-0.054704208*a_y*(-gamma_t*sin(gamma_t) + 3.35452338668164) - 0.054704208*dgamma_t_2,PySRFunction(X=>-0.054704208*a_y*(-gamma_t*sin(gamma_t) + 3.35452338668164) - 0.054704208*dgamma_t_2)
14,0.015310843,8.921383805293223e-05,(tanh(-0.054704208) * ((a_y * (square(-1.8315358) - (sin(gamma_t) * gamma_t))) + dgamma_t_2)),-0.0546497048743933*a_y*(-gamma_t*sin(gamma_t) + 3.35452338668164) - 0.0546497048743933*dgamma_t_2,PySRFunction(X=>-0.0546497048743933*a_y*(-gamma_t*sin(gamma_t) + 3.35452338668164) - 0.0546497048743933*dgamma_t_2)
15,0.015026362,0.018755144973304806,(-0.054704208 * (((a_y * (square(1.8350546) - (sin(gamma_t) * gamma_t_2))) + dgamma_t_2) + a_z)),-0.054704208*a_y*(-gamma_t_2*sin(gamma_t) + 3.36742538498116) - 0.054704208*a_z - 0.054704208*dgamma_t_2,PySRFunction(X=>-0.054704208*a_y*(-gamma_t_2*sin(gamma_t) + 3.36742538498116) - 0.054704208*a_z - 0.054704208*dgamma_t_2)
16,0.014512103,0.03482313430936121,(-0.054704208 * (((a_y * (square(-1.8315358) - (sin(gamma_t) * gamma_t))) + dgamma_t_2) + tanh(a_z))),-0.054704208*a_y*(-gamma_t*sin(gamma_t) + 3.35452338668164) - 0.054704208*dgamma_t_2 - 0.054704208*tanh(a_z),PySRFunction(X=>-0.054704208*a_y*(-gamma_t*sin(gamma_t) + 3.35452338668164) - 0.054704208*dgamma_t_2 - 0.054704208*tanh(a_z))
17,0.01355013,0.06858684954638643,(-0.052188423 * ((a_y + (a_y + dgamma_t_2)) - (abs(a_y) * (sin(gamma_t_2 * -1.5759691) - gamma_t)))),-0.104376846*a_y - 0.052188423*dgamma_t_2 + 0.052188423*(-gamma_t - sin(1.5759691*gamma_t_2))*Abs(a_y),PySRFunction(X=>-0.104376846*a_y - 0.052188423*dgamma_t_2 + 0.052188423*(-gamma_t - sin(1.5759691*gamma_t_2))*Abs(a_y))
