Complexity,Loss,Equation
1,0.045195308,"3.562395e-8"
3,0.030747395,"(a_y * 0.120199464)"
5,0.027634714,"((a_y * theta_t_1) * 0.052508257)"
6,0.026650693,"((a_y * abs(theta_t)) * 0.054574795)"
7,0.024777249,"((a_y * (theta_t - -1.6903344)) * 0.03814805)"
8,0.024597107,"((a_y * abs(theta_t + l)) * 0.05403797)"
9,0.022865092,"(((a_y * (theta_t + 1.5395153)) - dtheta_t_2) * 0.040765382)"
10,0.02238678,"(((a_y * (theta_t + square(l))) - dtheta_t_2) * 0.050765146)"
11,0.02212071,"(((a_y * abs(theta_t + square(l))) - dtheta_t_2) * 0.05099889)"
12,0.02202893,"(((a_y * (theta_t + square(l + 0.19635811))) - dtheta_t_2) * 0.050765146)"
13,0.021604585,"((((a_y * (theta_t + square(l))) - dtheta_t_2) + abs(dgamma_t_2)) * 0.04887485)"
14,0.021176046,"(((a_y * abs(theta_t + l)) - ((dtheta_t_2 * 0.40366697) * dgamma_t_2)) * 0.05755298)"
15,0.020894468,"(((((a_y * abs(theta_t + l)) - dtheta_t_2) - gamma_t_2) - abs(a_y)) * 0.054574795)"
16,0.019429574,"(((((a_y * abs(theta_t + l)) - dtheta_t_2) + abs(dgamma_t_2)) - abs(a_y)) * 0.04887485)"
18,0.019278614,"(((((a_y * abs(theta_t + l)) - dtheta_t_2) + abs(dgamma_t_2)) - abs(a_y + 0.27910313)) * 0.04887485)"
19,0.019278571,"(((((a_y * abs(theta_t + l)) - dtheta_t_2) + abs(dgamma_t_2)) - abs(a_y + sin(0.27910313))) * 0.04887485)"
20,0.018678721,"(((((a_y * abs(theta_t_1 + l)) + ((square(dgamma_t_2) - dtheta_t_2) * 0.68176275)) * 0.68176275) - abs(a_y)) * 0.06259924)"
21,0.018620431,"((((((a_y * abs(theta_t + l)) - dtheta_t_2) + (square(dgamma_t_2) * 0.62288386)) * cos(-0.7946612)) - abs(a_y)) * 0.06259924)"
22,0.0182436,"(((((a_y * abs(theta_t_1 + l)) + ((square(dgamma_t_2) - (dtheta_t_2 + a_x)) * 0.68176275)) * 0.68176275) - abs(a_y)) * 0.06259924)"
23,0.018052667,"((((((a_y * abs(theta_t_2 + l)) - dtheta_t_2) + ((square(dgamma_t_2) - a_x) * 0.62288386)) * cos(-0.7946612)) - abs(a_y)) * 0.06259924)"
25,0.017887056,"(((((a_y * abs(theta_t_2 + l)) + ((abs(square(dgamma_t_2) - dtheta_t_2) - (dtheta_t_2 + a_x)) * 0.62288386)) * 0.68176275) - abs(a_y)) * 0.06259924)"
26,0.017778564,"(((((a_y * abs(theta_t_2 + l)) + abs((abs(square(dgamma_t_2) - dtheta_t_2) - (dtheta_t_2 + a_x)) * -0.6128581)) * 0.7162168) - abs(a_y)) * 0.06259924)"
27,0.017661229,"(((((a_y * abs((theta_t + l) + 0.35219496)) + ((abs(square(dgamma_t_2) - dtheta_t_2) - (dtheta_t_2 + a_x)) * 0.62288386)) * 0.68176275) - abs(a_y)) * 0.06259924)"
28,0.017514078,"((((((a_y - 0.21629202) * abs(theta_t_2 + l)) + abs((abs(square(dgamma_t_2) - dtheta_t_2) - (dtheta_t_2 + a_x)) * -0.6128581)) * 0.7162168) - abs(a_y)) * 0.06259924)"
30,0.017430129,"(((((a_y * abs(theta_t_2 + l)) + abs((abs((square(dgamma_t_2) - dtheta_t_2) - dtheta_t_2) - (dtheta_t_2 + a_x)) * -0.6128581)) * 0.68176275) - (abs(a_y) * 1.3420144)) * 0.06259924)"
