complexity,loss,score,equation,sympy_format,lambda_format
1,0.045195308,0.0,3.562395e-8,3.56239500000000e-8,PySRFunction(X=>3.56239500000000E-8)
3,0.030747395,0.19259400046174527,(a_y * 0.120199464),0.120199464*a_y,PySRFunction(X=>0.120199464*a_y)
5,0.027634714,0.053366269590002416,((a_y * theta_t_1) * 0.052508257),0.052508257*a_y*theta_t_1,PySRFunction(X=>0.052508257*a_y*theta_t_1)
6,0.026650693,0.036257582010704364,((a_y * abs(theta_t)) * 0.054574795),0.054574795*a_y*Abs(theta_t),PySRFunction(X=>0.054574795*a_y*Abs(theta_t))
7,0.024777249,0.07288930093710082,((a_y * (theta_t - -1.6903344)) * 0.03814805),0.03814805*a_y*(theta_t + 1.6903344),PySRFunction(X=>0.03814805*a_y*(theta_t + 1.6903344))
8,0.024597107,0.00729701869231886,((a_y * abs(theta_t + l)) * 0.05403797),0.05403797*a_y*Abs(l + theta_t),PySRFunction(X=>0.05403797*a_y*Abs(l + theta_t))
9,0.022865092,0.07301745367788195,(((a_y * (theta_t + 1.5395153)) - dtheta_t_2) * 0.040765382),0.040765382*a_y*(theta_t + 1.5395153) - 0.040765382*dtheta_t_2,PySRFunction(X=>0.040765382*a_y*(theta_t + 1.5395153) - 0.040765382*dtheta_t_2)
10,0.02238678,0.021140774653165204,(((a_y * (theta_t + square(l))) - dtheta_t_2) * 0.050765146),0.050765146*a_y*(l**2 + theta_t) - 0.050765146*dtheta_t_2,PySRFunction(X=>0.050765146*a_y*(l**2 + theta_t) - 0.050765146*dtheta_t_2)
11,0.02212071,0.011956332277438501,(((a_y * abs(theta_t + square(l))) - dtheta_t_2) * 0.05099889),0.05099889*a_y*Abs(l**2 + theta_t) - 0.05099889*dtheta_t_2,PySRFunction(X=>0.05099889*a_y*Abs(l**2 + theta_t) - 0.05099889*dtheta_t_2)
12,0.02202893,0.004157684285155751,(((a_y * (theta_t + square(l + 0.19635811))) - dtheta_t_2) * 0.050765146),0.050765146*a_y*(theta_t + (l + 0.19635811)**2) - 0.050765146*dtheta_t_2,PySRFunction(X=>0.050765146*a_y*(theta_t + (l + 0.19635811)**2) - 0.050765146*dtheta_t_2)
13,0.021604585,0.019451028820182587,((((a_y * (theta_t + square(l))) - dtheta_t_2) + abs(dgamma_t_2)) * 0.04887485),0.04887485*a_y*(l**2 + theta_t) - 0.04887485*dtheta_t_2 + 0.04887485*Abs(dgamma_t_2),PySRFunction(X=>0.04887485*a_y*(l**2 + theta_t) - 0.04887485*dtheta_t_2 + 0.04887485*Abs(dgamma_t_2))
