complexity,loss,score,equation,sympy_format,lambda_format
1,0.06061242,0.0,-3.7084057e-8,-3.70840570000000e-8,PySRFunction(X=>-3.70840570000000E-8)
2,0.060612418,3.2996538157735844e-08,sin(8.916922e-8),8.91692199999999e-8,PySRFunction(X=>8.91692199999999E-8)
3,0.039591007,0.4258977930636497,(-0.14498758 * a_y),-0.14498758*a_y,PySRFunction(X=>-0.14498758*a_y)
5,0.027738463,0.17789099525650337,((a_z + a_y) * -0.12888876),-0.12888876*a_y - 0.12888876*a_z,PySRFunction(X=>-0.12888876*a_y - 0.12888876*a_z)
7,0.026229981,0.027958468240269162,(-0.17842995 * ((a_y - a_surge) - a_x)),0.17842995*a_surge + 0.17842995*a_x - 0.17842995*a_y,PySRFunction(X=>0.17842995*a_surge + 0.17842995*a_x - 0.17842995*a_y)
8,0.0259571,0.010457894244850155,((sin(a_z) - (a_z + a_y)) * 0.13801208),-0.13801208*a_y - 0.13801208*a_z + 0.13801208*sin(a_z),PySRFunction(X=>-0.13801208*a_y - 0.13801208*a_z + 0.13801208*sin(a_z))
9,0.021496775,0.1885422513897597,(-0.14401947 * (a_y + ((a_z * gamma_t) * 0.33692294))),-0.14401947*a_y - 0.0485234632496418*a_z*gamma_t,PySRFunction(X=>-0.14401947*a_y - 0.0485234632496418*a_z*gamma_t)
11,0.019368293,0.05213278815745017,(-0.14525543 * (a_y + (a_z * (0.24669388 * (gamma_t - -1.5931225))))),-0.14525543*a_y - 0.14525543*a_z*(0.24669388*gamma_t + 0.3930135708403),PySRFunction(X=>-0.14525543*a_y - 0.14525543*a_z*(0.24669388*gamma_t + 0.3930135708403))
13,0.018283267,0.02882553879880805,(((a_z * (-1.4048535 - gamma_t)) - ((a_y / 0.2782972) + dgamma_t_2)) * 0.04059802),-0.145880087906023*a_y + 0.04059802*a_z*(-gamma_t - 1.4048535) - 0.04059802*dgamma_t_2,PySRFunction(X=>-0.145880087906023*a_y + 0.04059802*a_z*(-gamma_t - 1.4048535) - 0.04059802*dgamma_t_2)
14,0.018282605,3.6208626452029265e-05,(((a_z * (-1.4048535 - gamma_t)) - ((a_y / 0.2782972) + dgamma_t_2)) * sin(0.04059802)),-0.145840017966951*a_y + 0.0405868686481523*a_z*(-gamma_t - 1.4048535) - 0.0405868686481523*dgamma_t_2,PySRFunction(X=>-0.145840017966951*a_y + 0.0405868686481523*a_z*(-gamma_t - 1.4048535) - 0.0405868686481523*dgamma_t_2)
15,0.01822923,0.002923711614121093,((((0.06506074 - (a_z * (gamma_t - -1.2608207))) - dgamma_t_2) - (a_y / 0.2782972)) * 0.04059802),-0.145880087906023*a_y - 0.04059802*a_z*(gamma_t + 1.2608207) - 0.04059802*dgamma_t_2 + 0.0026413372237348,PySRFunction(X=>-0.145880087906023*a_y - 0.04059802*a_z*(gamma_t + 1.2608207) - 0.04059802*dgamma_t_2 + 0.0026413372237348)
16,0.01770351,0.02926342472472754,(((sin(a_y) - (a_z * (gamma_t + 1.1493767))) - ((a_y / 0.2782972) + dgamma_t_2)) * 0.04059802),-0.145880087906023*a_y - 0.04059802*a_z*(gamma_t + 1.1493767) - 0.04059802*dgamma_t_2 + 0.04059802*sin(a_y),PySRFunction(X=>-0.145880087906023*a_y - 0.04059802*a_z*(gamma_t + 1.1493767) - 0.04059802*dgamma_t_2 + 0.04059802*sin(a_y))
17,0.017417068,0.016312280031150518,(((a_z * (-1.4048535 - (gamma_t_2 - (-0.5074241 * dgamma_t_2)))) - ((a_y / 0.2782972) + dgamma_t_2)) * 0.04059802),-0.145880087906023*a_y + 0.04059802*a_z*(-0.5074241*dgamma_t_2 - gamma_t_2 - 1.4048535) - 0.04059802*dgamma_t_2,PySRFunction(X=>-0.145880087906023*a_y + 0.04059802*a_z*(-0.5074241*dgamma_t_2 - gamma_t_2 - 1.4048535) - 0.04059802*dgamma_t_2)
18,0.017387278,0.0017118555984268764,(((a_z * (sin(-1.4048535) - (gamma_t_2 - (-0.5074241 * dgamma_t_2)))) - ((a_y / 0.2782972) + dgamma_t_2)) * 0.04059802),-0.145880087906023*a_y + 0.04059802*a_z*(-0.5074241*dgamma_t_2 - gamma_t_2 - 0.986263055445873) - 0.04059802*dgamma_t_2,PySRFunction(X=>-0.145880087906023*a_y + 0.04059802*a_z*(-0.5074241*dgamma_t_2 - gamma_t_2 - 0.986263055445873) - 0.04059802*dgamma_t_2)
19,0.017328534,0.003384282416786887,(((a_z * (-1.4048535 - (gamma_t_2 - (-0.5074241 * (dgamma_t_2 - 0.49941656))))) - ((a_y / 0.2782972) + dgamma_t_2)) * 0.04059802),-0.145880087906023*a_y + 0.04059802*a_z*(-0.5074241*dgamma_t_2 - gamma_t_2 - 1.1514375015169) - 0.04059802*dgamma_t_2,PySRFunction(X=>-0.145880087906023*a_y + 0.04059802*a_z*(-0.5074241*dgamma_t_2 - gamma_t_2 - 1.1514375015169) - 0.04059802*dgamma_t_2)
