complexity,loss,score,equation,sympy_format,lambda_format
1,0.05532674,0.0,-4.1079272e-7,-4.10792720000000e-7,PySRFunction(X=>-4.10792720000000E-7)
2,0.055326737,5.422332996400337e-08,sin(-2.1967487e-7),-2.19674869999998e-7,PySRFunction(X=>-2.19674869999998E-7)
3,0.040926147,0.3014871319959935,(0.12000251 * a_surge),0.12000251*a_surge,PySRFunction(X=>0.12000251*a_surge)
5,0.0369407,0.051227612751629834,(0.083827436 * (a_y + a_surge)),0.083827436*a_surge + 0.083827436*a_y,PySRFunction(X=>0.083827436*a_surge + 0.083827436*a_y)
7,0.03629689,0.008790930785130253,(0.077698834 * ((a_y + a_surge) - dtheta_t_2)),0.077698834*a_surge + 0.077698834*a_y - 0.077698834*dtheta_t_2,PySRFunction(X=>0.077698834*a_surge + 0.077698834*a_y - 0.077698834*dtheta_t_2)
8,0.03611653,0.004981407395495777,((a_y + (a_surge - sin(V_z))) * 0.083586216),0.083586216*a_surge + 0.083586216*a_y - 0.083586216*sin(V_z),PySRFunction(X=>0.083586216*a_surge + 0.083586216*a_y - 0.083586216*sin(V_z))
9,0.034407835,0.0484663552003555,(0.0572256 * ((a_surge - (dtheta_t_2 - a_surge)) + a_y)),0.1144512*a_surge + 0.0572256*a_y - 0.0572256*dtheta_t_2,PySRFunction(X=>0.1144512*a_surge + 0.0572256*a_y - 0.0572256*dtheta_t_2)
11,0.03349962,0.013375102295207292,(0.05400218 * (a_z + ((a_y + (a_surge / 0.46689475)) - dtheta_t_2))),0.115662427131597*a_surge + 0.05400218*a_y + 0.05400218*a_z - 0.05400218*dtheta_t_2,PySRFunction(X=>0.115662427131597*a_surge + 0.05400218*a_y + 0.05400218*a_z - 0.05400218*dtheta_t_2)
12,0.03290529,0.017900660363591385,(0.06189088 * ((a_y + (a_surge - sin(a_surge))) + (a_surge - dtheta_t_2))),0.12378176*a_surge + 0.06189088*a_y - 0.06189088*dtheta_t_2 - 0.06189088*sin(a_surge),PySRFunction(X=>0.12378176*a_surge + 0.06189088*a_y - 0.06189088*dtheta_t_2 - 0.06189088*sin(a_surge))
13,0.03204907,0.02636526933452522,(0.05400218 * (a_z + (((a_y + (a_surge / 0.39234123)) - dtheta_t_2) + a_x))),0.137640849012988*a_surge + 0.05400218*a_x + 0.05400218*a_y + 0.05400218*a_z - 0.05400218*dtheta_t_2,PySRFunction(X=>0.137640849012988*a_surge + 0.05400218*a_x + 0.05400218*a_y + 0.05400218*a_z - 0.05400218*dtheta_t_2)
14,0.030891774,0.03677823091464825,(0.05400218 * ((a_y + ((sin(a_surge * -0.64694756) + a_surge) / 0.32665795)) - dtheta_t_2)),0.165317207188743*a_surge + 0.05400218*a_y - 0.05400218*dtheta_t_2 - 0.165317207188743*sin(0.64694756*a_surge),PySRFunction(X=>0.165317207188743*a_surge + 0.05400218*a_y - 0.05400218*dtheta_t_2 - 0.165317207188743*sin(0.64694756*a_surge))
