complexity,loss,score,equation,sympy_format,lambda_format
1,0.06061242,0.0,2.6975164e-7,2.69751640000000e-7,PySRFunction(X=>2.69751640000000E-7)
2,0.060612418,3.2996538157735844e-08,square(-0.0002612922),6.82736137808400e-8,PySRFunction(X=>6.82736137808400E-8)
3,0.039591007,0.4258977930636497,(-0.14498769 * a_y),-0.14498769*a_y,PySRFunction(X=>-0.14498769*a_y)
5,0.027738463,0.17789099525650337,(-0.1289036 * (a_y + a_z)),-0.1289036*a_y - 0.1289036*a_z,PySRFunction(X=>-0.1289036*a_y - 0.1289036*a_z)
7,0.02707096,0.012179219693696793,(-0.110868566 * ((a_y * 1.3254447) + a_z)),-0.1469501532013*a_y - 0.110868566*a_z,PySRFunction(X=>-0.1469501532013*a_y - 0.110868566*a_z)
8,0.02405966,0.1179249875018827,(-0.110868566 * (a_y + (a_z * abs(l)))),-0.110868566*a_y - 0.110868566*a_z*Abs(l),PySRFunction(X=>-0.110868566*a_y - 0.110868566*a_z*Abs(l))
9,0.021496657,0.11263914443640981,(-0.14430472 * (a_y + ((a_z * gamma_t) * 0.33570564))),-0.14430472*a_y - 0.0484439083826208*a_z*gamma_t,PySRFunction(X=>-0.14430472*a_y - 0.0484439083826208*a_z*gamma_t)
10,0.021332614,0.0076603592988816,(-0.13882276 * (a_y + (a_z * abs(-0.14548017 * a_z)))),-0.13882276*a_y - 0.0201959587246692*a_z*Abs(a_z),PySRFunction(X=>-0.13882276*a_y - 0.0201959587246692*a_z*Abs(a_z))
11,0.01935029,0.0975296689294834,(-0.1452697 * (a_y + ((a_z * (gamma_t - -1.4715154)) * 0.2581186))),-0.1452697*a_y - 0.03749681158642*a_z*(gamma_t + 1.4715154),PySRFunction(X=>-0.1452697*a_y - 0.03749681158642*a_z*(gamma_t + 1.4715154))
13,0.018164918,0.03160762747811258,(-0.1452697 * (a_y + (((a_z * (gamma_t - -1.4715154)) + dgamma_t_2) * 0.2581186))),-0.1452697*a_y - 0.03749681158642*a_z*(gamma_t + 1.4715154) - 0.03749681158642*dgamma_t_2,PySRFunction(X=>-0.1452697*a_y - 0.03749681158642*a_z*(gamma_t + 1.4715154) - 0.03749681158642*dgamma_t_2)
15,0.018114993,0.001376106780245912,(-0.1452697 * (a_y + (((((a_z - -0.50521904) * gamma_t) + dgamma_t_2) + a_z) * 0.2613032))),-0.1452697*a_y - 0.03795943747304*a_z - 0.03795943747304*dgamma_t_2 - 0.03795943747304*gamma_t*(a_z + 0.50521904),PySRFunction(X=>-0.1452697*a_y - 0.03795943747304*a_z - 0.03795943747304*dgamma_t_2 - 0.03795943747304*gamma_t*(a_z + 0.50521904))
16,0.017142825,0.05516021920189712,(-0.13882276 * (a_y + (((a_z * (gamma_t - -1.5669335)) + (dgamma_t_2 - abs(a_y))) * 0.2613032))),-0.13882276*a_y - 0.036274831420832*a_z*(gamma_t + 1.5669335) - 0.036274831420832*dgamma_t_2 + 0.036274831420832*Abs(a_y),PySRFunction(X=>-0.13882276*a_y - 0.036274831420832*a_z*(gamma_t + 1.5669335) - 0.036274831420832*dgamma_t_2 + 0.036274831420832*Abs(a_y))
18,0.016974537,0.004932660528601501,(-0.13882276 * (a_y + ((((a_z - -0.18217312) * (gamma_t - -1.5669335)) + (dgamma_t_2 - abs(a_y))) * 0.2613032))),-0.13882276*a_y - 0.036274831420832*dgamma_t_2 - 0.036274831420832*(a_z + 0.18217312)*(gamma_t + 1.5669335) + 0.036274831420832*Abs(a_y),PySRFunction(X=>-0.13882276*a_y - 0.036274831420832*dgamma_t_2 - 0.036274831420832*(a_z + 0.18217312)*(gamma_t + 1.5669335) + 0.036274831420832*Abs(a_y))
19,0.016662575,0.018549211047793623,(-0.13882276 * (a_y + (((a_z * (gamma_t - (-1.4524596 - tanh(dgamma_t_2)))) + (dgamma_t_2 - abs(a_y))) * 0.2613032))),-0.13882276*a_y - 0.036274831420832*a_z*(gamma_t + tanh(dgamma_t_2) + 1.4524596) - 0.036274831420832*dgamma_t_2 + 0.036274831420832*Abs(a_y),PySRFunction(X=>-0.13882276*a_y - 0.036274831420832*a_z*(gamma_t + tanh(dgamma_t_2) + 1.4524596) - 0.036274831420832*dgamma_t_2 + 0.036274831420832*Abs(a_y))
20,0.016543604,0.007165624750647167,(-0.14486052 * (a_y + ((((a_z + 0.45261657) * (gamma_t - -1.5669335)) + (dgamma_t_2 - abs(a_y + theta_t_2))) * 0.24530654))),-0.14486052*a_y - 0.0355352329438008*dgamma_t_2 - 0.0355352329438008*(a_z + 0.45261657)*(gamma_t + 1.5669335) + 0.0355352329438008*Abs(a_y + theta_t_2),PySRFunction(X=>-0.14486052*a_y - 0.0355352329438008*dgamma_t_2 - 0.0355352329438008*(a_z + 0.45261657)*(gamma_t + 1.5669335) + 0.0355352329438008*Abs(a_y + theta_t_2))
21,0.016441863,0.0061688574937724915,(-0.13882276 * (a_y + ((((a_z - -0.18217312) * (gamma_t - (-1.5669335 - tanh(dgamma_t_2)))) + (dgamma_t_2 - abs(a_y))) * 0.2613032))),-0.13882276*a_y - 0.036274831420832*dgamma_t_2 - 0.036274831420832*(a_z + 0.18217312)*(gamma_t + tanh(dgamma_t_2) + 1.5669335) + 0.036274831420832*Abs(a_y),PySRFunction(X=>-0.13882276*a_y - 0.036274831420832*dgamma_t_2 - 0.036274831420832*(a_z + 0.18217312)*(gamma_t + tanh(dgamma_t_2) + 1.5669335) + 0.036274831420832*Abs(a_y))
22,0.01639997,0.002551198815371691,(-0.14486052 * (a_y + ((((a_z + abs(tanh(a_y))) * (gamma_t - -1.5669335)) + (dgamma_t_2 - abs(a_y + 0.27013624))) * 0.24530654))),-0.14486052*a_y - 0.0355352329438008*dgamma_t_2 - 0.0355352329438008*(a_z + Abs(tanh(a_y)))*(gamma_t + 1.5669335) + 0.0355352329438008*Abs(a_y + 0.27013624),PySRFunction(X=>-0.14486052*a_y - 0.0355352329438008*dgamma_t_2 - 0.0355352329438008*(a_z + Abs(tanh(a_y)))*(gamma_t + 1.5669335) + 0.0355352329438008*Abs(a_y + 0.27013624))
23,0.01618652,0.013100708473623488,(-0.14486052 * (a_y + ((((a_z + abs(tanh(a_y))) * (gamma_t - -1.4065608)) + ((dgamma_t_2 - abs(a_y)) - sin(a_y))) * 0.2613032))),-0.14486052*a_y - 0.037852517429664*dgamma_t_2 - 0.037852517429664*(a_z + Abs(tanh(a_y)))*(gamma_t + 1.4065608) + 0.037852517429664*sin(a_y) + 0.037852517429664*Abs(a_y),PySRFunction(X=>-0.14486052*a_y - 0.037852517429664*dgamma_t_2 - 0.037852517429664*(a_z + Abs(tanh(a_y)))*(gamma_t + 1.4065608) + 0.037852517429664*sin(a_y) + 0.037852517429664*Abs(a_y))
24,0.016165476,0.0013009400080280658,(tanh(-0.14486052) * (a_y + ((((a_z + abs(tanh(a_y))) * (gamma_t - -1.4065608)) + ((dgamma_t_2 - abs(a_y)) - sin(a_y))) * 0.2613032))),-0.143855675067234*a_y - 0.0375899482332285*dgamma_t_2 - 0.0375899482332285*(a_z + Abs(tanh(a_y)))*(gamma_t + 1.4065608) + 0.0375899482332285*sin(a_y) + 0.0375899482332285*Abs(a_y),PySRFunction(X=>-0.143855675067234*a_y - 0.0375899482332285*dgamma_t_2 - 0.0375899482332285*(a_z + Abs(tanh(a_y)))*(gamma_t + 1.4065608) + 0.0375899482332285*sin(a_y) + 0.0375899482332285*Abs(a_y))
25,0.016083008,0.005114546145513122,(-0.14486052 * (a_y + ((((a_z + abs(tanh(abs(a_x) - a_y))) * (gamma_t - -1.5669335)) + (dgamma_t_2 - abs(a_y + theta_t_1))) * 0.24530654))),-0.14486052*a_y - 0.0355352329438008*dgamma_t_2 - 0.0355352329438008*(a_z + Abs(tanh(a_y - Abs(a_x))))*(gamma_t + 1.5669335) + 0.0355352329438008*Abs(a_y + theta_t_1),PySRFunction(X=>-0.14486052*a_y - 0.0355352329438008*dgamma_t_2 - 0.0355352329438008*(a_z + Abs(tanh(a_y - Abs(a_x))))*(gamma_t + 1.5669335) + 0.0355352329438008*Abs(a_y + theta_t_1))
26,0.016009592,0.00457526832157813,(-0.14486052 * (a_y + ((((a_z + abs(tanh(a_y))) * (gamma_t - -1.5669335)) + ((dgamma_t_2 - abs(a_y + tanh(theta_t))) - sin(a_y))) * 0.24530654))),-0.14486052*a_y - 0.0355352329438008*dgamma_t_2 - 0.0355352329438008*(a_z + Abs(tanh(a_y)))*(gamma_t + 1.5669335) + 0.0355352329438008*sin(a_y) + 0.0355352329438008*Abs(a_y + tanh(theta_t)),PySRFunction(X=>-0.14486052*a_y - 0.0355352329438008*dgamma_t_2 - 0.0355352329438008*(a_z + Abs(tanh(a_y)))*(gamma_t + 1.5669335) + 0.0355352329438008*sin(a_y) + 0.0355352329438008*Abs(a_y + tanh(theta_t)))
27,0.01584079,0.010599783731444047,(-0.14486052 * (a_y + ((((a_z + abs(tanh(a_y))) * (gamma_t - -1.5669335)) + ((dgamma_t_2 - abs(a_y + (theta_t * 0.48377663))) - sin(a_y))) * 0.24530654))),-0.14486052*a_y - 0.0355352329438008*dgamma_t_2 - 0.0355352329438008*(a_z + Abs(tanh(a_y)))*(gamma_t + 1.5669335) + 0.0355352329438008*sin(a_y) + 0.0355352329438008*Abs(a_y + 0.48377663*theta_t),PySRFunction(X=>-0.14486052*a_y - 0.0355352329438008*dgamma_t_2 - 0.0355352329438008*(a_z + Abs(tanh(a_y)))*(gamma_t + 1.5669335) + 0.0355352329438008*sin(a_y) + 0.0355352329438008*Abs(a_y + 0.48377663*theta_t))
