complexity,loss,score,equation,sympy_format,lambda_format
1,0.055326737,0.0,-1.0342549e-7,-1.03425490000000e-7,PySRFunction(X=>-1.03425490000000E-7)
3,0.04563725,0.09626600636168886,(0.09843534 * a_y),0.09843534*a_y,PySRFunction(X=>0.09843534*a_y)
5,0.042711895,0.033123408073085295,(0.07997842 * (a_y - a_x)),-0.07997842*a_x + 0.07997842*a_y,PySRFunction(X=>-0.07997842*a_x + 0.07997842*a_y)
6,0.042618323,0.002193174697078471,sin(0.08619232 * (a_y - a_x)),-sin(0.08619232*a_x - 0.08619232*a_y),PySRFunction(X=>-sin(0.08619232*a_x - 0.08619232*a_y))
7,0.03894741,0.09007200357348312,(0.07508045 * ((a_y * theta_t_1) - a_x)),-0.07508045*a_x + 0.07508045*a_y*theta_t_1,PySRFunction(X=>-0.07508045*a_x + 0.07508045*a_y*theta_t_1)
9,0.03777563,0.015274044441075631,(0.072047874 * ((a_y * theta_t_2) - (a_x + dtheta_t_2))),-0.072047874*a_x + 0.072047874*a_y*theta_t_2 - 0.072047874*dtheta_t_2,PySRFunction(X=>-0.072047874*a_x + 0.072047874*a_y*theta_t_2 - 0.072047874*dtheta_t_2)
10,0.037094522,0.018194881991825704,(0.1068473 * (a_y - (a_x * (sin(gamma_t_2) - -0.8354272)))),-0.1068473*a_x*(sin(gamma_t_2) + 0.8354272) + 0.1068473*a_y,PySRFunction(X=>-0.1068473*a_x*(sin(gamma_t_2) + 0.8354272) + 0.1068473*a_y)
11,0.036663085,0.011698913189850583,(0.05604475 * ((a_y * (0.78232694 + theta_t_2)) - (a_x + dtheta_t_2))),-0.05604475*a_x + 0.05604475*a_y*(theta_t_2 + 0.78232694) - 0.05604475*dtheta_t_2,PySRFunction(X=>-0.05604475*a_x + 0.05604475*a_y*(theta_t_2 + 0.78232694) - 0.05604475*dtheta_t_2)
12,0.03578474,0.024248844984863127,(0.07525565 * ((a_y * theta_t_1) - (a_x * (sin(gamma_t_2) - -1.2071514)))),-0.07525565*a_x*(sin(gamma_t_2) + 1.2071514) + 0.07525565*a_y*theta_t_1,PySRFunction(X=>-0.07525565*a_x*(sin(gamma_t_2) + 1.2071514) + 0.07525565*a_y*theta_t_1)
13,0.035285473,0.014050196057478037,(0.07525565 * ((a_y * abs(theta_t)) - (a_x * (sin(gamma_t_2) - -0.9606522)))),-0.07525565*a_x*(sin(gamma_t_2) + 0.9606522) + 0.07525565*a_y*Abs(theta_t),PySRFunction(X=>-0.07525565*a_x*(sin(gamma_t_2) + 0.9606522) + 0.07525565*a_y*Abs(theta_t))
14,0.034588028,0.01996373886543136,(0.07525565 * (((a_y * theta_t_2) - (a_x * (sin(gamma_t_2) - -1.2659181))) - dtheta_t_2)),-0.07525565*a_x*(sin(gamma_t_2) + 1.2659181) + 0.07525565*a_y*theta_t_2 - 0.07525565*dtheta_t_2,PySRFunction(X=>-0.07525565*a_x*(sin(gamma_t_2) + 1.2659181) + 0.07525565*a_y*theta_t_2 - 0.07525565*dtheta_t_2)
15,0.03400396,0.017030622204948317,(0.07525565 * ((a_y * abs(theta_t)) - ((a_x - dgamma_t_2) * (sin(gamma_t_2) - -0.9606522)))),0.07525565*a_y*Abs(theta_t) - 0.07525565*(a_x - dgamma_t_2)*(sin(gamma_t_2) + 0.9606522),PySRFunction(X=>0.07525565*a_y*Abs(theta_t) - 0.07525565*(a_x - dgamma_t_2)*(sin(gamma_t_2) + 0.9606522))
16,0.033507243,0.01471536400576745,(0.07525565 * ((a_y * abs(theta_t)) - ((a_x - tanh(dgamma_t_2)) * (sin(gamma_t_2) - -0.9606522)))),0.07525565*a_y*Abs(theta_t) - 0.07525565*(a_x - tanh(dgamma_t_2))*(sin(gamma_t_2) + 0.9606522),PySRFunction(X=>0.07525565*a_y*Abs(theta_t) - 0.07525565*(a_x - tanh(dgamma_t_2))*(sin(gamma_t_2) + 0.9606522))
17,0.03288154,0.018850218342326565,(0.07525565 * (((a_y * abs(theta_t)) - (a_x * (sin(gamma_t_2 - -0.6880757) - -1.0905819))) - dtheta_t_2)),-0.07525565*a_x*(sin(gamma_t_2 + 0.6880757) + 1.0905819) + 0.07525565*a_y*Abs(theta_t) - 0.07525565*dtheta_t_2,PySRFunction(X=>-0.07525565*a_x*(sin(gamma_t_2 + 0.6880757) + 1.0905819) + 0.07525565*a_y*Abs(theta_t) - 0.07525565*dtheta_t_2)
18,0.03247623,0.012402968946034052,(0.07525565 * ((a_y * theta_t) - ((a_x * square(square(square(cos(theta_t_2))) - tanh(dtheta_t))) + dtheta_t_2))),-0.07525565*a_x*(cos(theta_t_2)**4 - tanh(dtheta_t))**2 + 0.07525565*a_y*theta_t - 0.07525565*dtheta_t_2,PySRFunction(X=>-0.07525565*a_x*(cos(theta_t_2)**4 - tanh(dtheta_t))**2 + 0.07525565*a_y*theta_t - 0.07525565*dtheta_t_2)
