Complexity,Loss,Equation
1,0.06061242,"-2.2277587e-7"
2,0.060612418,"square(0.0002710779)"
3,0.056986168,"(-0.060218126 * gamma_t)"
5,0.05286815,"(theta_t * (-0.04232076 * a_sway))"
6,0.03514093,"(-0.05553467 * (gamma_t * abs(a_sway)))"
8,0.028410682,"(((dgamma_t - dgamma_t_2) * 0.35391313) * abs(a_sway))"
9,0.027252343,"(tanh(dgamma_t - dgamma_t_2) * abs(a_sway * -0.4345343))"
10,0.026903339,"((tanh(tanh(dgamma_t - dgamma_t_2)) * abs(a_sway)) / 2.0436034)"
11,0.026770476,"((tanh(tanh(tanh(dgamma_t - dgamma_t_2))) * 0.5448763) * abs(a_sway))"
12,0.02642465,"(tanh((tanh(a_sway) * dgamma_t_2) - gamma_t) * abs(-0.2264619 * a_sway))"
14,0.025090419,"(tanh((tanh(a_sway) * (dgamma_t_2 + -0.356395)) - gamma_t) * (0.22903575 * abs(a_sway)))"
15,0.024615176,"(tanh((tanh(a_sway) * dgamma_t_2) - gamma_t) * (0.31644413 * abs(a_sway - tanh(a_sway))))"
16,0.023730848,"(tanh((tanh(a_sway) * dgamma_t_2) - gamma_t) * (0.2240221 * (a_sway * (tanh(a_sway) - 0.2226791))))"
17,0.02268037,"(tanh((tanh(a_sway) * (dgamma_t_2 + -0.4139415)) - gamma_t) * (0.21607503 * (abs(a_sway) - tanh(a_sway))))"
18,0.02157364,"(tanh((tanh(a_sway) * (dgamma_t_2 + -0.4740054)) - gamma_t_1) * (0.2240221 * (a_sway * (tanh(a_sway) - 0.25570226))))"
19,0.021094149,"(tanh((tanh(a_sway) * (dgamma_t_2 - 0.44795477)) - gamma_t) * (0.2240221 * ((a_sway - abs(l)) * tanh(a_sway))))"
21,0.020458119,"(tanh((tanh(a_sway / 0.12760223) * (dgamma_t_2 - 0.44795477)) - gamma_t) * (0.2240221 * ((a_sway - abs(l)) * tanh(a_sway))))"
22,0.020424603,"(tanh((tanh(a_sway / 0.043559935) * (dgamma_t_2 - square(-0.6573825))) - gamma_t) * (0.2240221 * ((a_sway - abs(l)) * tanh(a_sway))))"
23,0.02022418,"(tanh(((tanh(a_sway / 0.043559935) * (dgamma_t_2 - 0.2240221)) - -0.2629229) - gamma_t) * (0.2240221 * ((a_sway - abs(l)) * tanh(a_sway))))"
24,0.019914573,"(tanh((tanh(a_sway / 0.12760223) * (dgamma_t_2 - square(tanh(tanh(dgamma_t_1))))) - gamma_t) * (0.2240221 * ((a_sway - abs(l)) * tanh(a_sway))))"
25,0.019623453,"(tanh(((tanh(a_sway / 0.004117355) * (dgamma_t_2 - square(sin(dgamma_t_2)))) - -0.2629229) - gamma_t) * (0.2240221 * ((a_sway - abs(l)) * tanh(a_sway))))"
26,0.019552087,"(tanh(((tanh(a_sway / 0.004117355) * (dgamma_t_2 - square(sin(sin(dgamma_t_2))))) - -0.2629229) - gamma_t) * (0.2240221 * ((a_sway - abs(l)) * tanh(a_sway))))"
27,0.019391753,"(tanh(((tanh(a_sway / 0.004117355) * (dgamma_t_2 - square(sin(dgamma_t_2)))) - -0.2629229) - gamma_t) * (0.2240221 * ((a_sway - abs(l)) * tanh(a_sway * 0.5560697))))"
28,0.019357806,"(tanh(((tanh(a_sway / 0.004117355) * (dgamma_t_2 - tanh(square(sin(dgamma_t_2))))) - -0.2629229) - gamma_t) * (0.2240221 * ((a_sway - abs(l)) * tanh(a_sway * 0.5560697))))"
29,0.01931329,"(tanh(((tanh(a_sway / 0.2240221) * (dgamma_t_2 - square(sin(dgamma_t_2 + 0.2240221)))) - -0.2629229) - gamma_t) * (0.2240221 * ((a_sway - abs(l)) * tanh(a_sway * 0.6060624))))"
30,0.019257298,"(tanh(((tanh(a_sway / 0.2240221) * (dgamma_t_2 - square(sin(sin(dgamma_t_2 + 0.2240221))))) - -0.2629229) - gamma_t) * (0.2240221 * ((a_sway - abs(l)) * tanh(a_sway * 0.6060624))))"
