complexity,loss,score,equation,sympy_format,lambda_format
1,0.06061242,0.0,-2.2277587e-7,-2.22775870000000e-7,PySRFunction(X=>-2.22775870000000E-7)
2,0.060612418,3.2996538157735844e-08,square(0.0002710779),7.34832278684100e-8,PySRFunction(X=>7.34832278684100E-8)
3,0.056986168,0.06169121785473286,(-0.060218126 * gamma_t),-0.060218126*gamma_t,PySRFunction(X=>-0.060218126*gamma_t)
5,0.05286815,0.037503746786489045,(theta_t * (-0.04232076 * a_sway)),-0.04232076*a_sway*theta_t,PySRFunction(X=>-0.04232076*a_sway*theta_t)
6,0.03514093,0.40843453017153525,(-0.05553467 * (gamma_t * abs(a_sway))),-0.05553467*gamma_t*Abs(a_sway),PySRFunction(X=>-0.05553467*gamma_t*Abs(a_sway))
8,0.028410682,0.10630067338263237,(((dgamma_t - dgamma_t_2) * 0.35391313) * abs(a_sway)),(0.35391313*dgamma_t - 0.35391313*dgamma_t_2)*Abs(a_sway),PySRFunction(X=>(0.35391313*dgamma_t - 0.35391313*dgamma_t_2)*Abs(a_sway))
9,0.027252343,0.0416257021453669,(tanh(dgamma_t - dgamma_t_2) * abs(a_sway * -0.4345343)),0.4345343*tanh(dgamma_t - dgamma_t_2)*Abs(a_sway),PySRFunction(X=>0.4345343*tanh(dgamma_t - dgamma_t_2)*Abs(a_sway))
10,0.026903339,0.012889093765616828,((tanh(tanh(dgamma_t - dgamma_t_2)) * abs(a_sway)) / 2.0436034),0.489331736285035*tanh(tanh(dgamma_t - dgamma_t_2))*Abs(a_sway),PySRFunction(X=>0.489331736285035*tanh(tanh(dgamma_t - dgamma_t_2))*Abs(a_sway))
11,0.026770476,0.0049507668263782945,((tanh(tanh(tanh(dgamma_t - dgamma_t_2))) * 0.5448763) * abs(a_sway)),0.5448763*tanh(tanh(tanh(dgamma_t - dgamma_t_2)))*Abs(a_sway),PySRFunction(X=>0.5448763*tanh(tanh(tanh(dgamma_t - dgamma_t_2)))*Abs(a_sway))
12,0.02642465,0.01300235183695114,(tanh((tanh(a_sway) * dgamma_t_2) - gamma_t) * abs(-0.2264619 * a_sway)),0.2264619*tanh(dgamma_t_2*tanh(a_sway) - gamma_t)*Abs(a_sway),PySRFunction(X=>0.2264619*tanh(dgamma_t_2*tanh(a_sway) - gamma_t)*Abs(a_sway))
14,0.025090419,0.02590561325807633,(tanh((tanh(a_sway) * (dgamma_t_2 + -0.356395)) - gamma_t) * (0.22903575 * abs(a_sway))),-0.22903575*tanh(gamma_t - (dgamma_t_2 - 0.356395)*tanh(a_sway))*Abs(a_sway),PySRFunction(X=>-0.22903575*tanh(gamma_t - (dgamma_t_2 - 0.356395)*tanh(a_sway))*Abs(a_sway))
15,0.024615176,0.019122896822997434,(tanh((tanh(a_sway) * dgamma_t_2) - gamma_t) * (0.31644413 * abs(a_sway - tanh(a_sway)))),0.31644413*tanh(dgamma_t_2*tanh(a_sway) - gamma_t)*Abs(a_sway - tanh(a_sway)),PySRFunction(X=>0.31644413*tanh(dgamma_t_2*tanh(a_sway) - gamma_t)*Abs(a_sway - tanh(a_sway)))
16,0.023730848,0.036587358131053634,(tanh((tanh(a_sway) * dgamma_t_2) - gamma_t) * (0.2240221 * (a_sway * (tanh(a_sway) - 0.2226791)))),0.2240221*a_sway*(tanh(a_sway) - 0.2226791)*tanh(dgamma_t_2*tanh(a_sway) - gamma_t),PySRFunction(X=>0.2240221*a_sway*(tanh(a_sway) - 0.2226791)*tanh(dgamma_t_2*tanh(a_sway) - gamma_t))
17,0.02268037,0.045276012505807796,(tanh((tanh(a_sway) * (dgamma_t_2 + -0.4139415)) - gamma_t) * (0.21607503 * (abs(a_sway) - tanh(a_sway)))),-(-0.21607503*tanh(a_sway) + 0.21607503*Abs(a_sway))*tanh(gamma_t - (dgamma_t_2 - 0.4139415)*tanh(a_sway)),PySRFunction(X=>-(-0.21607503*tanh(a_sway) + 0.21607503*Abs(a_sway))*tanh(gamma_t - (dgamma_t_2 - 0.4139415)*tanh(a_sway)))
