complexity,loss,score,equation,sympy_format,lambda_format
1,0.055326737,0.0,5.233852e-8,5.23385200000000e-8,PySRFunction(X=>5.23385200000000E-8)
3,0.040926147,0.15074356599799674,(0.120002404 * a_surge),0.120002404*a_surge,PySRFunction(X=>0.120002404*a_surge)
5,0.040925287,1.0506840967944485e-05,((0.12000223 * a_surge) - 0.00086632534),0.12000223*a_surge - 0.00086632534,PySRFunction(X=>0.12000223*a_surge - 0.00086632534)
6,0.03837949,0.06422493374061027,((abs(a_surge) * a_surge) * 0.02961239),0.02961239*a_surge*Abs(a_surge),PySRFunction(X=>0.02961239*a_surge*Abs(a_surge))
7,0.037772205,0.015949687633601994,((square(tanh(a_sway)) * a_surge) * 0.17032081),0.17032081*a_surge*tanh(a_sway)**2,PySRFunction(X=>0.17032081*a_surge*tanh(a_sway)**2)
8,0.03571371,0.0560388660097365,(((abs(a_surge) * a_surge) - dtheta_t_2) * 0.032829087),0.032829087*a_surge*Abs(a_surge) - 0.032829087*dtheta_t_2,PySRFunction(X=>0.032829087*a_surge*Abs(a_surge) - 0.032829087*dtheta_t_2)
9,0.035252087,0.013009915497554772,tanh(((abs(a_surge) * a_surge) - dtheta_t_2) * 0.04980162),tanh(0.04980162*a_surge*Abs(a_surge) - 0.04980162*dtheta_t_2),PySRFunction(X=>tanh(0.04980162*a_surge*Abs(a_surge) - 0.04980162*dtheta_t_2))
10,0.034826506,0.012145969653204027,(((abs(a_surge) * (a_surge - theta_t)) - dtheta_t_2) * 0.026923103),-0.026923103*dtheta_t_2 + 0.026923103*(a_surge - theta_t)*Abs(a_surge),PySRFunction(X=>-0.026923103*dtheta_t_2 + 0.026923103*(a_surge - theta_t)*Abs(a_surge))
11,0.034180317,0.0187288114523172,(sin(((abs(a_surge) * a_surge) - dtheta_t_2) * 0.028921152) / 0.6583637),1.51891727930929*sin(0.028921152*a_surge*Abs(a_surge) - 0.028921152*dtheta_t_2),PySRFunction(X=>1.51891727930929*sin(0.028921152*a_surge*Abs(a_surge) - 0.028921152*dtheta_t_2))
12,0.033844203,0.009882222920691979,(((abs(a_surge) * (a_surge - theta_t)) - (dtheta_t_2 / 0.48878548)) * 0.026923103),-0.0550816341762034*dtheta_t_2 + 0.026923103*(a_surge - theta_t)*Abs(a_surge),PySRFunction(X=>-0.0550816341762034*dtheta_t_2 + 0.026923103*(a_surge - theta_t)*Abs(a_surge))
13,0.032666184,0.035427314770137296,(sin(((abs(a_surge) * (a_surge - theta_t)) - dtheta_t_2) * 0.026923103) / 0.6817201),-1.4668776819108*sin(0.026923103*dtheta_t_2 - 0.026923103*(a_surge - theta_t)*Abs(a_surge)),PySRFunction(X=>-1.4668776819108*sin(0.026923103*dtheta_t_2 - 0.026923103*(a_surge - theta_t)*Abs(a_surge)))
14,0.032665722,1.4143166128016695e-05,(sin(((abs(a_surge) * (a_surge - theta_t)) - dtheta_t_2) * tanh(0.026923103)) / 0.6817201),-1.4668776819108*sin(0.0269165997839545*dtheta_t_2 - 0.0269165997839545*(a_surge - theta_t)*Abs(a_surge)),PySRFunction(X=>-1.4668776819108*sin(0.0269165997839545*dtheta_t_2 - 0.0269165997839545*(a_surge - theta_t)*Abs(a_surge)))
