complexity,loss,score,equation,sympy_format,lambda_format
1,0.049326085,0.0,2.842767e-8,2.84276700000000e-8,PySRFunction(X=>2.84276700000000E-8)
3,0.02014387,0.44777651243953964,(a_y / -5.853983),-0.170823864708866*a_y,PySRFunction(X=>-0.170823864708866*a_y)
5,0.020142516,3.360936869619846e-05,((a_y / -5.85392) + 0.0011164446),0.0011164446 - 0.170825703118594*a_y,PySRFunction(X=>0.0011164446 - 0.170825703118594*a_y)
6,0.01805093,0.10963559801191967,((a_y - tanh(a_y)) / -4.138083),-0.241657791784263*a_y + 0.241657791784263*tanh(a_y),PySRFunction(X=>-0.241657791784263*a_y + 0.241657791784263*tanh(a_y))
7,0.017868087,0.01018093447966153,((a_y - tanh(tanh(a_y))) / -4.4090447),-0.226806500736996*a_y + 0.226806500736996*tanh(tanh(a_y)),PySRFunction(X=>-0.226806500736996*a_y + 0.226806500736996*tanh(tanh(a_y)))
8,0.017720541,0.00829179733271247,((a_y * square(square(tanh(a_y)))) / -5.2986307),-0.188728004765458*a_y*tanh(a_y)**4,PySRFunction(X=>-0.188728004765458*a_y*tanh(a_y)**4)
9,0.017166534,0.03176268436855137,((a_y / -5.853983) * square(tanh(a_y) - 0.0756765)),-0.170823864708866*a_y*(tanh(a_y) - 0.0756765)**2,PySRFunction(X=>-0.170823864708866*a_y*(tanh(a_y) - 0.0756765)**2)
10,0.016447684,0.04277711379043482,(((a_y + tanh(gamma_t_1)) / -5.853983) * square(tanh(a_y))),(-0.170823864708866*a_y - 0.170823864708866*tanh(gamma_t_1))*tanh(a_y)**2,PySRFunction(X=>(-0.170823864708866*a_y - 0.170823864708866*tanh(gamma_t_1))*tanh(a_y)**2)
11,0.016333846,0.006945280320910219,(((a_y + tanh(gamma_t_1)) / -5.853983) * square(square(tanh(a_y)))),(-0.170823864708866*a_y - 0.170823864708866*tanh(gamma_t_1))*tanh(a_y)**4,PySRFunction(X=>(-0.170823864708866*a_y - 0.170823864708866*tanh(gamma_t_1))*tanh(a_y)**4)
12,0.01609246,0.014888557393440827,(((a_y + tanh(gamma_t_1)) / -5.853983) * square(tanh(a_y + 0.39778534))),(-0.170823864708866*a_y - 0.170823864708866*tanh(gamma_t_1))*tanh(a_y + 0.39778534)**2,PySRFunction(X=>(-0.170823864708866*a_y - 0.170823864708866*tanh(gamma_t_1))*tanh(a_y + 0.39778534)**2)
13,0.016035661,0.0035357846899297905,(((a_y + tanh(gamma_t_1)) / -5.853983) * square(square(tanh(a_y + 0.25077692)))),(-0.170823864708866*a_y - 0.170823864708866*tanh(gamma_t_1))*tanh(a_y + 0.25077692)**4,PySRFunction(X=>(-0.170823864708866*a_y - 0.170823864708866*tanh(gamma_t_1))*tanh(a_y + 0.25077692)**4)
14,0.015888289,0.009232757655477507,(((a_y + tanh(gamma_t_1)) / -5.853983) * square(tanh(a_y - (-0.26878014 * dgamma_t)))),(-0.170823864708866*a_y - 0.170823864708866*tanh(gamma_t_1))*tanh(a_y + 0.26878014*dgamma_t)**2,PySRFunction(X=>(-0.170823864708866*a_y - 0.170823864708866*tanh(gamma_t_1))*tanh(a_y + 0.26878014*dgamma_t)**2)
15,0.015645701,0.015386114201636514,(((a_y + tanh(gamma_t_1)) / -5.853983) * square(tanh(a_y - (-0.26878014 * abs(dgamma_t))))),(-0.170823864708866*a_y - 0.170823864708866*tanh(gamma_t_1))*tanh(a_y + 0.26878014*Abs(dgamma_t))**2,PySRFunction(X=>(-0.170823864708866*a_y - 0.170823864708866*tanh(gamma_t_1))*tanh(a_y + 0.26878014*Abs(dgamma_t))**2)
16,0.01562256,0.0014801593363260436,((((a_y + tanh(gamma_t_2)) - sin(theta_t)) / -5.853983) * abs(tanh(square(a_y * -0.49787623)))),(-0.170823864708866*a_y + 0.170823864708866*sin(theta_t) - 0.170823864708866*tanh(gamma_t_2))*Abs(tanh(0.247880740399013*a_y**2)),PySRFunction(X=>(-0.170823864708866*a_y + 0.170823864708866*sin(theta_t) - 0.170823864708866*tanh(gamma_t_2))*Abs(tanh(0.247880740399013*a_y**2)))
17,0.015402249,0.014202485710251515,((((a_y + (gamma_t_2 * 0.5419514)) - sin(theta_t)) / -5.853983) * abs(tanh(square(a_y * -0.49787623)))),(-0.170823864708866*a_y - 0.0925782326323804*gamma_t_2 + 0.170823864708866*sin(theta_t))*Abs(tanh(0.247880740399013*a_y**2)),PySRFunction(X=>(-0.170823864708866*a_y - 0.0925782326323804*gamma_t_2 + 0.170823864708866*sin(theta_t))*Abs(tanh(0.247880740399013*a_y**2)))
19,0.014959208,0.01459325387477218,((((a_y + ((gamma_t_2 - V_y) * cos(-1.011912))) - sin(theta_t)) / -5.853983) * abs(tanh(a_y * -0.49787623))),(0.0905777498330538*V_y - 0.170823864708866*a_y - 0.0905777498330538*gamma_t_2 + 0.170823864708866*sin(theta_t))*Abs(tanh(0.49787623*a_y)),PySRFunction(X=>(0.0905777498330538*V_y - 0.170823864708866*a_y - 0.0905777498330538*gamma_t_2 + 0.170823864708866*sin(theta_t))*Abs(tanh(0.49787623*a_y)))
20,0.0147352405,0.015085092228898703,((((a_y + ((gamma_t_2 - V_y) * cos(-1.011912))) - sin(theta_t)) / -5.853983) * tanh(square(a_y * cos(-1.011912)))),(0.0905777498330538*V_y - 0.170823864708866*a_y - 0.0905777498330538*gamma_t_2 + 0.170823864708866*sin(theta_t))*tanh(0.281155102055073*a_y**2),PySRFunction(X=>(0.0905777498330538*V_y - 0.170823864708866*a_y - 0.0905777498330538*gamma_t_2 + 0.170823864708866*sin(theta_t))*tanh(0.281155102055073*a_y**2))
22,0.014712341,0.0007776361741595792,(((((a_y + ((gamma_t_2 - V_y) * 0.5419514)) - sin(theta_t)) / -5.853983) * tanh(square(a_y * tanh(sin(0.64657825))))) * 0.9873356),0.9873356*(0.0925782326323804*V_y - 0.170823864708866*a_y - 0.0925782326323804*gamma_t_2 + 0.170823864708866*sin(theta_t))*tanh(0.290302134068828*a_y**2),PySRFunction(X=>0.9873356*(0.0925782326323804*V_y - 0.170823864708866*a_y - 0.0925782326323804*gamma_t_2 + 0.170823864708866*sin(theta_t))*tanh(0.290302134068828*a_y**2))
27,0.014692038,0.00027619019910645555,((((a_y + ((gamma_t_2 - V_y) * cos(square(-1.011912)))) - sin(theta_t)) / -5.853983) * square(abs(abs(tanh(((a_y - -0.027776374) / 0.75572807) * sin(-0.49787623)))))),(0.0888254155678376*V_y - 0.170823864708866*a_y - 0.0888254155678376*gamma_t_2 + 0.170823864708866*sin(theta_t))*Abs(tanh(0.631921314353155*a_y + 0.0175524827660448))**2,PySRFunction(X=>(0.0888254155678376*V_y - 0.170823864708866*a_y - 0.0888254155678376*gamma_t_2 + 0.170823864708866*sin(theta_t))*Abs(tanh(0.631921314353155*a_y + 0.0175524827660448))**2)
29,0.0146656055,0.0009003620179023353,((tanh(0.065678604 * a_y) * (((abs(abs(cos(-0.2617245))) + tanh(tanh(a_y_2))) - abs(cos(tanh(gamma_t_1 + (sin(-0.619977) * theta_t_2)) + gamma_t_1))) / 0.35425684)) / -1.2438978),-0.803924566793188*(2.82281070423369*tanh(tanh(a_y_2)) - 2.82281070423369*Abs(cos(gamma_t_1 + tanh(gamma_t_1 - 0.58101644117912*theta_t_2))) + 2.72668046711299)*tanh(0.065678604*a_y),PySRFunction(X=>-0.803924566793188*(2.82281070423369*tanh(tanh(a_y_2)) - 2.82281070423369*Abs(cos(gamma_t_1 + tanh(gamma_t_1 - 0.58101644117912*theta_t_2))) + 2.72668046711299)*tanh(0.065678604*a_y))
