complexity,loss,score,equation,sympy_format,lambda_format
1,0.045195308,0.0,-1.3365994e-7,-1.33659940000000e-7,PySRFunction(X=>-1.33659940000000E-7)
3,0.030747395,0.19259400046174527,(0.12019946 * a_y),0.12019946*a_y,PySRFunction(X=>0.12019946*a_y)
5,0.027634714,0.053366269590002416,((a_y * theta_t_1) * 0.052508254),0.052508254*a_y*theta_t_1,PySRFunction(X=>0.052508254*a_y*theta_t_1)
6,0.026650693,0.036257582010704364,((a_y * abs(theta_t)) * 0.054576695),0.054576695*a_y*Abs(theta_t),PySRFunction(X=>0.054576695*a_y*Abs(theta_t))
7,0.024786932,0.07249857521833263,((a_y * (theta_t + 1.8450874)) * 0.03690912),0.03690912*a_y*(theta_t + 1.8450874),PySRFunction(X=>0.03690912*a_y*(theta_t + 1.8450874))
8,0.024641316,0.005892032477760987,((a_y * (theta_t + square(l))) * 0.050394412),0.050394412*a_y*(l**2 + theta_t),PySRFunction(X=>0.050394412*a_y*(l**2 + theta_t))
9,0.02293816,0.07162264708722166,(((a_y * (theta_t + 1.8898507)) - dtheta_t_2) * 0.03690912),0.03690912*a_y*(theta_t + 1.8898507) - 0.03690912*dtheta_t_2,PySRFunction(X=>0.03690912*a_y*(theta_t + 1.8898507) - 0.03690912*dtheta_t_2)
10,0.022678776,0.011372390093547312,(((a_y * (theta_t + square(l))) - dtheta_t_2) * 0.04502125),0.04502125*a_y*(l**2 + theta_t) - 0.04502125*dtheta_t_2,PySRFunction(X=>0.04502125*a_y*(l**2 + theta_t) - 0.04502125*dtheta_t_2)
11,0.02243766,0.01068871200695162,(((a_y * abs(theta_t + square(l))) - dtheta_t_2) * 0.04502125),0.04502125*a_y*Abs(l**2 + theta_t) - 0.04502125*dtheta_t_2,PySRFunction(X=>0.04502125*a_y*Abs(l**2 + theta_t) - 0.04502125*dtheta_t_2)
12,0.022088094,0.015702066819040204,((((a_y * (theta_t + square(l))) + V_y_2) - dtheta_t_2) * 0.04502125),0.04502125*V_y_2 + 0.04502125*a_y*(l**2 + theta_t) - 0.04502125*dtheta_t_2,PySRFunction(X=>0.04502125*V_y_2 + 0.04502125*a_y*(l**2 + theta_t) - 0.04502125*dtheta_t_2)
14,0.02112507,0.022289121738018853,(((a_y - (abs(a_y * theta_t) + dtheta_t_2)) + abs(dtheta_t_2)) * square(0.23467131)),0.0550706237371161*a_y - 0.0550706237371161*dtheta_t_2 + 0.0550706237371161*Abs(dtheta_t_2) - 0.0550706237371161*Abs(a_y*theta_t),PySRFunction(X=>0.0550706237371161*a_y - 0.0550706237371161*dtheta_t_2 + 0.0550706237371161*Abs(dtheta_t_2) - 0.0550706237371161*Abs(a_y*theta_t))
15,0.02112502,2.366858863371761e-06,(((a_y - (abs(a_y * theta_t) + dtheta_t_2)) + abs(dtheta_t_2)) * tanh(square(0.23467131))),0.055015018946259*a_y - 0.055015018946259*dtheta_t_2 + 0.055015018946259*Abs(dtheta_t_2) - 0.055015018946259*Abs(a_y*theta_t),PySRFunction(X=>0.055015018946259*a_y - 0.055015018946259*dtheta_t_2 + 0.055015018946259*Abs(dtheta_t_2) - 0.055015018946259*Abs(a_y*theta_t))
16,0.02081362,0.0148505398817864,(((a_y - (abs((a_y / -1.2003851) * theta_t_1) + dtheta_t_2)) + abs(dtheta_t_2)) * square(-0.24764912)),0.0613300866367744*a_y - 0.0613300866367744*dtheta_t_2 + 0.0613300866367744*Abs(dtheta_t_2) - 0.0510920092533425*Abs(a_y*theta_t_1),PySRFunction(X=>0.0613300866367744*a_y - 0.0613300866367744*dtheta_t_2 + 0.0613300866367744*Abs(dtheta_t_2) - 0.0510920092533425*Abs(a_y*theta_t_1))
17,0.020599019,0.010364126804185959,(((a_y - (abs(a_y * (theta_t + l)) + dtheta_t_2)) + abs(dtheta_t_2)) * tanh(square(0.23467131))),0.055015018946259*a_y - 0.055015018946259*dtheta_t_2 + 0.055015018946259*Abs(dtheta_t_2) - 0.055015018946259*Abs(a_y*(l + theta_t)),PySRFunction(X=>0.055015018946259*a_y - 0.055015018946259*dtheta_t_2 + 0.055015018946259*Abs(dtheta_t_2) - 0.055015018946259*Abs(a_y*(l + theta_t)))
18,0.020470165,0.00627499308521394,(((a_y - abs(a_y * (theta_t_1 + 0.79823905))) + abs(abs(dtheta_t_2) * dgamma_t_1)) * sin(square(0.21563078))),0.0464798812964258*a_y - 0.0464798812964258*Abs(a_y*(theta_t_1 + 0.79823905)) + 0.0464798812964258*Abs(dgamma_t_1*Abs(dtheta_t_2)),PySRFunction(X=>0.0464798812964258*a_y - 0.0464798812964258*Abs(a_y*(theta_t_1 + 0.79823905)) + 0.0464798812964258*Abs(dgamma_t_1*Abs(dtheta_t_2)))
19,0.020424346,0.002240839567579807,((((a_y - (abs(a_y * theta_t_1) + dtheta_t_2)) * cos(tanh(sin(theta_t_1)))) + abs(dtheta_t_2)) * square(0.2612593)),0.06825642183649*(a_y - dtheta_t_2 - Abs(a_y*theta_t_1))*cos(tanh(sin(theta_t_1))) + 0.06825642183649*Abs(dtheta_t_2),PySRFunction(X=>0.06825642183649*(a_y - dtheta_t_2 - Abs(a_y*theta_t_1))*cos(tanh(sin(theta_t_1))) + 0.06825642183649*Abs(dtheta_t_2))
