complexity,loss,score,equation,sympy_format,lambda_format
1,0.060612436,0.0,1.6570664e-6,1.65706640000000e-6,PySRFunction(X=>0.00000165706640000000)
2,0.060612418,2.9696880467772556e-07,square(-0.0002612922),6.82736137808400e-8,PySRFunction(X=>6.82736137808400E-8)
3,0.039591007,0.4258977930636497,(-0.14498769 * a_y),-0.14498769*a_y,PySRFunction(X=>-0.14498769*a_y)
5,0.027738463,0.17789099525650337,(-0.1289036 * (a_y + a_z)),-0.1289036*a_y - 0.1289036*a_z,PySRFunction(X=>-0.1289036*a_y - 0.1289036*a_z)
7,0.02707735,0.012061210469961848,(-0.14486052 * (a_y + (a_z * 0.7747169))),-0.14486052*a_y - 0.112225892986788*a_z,PySRFunction(X=>-0.14486052*a_y - 0.112225892986788*a_z)
8,0.02447344,0.10110913718120966,(-0.14486052 * (a_y + (a_z - tanh(a_z)))),-0.14486052*a_y - 0.14486052*a_z + 0.14486052*tanh(a_z),PySRFunction(X=>-0.14486052*a_y - 0.14486052*a_z + 0.14486052*tanh(a_z))
9,0.021498792,0.12959170036789625,(-0.14486052 * (a_y + ((a_z * gamma_t) * 0.33109817))),-0.14486052*a_y - 0.0479630530772484*a_z*gamma_t,PySRFunction(X=>-0.14486052*a_y - 0.0479630530772484*a_z*gamma_t)
10,0.0214598,0.0018153300139783894,(-0.13889697 * (a_y + ((a_z * abs(a_z)) * 0.15962549))),-0.13889697*a_y - 0.0221714968957653*a_z*Abs(a_z),PySRFunction(X=>-0.13889697*a_y - 0.0221714968957653*a_z*Abs(a_z))
11,0.019350436,0.10346646597294812,(-0.14486052 * (a_y + ((a_z * (gamma_t + 1.4344244)) * 0.2613032))),-0.14486052*a_y - 0.037852517429664*a_z*(gamma_t + 1.4344244),PySRFunction(X=>-0.14486052*a_y - 0.037852517429664*a_z*(gamma_t + 1.4344244))
13,0.01819037,0.03091130917595308,(-0.14486052 * (a_y + (((a_z * (gamma_t - -1.5669335)) + dgamma_t_2) * 0.2613032))),-0.14486052*a_y - 0.037852517429664*a_z*(gamma_t + 1.5669335) - 0.037852517429664*dgamma_t_2,PySRFunction(X=>-0.14486052*a_y - 0.037852517429664*a_z*(gamma_t + 1.5669335) - 0.037852517429664*dgamma_t_2)
14,0.018189937,2.3804087195930795e-05,(sin(-0.14486052) * (a_y + (((a_z * (gamma_t - -1.5669335)) + dgamma_t_2) * 0.2613032))),-0.144354412021697*a_y - 0.0377202697953878*a_z*(gamma_t + 1.5669335) - 0.0377202697953878*dgamma_t_2,PySRFunction(X=>-0.144354412021697*a_y - 0.0377202697953878*a_z*(gamma_t + 1.5669335) - 0.0377202697953878*dgamma_t_2)
15,0.018120904,0.0038023400874704094,(-0.14486052 * (a_y + (((((a_z - -0.50521904) * gamma_t) + dgamma_t_2) + a_z) * 0.2613032))),-0.14486052*a_y - 0.037852517429664*a_z - 0.037852517429664*dgamma_t_2 - 0.037852517429664*gamma_t*(a_z + 0.50521904),PySRFunction(X=>-0.14486052*a_y - 0.037852517429664*a_z - 0.037852517429664*dgamma_t_2 - 0.037852517429664*gamma_t*(a_z + 0.50521904))
16,0.017201174,0.05208855169107267,(-0.14486052 * (a_y + (((a_z * (gamma_t - -1.5669335)) + (dgamma_t_2 - abs(a_y))) * 0.2613032))),-0.14486052*a_y - 0.037852517429664*a_z*(gamma_t + 1.5669335) - 0.037852517429664*dgamma_t_2 + 0.037852517429664*Abs(a_y),PySRFunction(X=>-0.14486052*a_y - 0.037852517429664*a_z*(gamma_t + 1.5669335) - 0.037852517429664*dgamma_t_2 + 0.037852517429664*Abs(a_y))
18,0.017171502,0.0008632440305324224,(tanh(sin(-0.14486052)) * (a_y + (((a_z * (gamma_t - -1.5669335)) + (dgamma_t_2 - abs(a_y))) * 0.2613032))),-0.143360004672131*a_y - 0.0374604279728428*a_z*(gamma_t + 1.5669335) - 0.0374604279728428*dgamma_t_2 + 0.0374604279728428*Abs(a_y),PySRFunction(X=>-0.143360004672131*a_y - 0.0374604279728428*a_z*(gamma_t + 1.5669335) - 0.0374604279728428*dgamma_t_2 + 0.0374604279728428*Abs(a_y))
21,0.017101113,0.0013692000443917016,(-0.14486052 * (a_y + ((((a_z * (gamma_t - -1.5669335)) + ((dgamma_t_2 + cos(0.47691587)) - abs(a_y))) - 0.47691587) * 0.2613032))),-0.14486052*a_y - 0.037852517429664*a_z*(gamma_t + 1.5669335) - 0.037852517429664*dgamma_t_2 + 0.037852517429664*Abs(a_y) - 0.0155762737908306,PySRFunction(X=>-0.14486052*a_y - 0.037852517429664*a_z*(gamma_t + 1.5669335) - 0.037852517429664*dgamma_t_2 + 0.037852517429664*Abs(a_y) - 0.0155762737908306)
23,0.017056026,0.0013199883686413828,(-0.14486052 * (a_y + ((((a_z * (gamma_t - -1.5669335)) + ((dgamma_t_2 + cos(tanh(gamma_t_1))) - abs(a_y))) - tanh(0.47691587)) * 0.2613032))),-0.14486052*a_y - 0.037852517429664*a_z*(gamma_t + 1.5669335) - 0.037852517429664*dgamma_t_2 - 0.037852517429664*cos(tanh(gamma_t_1)) + 0.037852517429664*Abs(a_y) + 0.016797820639221,PySRFunction(X=>-0.14486052*a_y - 0.037852517429664*a_z*(gamma_t + 1.5669335) - 0.037852517429664*dgamma_t_2 - 0.037852517429664*cos(tanh(gamma_t_1)) + 0.037852517429664*Abs(a_y) + 0.016797820639221)
