complexity,loss,score,equation,sympy_format,lambda_format
1,0.055326737,0.0,-1.0342549e-7,-1.03425490000000e-7,PySRFunction(X=>-1.03425490000000E-7)
3,0.04563725,0.09626600636168886,(0.09843534 * a_y),0.09843534*a_y,PySRFunction(X=>0.09843534*a_y)
5,0.042711895,0.033123408073085295,(0.07997842 * (a_y - a_x)),-0.07997842*a_x + 0.07997842*a_y,PySRFunction(X=>-0.07997842*a_x + 0.07997842*a_y)
7,0.03894741,0.04613258913528076,(0.07508045 * ((a_y * theta_t_1) - a_x)),-0.07508045*a_x + 0.07508045*a_y*theta_t_1,PySRFunction(X=>-0.07508045*a_x + 0.07508045*a_y*theta_t_1)
9,0.03778977,0.015086921761052285,(0.0737809 * (((a_y * theta_t_2) - a_x) - dtheta_t_2)),-0.0737809*a_x + 0.0737809*a_y*theta_t_2 - 0.0737809*dtheta_t_2,PySRFunction(X=>-0.0737809*a_x + 0.0737809*a_y*theta_t_2 - 0.0737809*dtheta_t_2)
10,0.037568714,0.00586680151501292,(0.07525565 * (((a_y * theta_t) - a_x) - tanh(dtheta_t_2))),-0.07525565*a_x + 0.07525565*a_y*theta_t - 0.07525565*tanh(dtheta_t_2),PySRFunction(X=>-0.07525565*a_x + 0.07525565*a_y*theta_t - 0.07525565*tanh(dtheta_t_2))
11,0.036690943,0.023641689698640347,(0.065678604 * (((a_y * (theta_t - -0.47955015)) - a_x) - dtheta_t_2)),-0.065678604*a_x + 0.065678604*a_y*(theta_t + 0.47955015) - 0.065678604*dtheta_t_2,PySRFunction(X=>-0.065678604*a_x + 0.065678604*a_y*(theta_t + 0.47955015) - 0.065678604*dtheta_t_2)
12,0.03668981,3.088003199103249e-05,(tanh(0.065678604) * (((a_y * (theta_t - -0.47955015)) - a_x) - dtheta_t_2)),-0.0655843278620053*a_x + 0.0655843278620053*a_y*(theta_t + 0.47955015) - 0.0655843278620053*dtheta_t_2,PySRFunction(X=>-0.0655843278620053*a_x + 0.0655843278620053*a_y*(theta_t + 0.47955015) - 0.0655843278620053*dtheta_t_2)
13,0.03613156,0.01533233818870217,(0.07525565 * (((a_y * theta_t_1) - a_x) - (square(tanh(dgamma_t_2)) * dtheta_t_2))),-0.07525565*a_x + 0.07525565*a_y*theta_t_1 - 0.07525565*dtheta_t_2*tanh(dgamma_t_2)**2,PySRFunction(X=>-0.07525565*a_x + 0.07525565*a_y*theta_t_1 - 0.07525565*dtheta_t_2*tanh(dgamma_t_2)**2)
14,0.03611556,0.0004429242373004381,(abs(0.07525565) * (((a_y * theta_t) - a_x) - (tanh(square(dgamma_t_2)) * dtheta_t_2))),-0.07525565*a_x + 0.07525565*a_y*theta_t - 0.07525565*dtheta_t_2*tanh(dgamma_t_2**2),PySRFunction(X=>-0.07525565*a_x + 0.07525565*a_y*theta_t - 0.07525565*dtheta_t_2*tanh(dgamma_t_2**2))
15,0.035446897,0.018688079992848525,(0.07525565 * (((a_y * (theta_t - -0.46369442)) - a_x) - (tanh(square(dgamma_t_2)) * dtheta_t_2))),-0.07525565*a_x + 0.07525565*a_y*(theta_t + 0.46369442) - 0.07525565*dtheta_t_2*tanh(dgamma_t_2**2),PySRFunction(X=>-0.07525565*a_x + 0.07525565*a_y*(theta_t + 0.46369442) - 0.07525565*dtheta_t_2*tanh(dgamma_t_2**2))
16,0.035443015,0.00010952193039472766,(sin(0.07525565) * (((a_y * (theta_t - -0.46369442)) - a_x) - (tanh(square(dgamma_t_2)) * dtheta_t_2))),-0.0751846361427283*a_x + 0.0751846361427283*a_y*(theta_t + 0.46369442) - 0.0751846361427283*dtheta_t_2*tanh(dgamma_t_2**2),PySRFunction(X=>-0.0751846361427283*a_x + 0.0751846361427283*a_y*(theta_t + 0.46369442) - 0.0751846361427283*dtheta_t_2*tanh(dgamma_t_2**2))
17,0.03467696,0.02185070600452484,(0.07525565 * (((a_y * (theta_t - -0.46369442)) - a_x) - (square(tanh(dgamma_t_2)) * (dtheta_t_2 + a_z)))),-0.07525565*a_x + 0.07525565*a_y*(theta_t + 0.46369442) - 0.07525565*(a_z + dtheta_t_2)*tanh(dgamma_t_2)**2,PySRFunction(X=>-0.07525565*a_x + 0.07525565*a_y*(theta_t + 0.46369442) - 0.07525565*(a_z + dtheta_t_2)*tanh(dgamma_t_2)**2)
18,0.034431063,0.007116338365836804,(0.07525565 * (((a_y * (theta_t - -0.46369442)) - a_x) - (tanh(tanh(square(dgamma_t_2))) * (dtheta_t_2 + a_z)))),-0.07525565*a_x + 0.07525565*a_y*(theta_t + 0.46369442) - 0.07525565*(a_z + dtheta_t_2)*tanh(tanh(dgamma_t_2**2)),PySRFunction(X=>-0.07525565*a_x + 0.07525565*a_y*(theta_t + 0.46369442) - 0.07525565*(a_z + dtheta_t_2)*tanh(tanh(dgamma_t_2**2)))
