complexity,loss,score,equation,sympy_format,lambda_format
1,0.40546307,0.0,3.7978136e-9,3.79781360000000e-9,PySRFunction(X=>3.79781360000000E-9)
3,0.38484266,0.026097610612905737,(-0.14405139 * a_y),-0.14405139*a_y,PySRFunction(X=>-0.14405139*a_y)
4,0.38484246,5.196930401947055e-07,(sin(-0.14405139) * a_y),-0.143553709642392*a_y,PySRFunction(X=>-0.143553709642392*a_y)
5,0.37176004,0.03458546336653371,(-0.14460279 * (a_y - a_x)),0.14460279*a_x - 0.14460279*a_y,PySRFunction(X=>0.14460279*a_x - 0.14460279*a_y)
6,0.37173432,6.918680596380782e-05,(sin(-0.14460279) * (a_y - a_x)),0.144099376681287*a_x - 0.144099376681287*a_y,PySRFunction(X=>0.144099376681287*a_x - 0.144099376681287*a_y)
7,0.37170985,6.582874947776336e-05,(sin(sin(-0.14460279)) * (a_y - a_x)),0.143601199137652*a_x - 0.143601199137652*a_y,PySRFunction(X=>0.143601199137652*a_x - 0.143601199137652*a_y)
8,0.37168658,6.260455140362671e-05,(sin(sin(sin(-0.14460279))) * (a_y - a_x)),0.143108167087377*a_x - 0.143108167087377*a_y,PySRFunction(X=>0.143108167087377*a_x - 0.143108167087377*a_y)
9,0.37143368,0.0006806435603398747,(sin(sin(-0.14460279 / 1.1200613)) * (a_y - a_x)),0.128388868077917*a_x - 0.128388868077917*a_y,PySRFunction(X=>0.128388868077917*a_x - 0.128388868077917*a_y)
16,0.36856973,0.0011057726261759992,((((-0.15947127 * -0.5503014) * (sin(0.578464) - (gama + -0.5503014))) * -0.8784275) * (a_surge + a_x)),(a_surge + a_x)*(0.0770883932675958*gama - 0.0845690420227995),PySRFunction(X=>(a_surge + a_x)*(0.0770883932675958*gama - 0.0845690420227995))
17,0.3685231,0.00012652409076402738,(sin(((-0.15947127 * -0.5503014) * (sin(0.578464) - (gama + -0.5503014))) * -0.8784275) * (a_surge + a_x)),(a_surge + a_x)*sin(0.0770883932675958*gama - 0.0845690420227995),PySRFunction(X=>(a_surge + a_x)*sin(0.0770883932675958*gama - 0.0845690420227995))
18,0.3684088,0.0003102050567130699,((((-0.15947127 * -0.5503014) * ((sin(0.578464) - (gama + -0.5503014)) / 1.0494823)) * -0.8784275) * (a_surge + a_x)),(a_surge + a_x)*(0.0734537335861651*gama - 0.0805816753868069),PySRFunction(X=>(a_surge + a_x)*(0.0734537335861651*gama - 0.0805816753868069))
