Complexity,Loss,Equation
1,4.235431,"1.1194006e-5"
3,4.2262387,"(theta * -0.0958722)"
4,3.9425917,"(sin(a_surge) * dtheta)"
5,3.9405005,"(sin(sin(a_surge)) * dtheta)"
6,3.648567,"(sin(a_surge + 0.6155493) * dtheta)"
8,3.632681,"(sin((a_sway - 0.17483251) / V_x) * dtheta)"
9,3.44086,"(sin(sin(a_sway - 0.17483251) / V_x) * dtheta)"
10,3.4230235,"(sin(sin(sin(a_sway - 0.17483251)) / V_x) * dtheta)"
11,3.34297,"((sin(sin(a_sway - 0.17483251) / V_x) / 0.69745845) * dtheta)"
12,3.3167832,"((sin(sin(sin(a_sway - 0.17483251)) / V_x) / 0.69745845) * dtheta)"
13,3.309086,"((sin(sin(sin(sin(a_sway - 0.17483251))) / V_x) / 0.69745845) * dtheta)"
14,3.3055415,"((sin(sin(sin(sin(sin(a_sway - 0.17483251)))) / V_x) / 0.69745845) * dtheta)"
15,3.2324631,"((sin((sin(a_sway) - 0.19036363) / V_x) * (0.31785953 - (-0.77433014 + v_sway))) * dtheta)"
16,3.1737227,"((sin((sin(a_sway) - 0.17483251) / V_x) * (sin(V_y) - (-1.3989298 + v_sway))) * dtheta)"
18,3.1642156,"((sin(sin(sin(a_sway) - sin(0.17483251)) / V_x) * (sin(V_y) - (-1.3989298 + v_sway))) * dtheta)"
20,3.1048086,"((sin((sin(sin(a_sway)) - 0.17483251) / V_x) * (sin(dgamma * sin(-1.3989298)) - (-1.3989298 + v_sway))) * dtheta)"
21,3.0950282,"((sin(sin((sin(sin(a_sway)) - 0.17483251) / V_x)) * (sin(dgamma * sin(-1.3989298)) - (-1.3989298 + v_sway))) * dtheta)"
22,3.087437,"((sin(sin(sin(sin(a_sway)) - 0.17483251) / V_x) * (sin(dgamma * (-0.7840536 + -0.05357902)) - (-1.3989298 + v_sway))) * dtheta)"
23,3.077492,"((sin((sin(sin(a_sway)) - 0.17483251) / V_x) * (sin(dgamma * sin(sin(-1.3989298))) - ((-1.3989298 - -0.28632432) + v_sway))) * dtheta)"
24,3.0737438,"((sin(sin((sin(sin(sin(a_sway))) - 0.17483251) / V_x)) * (sin(dgamma * (sin(-1.3989298) / 1.2815704)) - (-1.3989298 + v_sway))) * dtheta)"
25,3.055309,"((sin(sin((sin(sin(a_sway)) - 0.17483251) / V_x)) * (sin(dgamma * (sin(-1.3989298 - V_x) / 1.2815704)) - (-1.3989298 + v_sway))) * dtheta)"
27,3.0499108,"(((sin(sin((sin(sin(a_sway)) - 0.17483251) / V_x)) * (sin(dgamma * (sin(-1.3989298 - V_x) / 1.2815704)) - (-1.3989298 + v_sway))) / 1.0418423) * dtheta)"
