complexity,loss,score,equation,sympy_format,lambda_format
1,4.235431,0.0,1.1194006e-5,1.11940060000000e-5,PySRFunction(X=>0.0000111940060000000)
3,4.2262387,0.0010863463053979014,(theta * -0.0958722),-0.0958722*theta,PySRFunction(X=>-0.0958722*theta)
4,3.9425917,0.06947410233346174,(sin(a_surge) * dtheta),dtheta*sin(a_surge),PySRFunction(X=>dtheta*sin(a_surge))
5,3.9405005,0.0005305532387541217,(sin(sin(a_surge)) * dtheta),dtheta*sin(sin(a_surge)),PySRFunction(X=>dtheta*sin(sin(a_surge)))
6,3.648567,0.07697325793296905,(sin(a_surge + 0.6155493) * dtheta),dtheta*sin(a_surge + 0.6155493),PySRFunction(X=>dtheta*sin(a_surge + 0.6155493))
8,3.632681,0.002181772301461114,(sin((a_sway - 0.17483251) / V_x) * dtheta),dtheta*sin((a_sway - 0.17483251)/V_x),PySRFunction(X=>dtheta*sin((a_sway - 0.17483251)/V_x))
9,3.44086,0.05424950302260451,(sin(sin(a_sway - 0.17483251) / V_x) * dtheta),dtheta*sin(sin(a_sway - 0.17483251)/V_x),PySRFunction(X=>dtheta*sin(sin(a_sway - 0.17483251)/V_x))
10,3.4230235,0.005197215293215956,(sin(sin(sin(a_sway - 0.17483251)) / V_x) * dtheta),dtheta*sin(sin(sin(a_sway - 0.17483251))/V_x),PySRFunction(X=>dtheta*sin(sin(sin(a_sway - 0.17483251))/V_x))
11,3.34297,0.023664591425074228,((sin(sin(a_sway - 0.17483251) / V_x) / 0.69745845) * dtheta),1.43377716622402*dtheta*sin(sin(a_sway - 0.17483251)/V_x),PySRFunction(X=>1.43377716622402*dtheta*sin(sin(a_sway - 0.17483251)/V_x))
12,3.3167832,0.007864235858683954,((sin(sin(sin(a_sway - 0.17483251)) / V_x) / 0.69745845) * dtheta),1.43377716622402*dtheta*sin(sin(sin(a_sway - 0.17483251))/V_x),PySRFunction(X=>1.43377716622402*dtheta*sin(sin(sin(a_sway - 0.17483251))/V_x))
13,3.309086,0.0023233792367996584,((sin(sin(sin(sin(a_sway - 0.17483251))) / V_x) / 0.69745845) * dtheta),1.43377716622402*dtheta*sin(sin(sin(sin(a_sway - 0.17483251)))/V_x),PySRFunction(X=>1.43377716622402*dtheta*sin(sin(sin(sin(a_sway - 0.17483251)))/V_x))
14,3.3055415,0.0010717157812016956,((sin(sin(sin(sin(sin(a_sway - 0.17483251)))) / V_x) / 0.69745845) * dtheta),1.43377716622402*dtheta*sin(sin(sin(sin(sin(a_sway - 0.17483251))))/V_x),PySRFunction(X=>1.43377716622402*dtheta*sin(sin(sin(sin(sin(a_sway - 0.17483251))))/V_x))
15,3.2324631,0.022355886260043596,((sin((sin(a_sway) - 0.19036363) / V_x) * (0.31785953 - (-0.77433014 + v_sway))) * dtheta),dtheta*(1.09218967 - v_sway)*sin((sin(a_sway) - 0.19036363)/V_x),PySRFunction(X=>dtheta*(1.09218967 - v_sway)*sin((sin(a_sway) - 0.19036363)/V_x))
16,3.1737227,0.01833916409747681,((sin((sin(a_sway) - 0.17483251) / V_x) * (sin(V_y) - (-1.3989298 + v_sway))) * dtheta),dtheta*(-v_sway + sin(V_y) + 1.3989298)*sin((sin(a_sway) - 0.17483251)/V_x),PySRFunction(X=>dtheta*(-v_sway + sin(V_y) + 1.3989298)*sin((sin(a_sway) - 0.17483251)/V_x))
18,3.1642156,0.001500031505611736,((sin(sin(sin(a_sway) - sin(0.17483251)) / V_x) * (sin(V_y) - (-1.3989298 + v_sway))) * dtheta),dtheta*(-v_sway + sin(V_y) + 1.3989298)*sin(sin(sin(a_sway) - 0.173943203304247)/V_x),PySRFunction(X=>dtheta*(-v_sway + sin(V_y) + 1.3989298)*sin(sin(sin(a_sway) - 0.173943203304247)/V_x))
20,3.1048086,0.009476559101703879,((sin((sin(sin(a_sway)) - 0.17483251) / V_x) * (sin(dgamma * sin(-1.3989298)) - (-1.3989298 + v_sway))) * dtheta),dtheta*(-v_sway - sin(0.985267266855301*dgamma) + 1.3989298)*sin((sin(sin(a_sway)) - 0.17483251)/V_x),PySRFunction(X=>dtheta*(-v_sway - sin(0.985267266855301*dgamma) + 1.3989298)*sin((sin(sin(a_sway)) - 0.17483251)/V_x))
21,3.0950282,0.003155053408223911,((sin(sin((sin(sin(a_sway)) - 0.17483251) / V_x)) * (sin(dgamma * sin(-1.3989298)) - (-1.3989298 + v_sway))) * dtheta),dtheta*(-v_sway - sin(0.985267266855301*dgamma) + 1.3989298)*sin(sin((sin(sin(a_sway)) - 0.17483251)/V_x)),PySRFunction(X=>dtheta*(-v_sway - sin(0.985267266855301*dgamma) + 1.3989298)*sin(sin((sin(sin(a_sway)) - 0.17483251)/V_x)))
22,3.087437,0.0024557206775492318,((sin(sin(sin(sin(a_sway)) - 0.17483251) / V_x) * (sin(dgamma * (-0.7840536 + -0.05357902)) - (-1.3989298 + v_sway))) * dtheta),dtheta*(-v_sway - sin(0.83763262*dgamma) + 1.3989298)*sin(sin(sin(sin(a_sway)) - 0.17483251)/V_x),PySRFunction(X=>dtheta*(-v_sway - sin(0.83763262*dgamma) + 1.3989298)*sin(sin(sin(sin(a_sway)) - 0.17483251)/V_x))
23,3.077492,0.003226317327112649,((sin((sin(sin(a_sway)) - 0.17483251) / V_x) * (sin(dgamma * sin(sin(-1.3989298))) - ((-1.3989298 - -0.28632432) + v_sway))) * dtheta),dtheta*(-v_sway - sin(0.83341982264896*dgamma) + 1.11260548)*sin((sin(sin(a_sway)) - 0.17483251)/V_x),PySRFunction(X=>dtheta*(-v_sway - sin(0.83341982264896*dgamma) + 1.11260548)*sin((sin(sin(a_sway)) - 0.17483251)/V_x))
24,3.0737438,0.0012186820943842543,((sin(sin((sin(sin(sin(a_sway))) - 0.17483251) / V_x)) * (sin(dgamma * (sin(-1.3989298) / 1.2815704)) - (-1.3989298 + v_sway))) * dtheta),dtheta*(-v_sway - sin(0.768796834614236*dgamma) + 1.3989298)*sin(sin((sin(sin(sin(a_sway))) - 0.17483251)/V_x)),PySRFunction(X=>dtheta*(-v_sway - sin(0.768796834614236*dgamma) + 1.3989298)*sin(sin((sin(sin(sin(a_sway))) - 0.17483251)/V_x)))
25,3.055309,0.006015564294588378,((sin(sin((sin(sin(a_sway)) - 0.17483251) / V_x)) * (sin(dgamma * (sin(-1.3989298 - V_x) / 1.2815704)) - (-1.3989298 + v_sway))) * dtheta),dtheta*(-v_sway - sin(0.780292678420163*dgamma*sin(V_x + 1.3989298)) + 1.3989298)*sin(sin((sin(sin(a_sway)) - 0.17483251)/V_x)),PySRFunction(X=>dtheta*(-v_sway - sin(0.780292678420163*dgamma*sin(V_x + 1.3989298)) + 1.3989298)*sin(sin((sin(sin(a_sway)) - 0.17483251)/V_x)))
27,3.0499108,0.000884194440758719,(((sin(sin((sin(sin(a_sway)) - 0.17483251) / V_x)) * (sin(dgamma * (sin(-1.3989298 - V_x) / 1.2815704)) - (-1.3989298 + v_sway))) / 1.0418423) * dtheta),0.95983816360691*dtheta*(-v_sway - sin(0.780292678420163*dgamma*sin(V_x + 1.3989298)) + 1.3989298)*sin(sin((sin(sin(a_sway)) - 0.17483251)/V_x)),PySRFunction(X=>0.95983816360691*dtheta*(-v_sway - sin(0.780292678420163*dgamma*sin(V_x + 1.3989298)) + 1.3989298)*sin(sin((sin(sin(a_sway)) - 0.17483251)/V_x)))
