complexity,loss,score,equation,sympy_format,lambda_format
1,4.235431,0.0,1.6440463e-5,1.64404630000000e-5,PySRFunction(X=>0.0000164404630000000)
3,4.2262387,0.0010863463053979014,(theta * -0.09587223),-0.09587223*theta,PySRFunction(X=>-0.09587223*theta)
4,3.9382696,0.07057096224985873,(cos(a_z) * dtheta),dtheta*cos(a_z),PySRFunction(X=>dtheta*cos(a_z))
5,3.927425,0.002757444173184011,(sin(cos(a_z)) * dtheta),dtheta*sin(cos(a_z)),PySRFunction(X=>dtheta*sin(cos(a_z)))
6,3.72124,0.05392704877300758,(sin(0.86599475 - a_z) * dtheta),-dtheta*sin(a_z - 0.86599475),PySRFunction(X=>-dtheta*sin(a_z - 0.86599475))
7,3.619161,0.027814715055640267,(sin(0.86599475 - abs(a_z)) * dtheta),-dtheta*sin(Abs(a_z) - 0.86599475),PySRFunction(X=>-dtheta*sin(Abs(a_z) - 0.86599475))
8,3.6162946,0.000792320569268395,(sin(cos(V_y) - abs(a_z)) * dtheta),dtheta*sin(cos(V_y) - Abs(a_z)),PySRFunction(X=>dtheta*sin(cos(V_y) - Abs(a_z)))
9,3.578092,0.010620213005652133,(sin(square(cos(V_y)) - abs(a_z)) * dtheta),dtheta*sin(cos(V_y)**2 - Abs(a_z)),PySRFunction(X=>dtheta*sin(cos(V_y)**2 - Abs(a_z)))
10,3.422198,0.044546662748431935,((sin(cos(V_x) - a_z) - sin(a_x)) * dtheta),dtheta*(-sin(a_x) - sin(a_z - cos(V_x))),PySRFunction(X=>dtheta*(-sin(a_x) - sin(a_z - cos(V_x))))
12,3.4160979,0.0008920499649712003,((sin(cos(V_x) - a_z) - sin(a_x - 0.045073986)) * dtheta),dtheta*(-sin(a_x - 0.045073986) - sin(a_z - cos(V_x))),PySRFunction(X=>dtheta*(-sin(a_x - 0.045073986) - sin(a_z - cos(V_x))))
13,3.3985925,0.005137559441838958,((sin(cos(0.44840553) - a_z) - sin(a_x)) * (dtheta * cos(V_x))),dtheta*(-sin(a_x) - sin(a_z - 0.901139496935322))*cos(V_x),PySRFunction(X=>dtheta*(-sin(a_x) - sin(a_z - 0.901139496935322))*cos(V_x))
14,3.3779397,0.0060954078974100575,((sin(cos(0.44840553) - a_z) - abs(sin(a_x))) * (dtheta * cos(V_x))),dtheta*(-sin(a_z - 0.901139496935322) - Abs(sin(a_x)))*cos(V_x),PySRFunction(X=>dtheta*(-sin(a_z - 0.901139496935322) - Abs(sin(a_x)))*cos(V_x))
15,3.366904,0.0032723396830416987,((sin(cos(square(0.44840553)) - a_z) - sin(abs(a_x))) * (dtheta * cos(V_x))),dtheta*(-sin(a_z - 0.979853936089039) - sin(Abs(a_x)))*cos(V_x),PySRFunction(X=>dtheta*(-sin(a_z - 0.979853936089039) - sin(Abs(a_x)))*cos(V_x))
16,3.3218153,0.013482217135255306,(((sin(cos(0.44840553) - a_z) - abs(sin(a_x))) * 1.2262716) * (dtheta * cos(V_x))),dtheta*(-1.2262716*sin(a_z - 0.901139496935322) - 1.2262716*Abs(sin(a_x)))*cos(V_x),PySRFunction(X=>dtheta*(-1.2262716*sin(a_z - 0.901139496935322) - 1.2262716*Abs(sin(a_x)))*cos(V_x))
18,3.31551,0.0009499763250641539,(((sin(cos(0.44840553) - a_z) - abs(abs(sin(a_x)))) * 1.2262716) * (dtheta * square(cos(V_x)))),dtheta*(-1.2262716*sin(a_z - 0.901139496935322) - 1.2262716*Abs(sin(a_x)))*cos(V_x)**2,PySRFunction(X=>dtheta*(-1.2262716*sin(a_z - 0.901139496935322) - 1.2262716*Abs(sin(a_x)))*cos(V_x)**2)
20,3.280562,0.0052983543881855635,((((sin(cos(0.44840553) - a_z) / 0.83385724) - abs(sin(a_x))) * 1.2262716) * (dtheta * square(cos(abs(V_x))))),dtheta*(-1.47060137056554*sin(a_z - 0.901139496935322) - 1.2262716*Abs(sin(a_x)))*cos(Abs(V_x))**2,PySRFunction(X=>dtheta*(-1.47060137056554*sin(a_z - 0.901139496935322) - 1.2262716*Abs(sin(a_x)))*cos(Abs(V_x))**2)
21,3.256878,0.007245681372895006,((sin(sin(cos(V_x)) - a_z) - square(sin(sin(a_x)))) * (dtheta * abs(cos(V_x - 0.34560004) - -0.5838385))),dtheta*(-sin(a_z - sin(cos(V_x))) - sin(sin(a_x))**2)*Abs(cos(V_x - 0.34560004) + 0.5838385),PySRFunction(X=>dtheta*(-sin(a_z - sin(cos(V_x))) - sin(sin(a_x))**2)*Abs(cos(V_x - 0.34560004) + 0.5838385))
23,3.1695814,0.01358476955636407,(((sin(cos(0.44840553) - a_z) - abs(abs(sin(abs(abs(a_x)))))) * cos(V_x)) * (dtheta * square(cos(V_x) - -0.39250988))),dtheta*(-sin(a_z - 0.901139496935322) - Abs(sin(Abs(a_x))))*(cos(V_x) + 0.39250988)**2*cos(V_x),PySRFunction(X=>dtheta*(-sin(a_z - 0.901139496935322) - Abs(sin(Abs(a_x))))*(cos(V_x) + 0.39250988)**2*cos(V_x))
