complexity,loss,score,equation,sympy_format,lambda_format
1,0.060612433,0.0,1.3158192e-6,1.31581920000000e-6,PySRFunction(X=>0.00000131581920000000)
2,0.060612418,2.4747401004173344e-07,square(-0.0002796859),7.82242026588100e-8,PySRFunction(X=>7.82242026588100E-8)
3,0.039591007,0.4258977930636497,(a_y * -0.14498757),-0.14498757*a_y,PySRFunction(X=>-0.14498757*a_y)
5,0.024598174,0.23796489198480694,((a_z_2 + a_y) * -0.13394308),-0.13394308*a_y - 0.13394308*a_z_2,PySRFunction(X=>-0.13394308*a_y - 0.13394308*a_z_2)
7,0.024455814,0.0029021167385026984,((a_z_2 + (a_y * 1.0913372)) * -0.13261819),-0.144731164143668*a_y - 0.13261819*a_z_2,PySRFunction(X=>-0.144731164143668*a_y - 0.13261819*a_z_2)
8,0.02178243,0.11576429753477652,(((a_z_2 * tanh(a_z)) + a_y) * -0.13584115),-0.13584115*a_y - 0.13584115*a_z_2*tanh(a_z),PySRFunction(X=>-0.13584115*a_y - 0.13584115*a_z_2*tanh(a_z))
9,0.021440225,0.015834850978730587,(((abs(a_z_2) * tanh(a_z)) + a_y) * -0.1370876),-0.1370876*a_y - 0.1370876*tanh(a_z)*Abs(a_z_2),PySRFunction(X=>-0.1370876*a_y - 0.1370876*tanh(a_z)*Abs(a_z_2))
10,0.021213556,0.010628419261077554,((((a_z_2 + 0.38654253) * tanh(a_z)) + a_y) * -0.13261819),-0.13261819*a_y - 0.13261819*(a_z_2 + 0.38654253)*tanh(a_z),PySRFunction(X=>-0.13261819*a_y - 0.13261819*(a_z_2 + 0.38654253)*tanh(a_z))
11,0.02093452,0.013240940192008482,(((abs(a_z_2) * tanh(a_z - a_y_2)) + a_y) * -0.13261819),-0.13261819*a_y + 0.13261819*tanh(a_y_2 - a_z)*Abs(a_z_2),PySRFunction(X=>-0.13261819*a_y + 0.13261819*tanh(a_y_2 - a_z)*Abs(a_z_2))
12,0.019979335,0.04670098171421087,((((a_z_2 + 0.52466893) * tanh(a_z - a_y_2)) + a_y) * -0.13261819),-0.13261819*a_y + 0.13261819*(a_z_2 + 0.52466893)*tanh(a_y_2 - a_z),PySRFunction(X=>-0.13261819*a_y + 0.13261819*(a_z_2 + 0.52466893)*tanh(a_y_2 - a_z))
