complexity,loss,score,equation,sympy_format,lambda_format
1,0.055326737,0.0,-4.9868635e-8,-4.98686350000000e-8,PySRFunction(X=>-4.98686350000000E-8)
3,0.04563725,0.09626600636168886,(a_y * 0.098436184),0.098436184*a_y,PySRFunction(X=>0.098436184*a_y)
5,0.042711895,0.033123408073085295,(0.07997845 * (a_y - a_x)),-0.07997845*a_x + 0.07997845*a_y,PySRFunction(X=>-0.07997845*a_x + 0.07997845*a_y)
6,0.04261839,0.0021916026045459116,sin((a_y - a_x) * 0.08597545),-sin(0.08597545*a_x - 0.08597545*a_y),PySRFunction(X=>-sin(0.08597545*a_x - 0.08597545*a_y))
7,0.039264318,0.0819696827470794,(((a_y * theta_t) - a_x) * 0.08597545),-0.08597545*a_x + 0.08597545*a_y*theta_t,PySRFunction(X=>-0.08597545*a_x + 0.08597545*a_y*theta_t)
8,0.0392518,0.00031886446821169514,(((a_y * theta_t) - a_x) * tanh(0.08597545)),-0.0857642373262099*a_x + 0.0857642373262099*a_y*theta_t,PySRFunction(X=>-0.0857642373262099*a_x + 0.0857642373262099*a_y*theta_t)
9,0.038969845,0.0072091611253162526,((((a_y * theta_t) - a_x) / 1.2614197) * 0.098436184),-0.0780360287698059*a_x + 0.0780360287698059*a_y*theta_t,PySRFunction(X=>-0.0780360287698059*a_x + 0.0780360287698059*a_y*theta_t)
10,0.03896108,0.00022494279483943952,((((a_y * theta_t_2) - a_x) * sin(0.098436184)) * 0.7739369),-0.0760604225367377*a_x + 0.0760604225367377*a_y*theta_t_2,PySRFunction(X=>-0.0760604225367377*a_x + 0.0760604225367377*a_y*theta_t_2)
11,0.03797652,0.025595125115423403,((((a_y * theta_t) - (a_x + dtheta_t_2)) * 0.098436184) * 0.7999023),-0.0787393299848232*a_x + 0.0787393299848232*a_y*theta_t - 0.0787393299848232*dtheta_t_2,PySRFunction(X=>-0.0787393299848232*a_x + 0.0787393299848232*a_y*theta_t - 0.0787393299848232*dtheta_t_2)
12,0.037926484,0.001318419683306251,(((a_y * theta_t) - (a_x * square(cos(tanh(dgamma_t_1))))) * 0.098436184),-0.098436184*a_x*cos(tanh(dgamma_t_1))**2 + 0.098436184*a_y*theta_t,PySRFunction(X=>-0.098436184*a_x*cos(tanh(dgamma_t_1))**2 + 0.098436184*a_y*theta_t)
