Complexity,Loss,Equation
1,0.081082374,"-2.1840937e-5"
2,0.08108222,"square(-4.9531955e-5)"
3,0.038094632,"(a_z * -0.20733446)"
4,0.03125892,"(-0.037360653 * square(a_z))"
5,0.022157298,"((-0.07978947 * a_z) * gamma_t)"
6,0.021132654,"((-0.080395386 * abs(gamma_t)) * a_z)"
7,0.020779686,"((0.042066835 * (a_z * theta_t_2)) * gamma_t)"
8,0.020043101,"((-0.079424106 * (gamma_t_2 + tanh(dgamma_t_2))) * a_z)"
9,0.019321678,"((-0.079424106 * (abs(gamma_t_2) + tanh(dgamma_t_2))) * a_z)"
10,0.018631015,"(a_z * (0.07502156 * (tanh(-0.77367085 - dgamma_t_2) - gamma_t)))"
11,0.018590955,"(tanh(-0.079424106 * (gamma_t_2 + tanh(dgamma_t_2 + 0.8294839))) * a_z)"
12,0.017543318,"(a_z * (0.07028402 * (((a_x / a_z) - tanh(dgamma_t_2)) - gamma_t)))"
13,0.016925097,"(a_z * (0.07028402 * (((a_x / a_z) - (dgamma_t_1 * 0.51125455)) - gamma_t)))"
14,0.016831122,"(a_z * (abs(-0.06919989) * (((a_x / a_z) - (dgamma_t_2 * 0.60769916)) - gamma_t_1)))"
15,0.01680034,"(a_z * (abs(-0.06919989) * (((a_x / a_z) - (dgamma_t_2 * sin(0.60769916))) - gamma_t_1)))"
16,0.016796185,"(a_z * (abs(-0.06919989) * (((a_x / a_z) - (dgamma_t_2 * cos(cos(-0.14385355)))) - gamma_t)))"
17,0.016597107,"(a_z * (abs(-0.06919989) * (((a_x / a_z) - (dgamma_t_2 * square(tanh(tanh(gamma_t))))) - gamma_t)))"
18,0.016565392,"(a_z * (abs(-0.06919989) * (((a_x / a_z) - (dgamma_t_2 * square(tanh(tanh(gamma_t))))) - abs(gamma_t))))"
19,0.0165567,"(a_z * (abs(tanh(-0.06919989)) * (((a_x / a_z) - (dgamma_t_2 * square(tanh(tanh(gamma_t))))) - abs(gamma_t))))"
20,0.016548403,"(a_z * (abs(tanh(tanh(-0.06919989))) * (((a_x / a_z) - (dgamma_t_2 * square(tanh(tanh(gamma_t))))) - abs(gamma_t))))"
21,0.016540496,"(a_z * (abs(tanh(tanh(tanh(-0.06919989)))) * (((a_x / a_z) - (dgamma_t_2 * square(tanh(tanh(gamma_t))))) - abs(gamma_t))))"
22,0.016532429,"(a_z * (abs(tanh(abs(tanh(-0.06919989)))) * (((a_x / a_z) - (dgamma_t_2 * square(tanh(square(tanh(gamma_t)))))) - abs(gamma_t))))"
23,0.01652749,"(a_z * (abs(tanh(tanh(tanh(sin(tanh(-0.06919989)))))) * (((a_x / a_z) - (dgamma_t_2 * square(tanh(tanh(gamma_t_1))))) - abs(gamma_t))))"
24,0.016335508,"(a_z * (abs(tanh(abs(tanh(-0.06919989)))) * ((((a_x / a_z) - (dgamma_t_2 * square(tanh(square(tanh(gamma_t)))))) - -0.35308453) - abs(gamma_t))))"
25,0.01616354,"(a_z * (abs(sin(-0.06919989)) * (((((a_x / 0.6783877) * 0.71894187) / a_z) - (dgamma_t_2 * square(cos(tanh(cos(gamma_t) - theta_t_2))))) - gamma_t)))"
