complexity,loss,score,equation,sympy_format,lambda_format
1,0.081082374,0.0,-2.1840937e-5,-2.18409370000000e-5,PySRFunction(X=>-0.0000218409370000000)
2,0.08108222,1.8993048507376359e-06,square(-4.9531955e-5),2.45341456612203e-9,PySRFunction(X=>2.45341456612203E-9)
3,0.038094632,0.7553903217560964,(a_z * -0.20733446),-0.20733446*a_z,PySRFunction(X=>-0.20733446*a_z)
4,0.03125892,0.19776860436577476,(-0.037360653 * square(a_z)),-0.037360653*a_z**2,PySRFunction(X=>-0.037360653*a_z**2)
5,0.022157298,0.34413785241526196,((-0.07978947 * a_z) * gamma_t),-0.07978947*a_z*gamma_t,PySRFunction(X=>-0.07978947*a_z*gamma_t)
6,0.021132654,0.047347495888907,((-0.080395386 * abs(gamma_t)) * a_z),-0.080395386*a_z*Abs(gamma_t),PySRFunction(X=>-0.080395386*a_z*Abs(gamma_t))
7,0.020779686,0.01684355227443098,((0.042066835 * (a_z * theta_t_2)) * gamma_t),0.042066835*a_z*gamma_t*theta_t_2,PySRFunction(X=>0.042066835*a_z*gamma_t*theta_t_2)
8,0.020043101,0.03609087010901743,((-0.079424106 * (gamma_t_2 + tanh(dgamma_t_2))) * a_z),a_z*(-0.079424106*gamma_t_2 - 0.079424106*tanh(dgamma_t_2)),PySRFunction(X=>a_z*(-0.079424106*gamma_t_2 - 0.079424106*tanh(dgamma_t_2)))
9,0.019321678,0.03665732674960831,((-0.079424106 * (abs(gamma_t_2) + tanh(dgamma_t_2))) * a_z),a_z*(-0.079424106*tanh(dgamma_t_2) - 0.079424106*Abs(gamma_t_2)),PySRFunction(X=>a_z*(-0.079424106*tanh(dgamma_t_2) - 0.079424106*Abs(gamma_t_2)))
10,0.018631015,0.03640001286728263,(a_z * (0.07502156 * (tanh(-0.77367085 - dgamma_t_2) - gamma_t))),a_z*(-0.07502156*gamma_t - 0.07502156*tanh(dgamma_t_2 + 0.77367085)),PySRFunction(X=>a_z*(-0.07502156*gamma_t - 0.07502156*tanh(dgamma_t_2 + 0.77367085)))
11,0.018590955,0.0021524930285663495,(tanh(-0.079424106 * (gamma_t_2 + tanh(dgamma_t_2 + 0.8294839))) * a_z),-a_z*tanh(0.079424106*gamma_t_2 + 0.079424106*tanh(dgamma_t_2 + 0.8294839)),PySRFunction(X=>-a_z*tanh(0.079424106*gamma_t_2 + 0.079424106*tanh(dgamma_t_2 + 0.8294839)))
12,0.017543318,0.05800203544811457,(a_z * (0.07028402 * (((a_x / a_z) - tanh(dgamma_t_2)) - gamma_t))),a_z*(0.07028402*a_x/a_z - 0.07028402*gamma_t - 0.07028402*tanh(dgamma_t_2)),PySRFunction(X=>a_z*(0.07028402*a_x/a_z - 0.07028402*gamma_t - 0.07028402*tanh(dgamma_t_2)))
13,0.016925097,0.03587558672214657,(a_z * (0.07028402 * (((a_x / a_z) - (dgamma_t_1 * 0.51125455)) - gamma_t))),a_z*(0.07028402*a_x/a_z - 0.035933025017291*dgamma_t_1 - 0.07028402*gamma_t),PySRFunction(X=>a_z*(0.07028402*a_x/a_z - 0.035933025017291*dgamma_t_1 - 0.07028402*gamma_t))
