complexity,loss,score,equation,sympy_format,lambda_format
1,0.07363963,0.0,3.566267e-7,3.56626700000000e-7,PySRFunction(X=>3.56626700000000E-7)
3,0.062367447,0.08306993767485145,(a_x * -0.106171966),-0.106171966*a_x,PySRFunction(X=>-0.106171966*a_x)
4,0.061122347,0.02016591256919533,tanh(a_x * -0.14130017),-tanh(0.14130017*a_x),PySRFunction(X=>-tanh(0.14130017*a_x))
5,0.05880997,0.038566145635711355,((a_x + theta_t) * -0.079806335),-0.079806335*a_x - 0.079806335*theta_t,PySRFunction(X=>-0.079806335*a_x - 0.079806335*theta_t)
6,0.058012865,0.01364660205943821,((a_x - sin(dgamma_t_2)) * -0.106171966),-0.106171966*a_x + 0.106171966*sin(dgamma_t_2),PySRFunction(X=>-0.106171966*a_x + 0.106171966*sin(dgamma_t_2))
7,0.052025728,0.108926430840711,((square(cos(theta_t)) * a_x) * -0.24469239),-0.24469239*a_x*cos(theta_t)**2,PySRFunction(X=>-0.24469239*a_x*cos(theta_t)**2)
8,0.050131954,0.03707975628299872,sin((square(cos(theta_t)) * a_x) * -0.30375776),-sin(0.30375776*a_x*cos(theta_t)**2),PySRFunction(X=>-sin(0.30375776*a_x*cos(theta_t)**2))
9,0.047204122,0.0601773898843623,((square(tanh(1.9333785 + theta_t)) * a_x) * -0.23728317),-0.23728317*a_x*tanh(theta_t + 1.9333785)**2,PySRFunction(X=>-0.23728317*a_x*tanh(theta_t + 1.9333785)**2)
10,0.043954752,0.07132047813367313,((tanh(square(cos(l) / dgamma_t_2)) * a_x) * -0.23728317),-0.23728317*a_x*tanh(cos(l)**2/dgamma_t_2**2),PySRFunction(X=>-0.23728317*a_x*tanh(cos(l)**2/dgamma_t_2**2))
11,0.043265317,0.015809420182730117,((tanh(square(-0.6991863 / gamma_t_1)) * (a_x - dgamma_t_1)) * -0.23821555),-0.23821555*(a_x - dgamma_t_1)*tanh(0.48886148210769/gamma_t_1**2),PySRFunction(X=>-0.23821555*(a_x - dgamma_t_1)*tanh(0.48886148210769/gamma_t_1**2))
12,0.03968679,0.08633293424138702,((tanh(square(cos(l) / dgamma_t_2)) * (a_x - dgamma_t_2)) * -0.23728317),-0.23728317*(a_x - dgamma_t_2)*tanh(cos(l)**2/dgamma_t_2**2),PySRFunction(X=>-0.23728317*(a_x - dgamma_t_2)*tanh(cos(l)**2/dgamma_t_2**2))
13,0.039016154,0.017042621230519285,((square(tanh(tanh(cos(l) / dgamma_t_2))) * (a_x - dgamma_t_1)) * -0.482139),-0.482139*(a_x - dgamma_t_1)*tanh(tanh(cos(l)/dgamma_t_2))**2,PySRFunction(X=>-0.482139*(a_x - dgamma_t_1)*tanh(tanh(cos(l)/dgamma_t_2))**2)
14,0.038914748,0.002602460760265708,((square(tanh(tanh(tanh(cos(l)) / dgamma_t_2))) * (a_x - dgamma_t_1)) * -0.482139),-0.482139*(a_x - dgamma_t_1)*tanh(tanh(tanh(cos(l))/dgamma_t_2))**2,PySRFunction(X=>-0.482139*(a_x - dgamma_t_1)*tanh(tanh(tanh(cos(l))/dgamma_t_2))**2)
15,0.038579654,0.008648265678352902,((tanh(square(sin(tanh(tanh(cos(l)) / dgamma_t_2)))) * (a_x - dgamma_t_2)) * -0.482139),-0.482139*(a_x - dgamma_t_2)*tanh(sin(tanh(tanh(cos(l))/dgamma_t_2))**2),PySRFunction(X=>-0.482139*(a_x - dgamma_t_2)*tanh(sin(tanh(tanh(cos(l))/dgamma_t_2))**2))
16,0.03816192,0.010886879280204794,((tanh(square(sin(tanh((cos(l) + -0.06878673) / dgamma_t_2)))) * (a_x - dgamma_t_2)) * -0.482139),-0.482139*(a_x - dgamma_t_2)*tanh(sin(tanh((cos(l) - 0.06878673)/dgamma_t_2))**2),PySRFunction(X=>-0.482139*(a_x - dgamma_t_2)*tanh(sin(tanh((cos(l) - 0.06878673)/dgamma_t_2))**2))
19,0.03764872,0.004513067818580735,((tanh(tanh(square(tanh(tanh((tanh(dtheta_t_1) / gamma_t_2) * dgamma_t_2)) / dgamma_t_2))) * (a_x - dgamma_t_2)) * -0.482139),-0.482139*(a_x - dgamma_t_2)*tanh(tanh(tanh(tanh(dgamma_t_2*tanh(dtheta_t_1)/gamma_t_2))**2/dgamma_t_2**2)),PySRFunction(X=>-0.482139*(a_x - dgamma_t_2)*tanh(tanh(tanh(tanh(dgamma_t_2*tanh(dtheta_t_1)/gamma_t_2))**2/dgamma_t_2**2)))
20,0.03706279,0.015685454976116866,((tanh(tanh(square(tanh(tanh((tanh(dtheta_t_1) / gamma_t_2) * dgamma_t_2)) / dgamma_t_2))) * (a_x - dgamma_t_2)) * tanh(-0.482139)),-0.44795502780844*(a_x - dgamma_t_2)*tanh(tanh(tanh(tanh(dgamma_t_2*tanh(dtheta_t_1)/gamma_t_2))**2/dgamma_t_2**2)),PySRFunction(X=>-0.44795502780844*(a_x - dgamma_t_2)*tanh(tanh(tanh(tanh(dgamma_t_2*tanh(dtheta_t_1)/gamma_t_2))**2/dgamma_t_2**2)))
