Complexity,Loss,Equation
1,0.049326085,"1.3056987e-8"
3,0.02014387,"(-0.17082803 * a_y)"
5,0.020142516,"((a_y * -0.1708295) - -0.0011283294)"
6,0.018377505,"(0.18794967 * (sin(a_y) - a_y))"
7,0.018112186,"(0.18881473 * (sin(sin(a_y)) - a_y))"
8,0.017967906,"(0.18839708 * ((sin(a_y) * 0.7110985) - a_y))"
9,0.017925376,"(0.1886015 * ((sin(sin(a_y)) * 0.786455) - a_y))"
10,0.016672062,"(0.18907651 * (sin(a_y - (0.2695952 * dgamma_t_2)) - a_y))"
11,0.016468814,"(0.18907651 * (sin(sin(a_y - (0.2695952 * dgamma_t_2))) - a_y))"
12,0.016111927,"(0.18907651 * (sin((a_y - (dgamma_t_2 * 0.40434167)) * 0.69226414) - a_y))"
13,0.01599831,"(0.18907651 * (sin(sin((a_y - (dgamma_t_2 / 1.8581274)) * 0.7354585)) - a_y))"
14,0.0157177,"(0.18907651 * (sin(a_y - ((0.18907651 * (1.3092538 + a_y)) * dgamma_t_2)) - a_y))"
16,0.015702521,"(0.18907651 * (sin(a_y - ((0.18907651 * ((a_y - -1.0212392) - -0.43664312)) * dgamma_t_2)) - a_y))"
17,0.01561366,"(0.18907651 * (sin(sin(a_y - ((0.18907651 * ((a_y - -1.0212392) - -0.43664312)) * dgamma_t_2))) - a_y))"
19,0.015556715,"((sin(sin(dgamma_t_2) - a_y) - (-0.2008266 - (a_y * ((1.4603925 + 0.15275241) - (0.08731695 * a_y))))) * -0.099164434)"
20,0.015470624,"((sin(sin(dgamma_t_2) - a_y) - (-0.18089154 - (a_y * ((1.4603925 + 0.15275241) - sin(0.08731695 * a_y))))) * -0.099164434)"
21,0.015297291,"((sin(sin(dgamma_t_2) - a_y) - (-0.2008266 - (a_y * ((1.4603925 + 0.15275241) - (0.08731695 * (a_y + a_x)))))) * -0.099164434)"
22,0.015287585,"((sin(sin(dgamma_t_2 / 2.0989342) - a_y) - (-0.18089154 - (a_y * ((1.4603925 + 0.15275241) - sin(0.08731695 * a_y))))) * -0.099164434)"
23,0.01525329,"((sin(sin(dgamma_t_2 / 2.0989342) - a_y) - (-0.18089154 - (a_y * ((1.4603925 + 0.15275241) - sin(sin(0.08731695 * a_y)))))) * -0.099164434)"
24,0.01523897,"((sin(sin(dgamma_t_2 / 2.0989342) - a_y) - (-0.18089154 - (a_y * ((1.4603925 + 0.15275241) - sin(sin(sin(0.08731695 * a_y))))))) * -0.099164434)"
25,0.0151777,"((sin(sin((dgamma_t_2 / 2.0989342) * 1.330818) - a_y) - (-0.18089154 - (a_y * ((1.4603925 + 0.15275241) - sin(sin(0.08731695 * a_y)))))) * -0.099164434)"
26,0.015024475,"((sin(sin(dgamma_t_2) - a_y) - ((v_sway * ((0.08731695 * a_y) * a_y)) - (a_y * (1.4603925 - (sin(0.08731695 * a_y) + 0.010692417))))) * -0.099164434)"
27,0.0145293875,"((sin(sin(dgamma_t_2) - a_y) - ((0.08731695 * ((a_y * v_sway) * a_y)) - (a_y * (1.4603925 - sin(sin((0.08731695 * a_y) / theta_t_1)))))) * -0.099164434)"
28,0.014394927,"(((sin(sin(dgamma_t_2) - a_y) + 0.08731695) - ((0.085612364 * ((a_y * v_sway) * a_y)) - (a_y * (1.4603925 - sin((0.08731695 * a_y) / theta_t))))) * -0.099164434)"
29,0.014312814,"(((sin(sin(dgamma_t_2) - a_y) + 0.08731695) - ((0.08731695 * ((a_y * v_sway) * a_y)) - (a_y * (1.4603925 - sin(sin((0.08731695 * a_y) / theta_t)))))) * -0.099164434)"
