Complexity,Loss,Equation
1,0.04519531,"-4.844825e-7"
3,0.030747395,"(0.12019946 * a_y)"
5,0.027634714,"((0.05250825 * a_y) * theta_t_1)"
6,0.027633905,"(sin(0.052508254 * theta_t_1) * a_y)"
7,0.024805093,"(0.038330216 * (a_y * (theta_t + 1.5388323)))"
9,0.022896597,"(0.040770944 * ((a_y * (theta_t - -1.402255)) - dtheta_t_2))"
11,0.022063684,"(0.028360125 * ((a_y * ((theta_t_1 + v_surge) + 2.3053384)) - dtheta_t_2))"
12,0.022063637,"(sin(0.028360125) * ((a_y * ((theta_t_1 + v_surge) + 2.3053384)) - dtheta_t_2))"
13,0.021297662,"(0.028360125 * ((a_y * ((theta_t_1 + v_surge) + 2.3053384)) - (dtheta_t_2 * dgamma_t_2)))"
14,0.021297408,"(sin(0.028360125) * ((a_y * ((theta_t_1 + v_surge) + 2.3053384)) - (dtheta_t_2 * dgamma_t_2)))"
15,0.020870885,"(0.028360125 * (((a_y * ((theta_t + v_surge) + 2.3053384)) + v_sway) - (dtheta_t_2 / 0.51745456)))"
17,0.020226572,"(0.028360125 * (((a_y * ((theta_t + v_surge) + 2.3053384)) + v_sway) - ((a_x + dtheta_t_2) + dtheta_t_2)))"
19,0.020083308,"(0.028360125 * (((a_y * ((theta_t + (v_surge - v_sway)) + 2.3053384)) + v_sway) - ((dtheta_t_2 + dtheta_t_2) - a_surge)))"
21,0.019855617,"(0.028360125 * (((((((a_y * ((theta_t + v_surge) + 2.3053384)) + dgamma_t_1) - dtheta_t_2) - a_x) + v_sway) - dtheta_t_2) + dtheta_t))"
23,0.01984615,"(0.028360125 * ((((((((a_y * ((theta_t + v_surge) + 2.3053384)) + dgamma_t_1) - dtheta_t_2) - v_surge) - a_x) + v_sway) - dtheta_t_2) + dtheta_t))"
24,0.019196454,"(0.028360125 * ((((((((a_y * ((theta_t + v_surge) + 2.3053384)) + dgamma_t_1) - dtheta_t_2) - sin(v_surge)) - a_x) + v_sway) - dtheta_t_2) + dtheta_t))"
