Complexity,Loss,Equation
1,0.049326085,"-2.251062e-8"
3,0.02014387,"(a_y * -0.17082909)"
5,0.020142516,"((a_y * -0.17082962) - -0.0011310106)"
6,0.01805093,"((a_y - tanh(a_y)) * -0.24165168)"
7,0.017868087,"((a_y - tanh(tanh(a_y))) * -0.2268117)"
8,0.017861633,"((a_y - sin(tanh(tanh(a_y)))) * -0.22485577)"
9,0.017764064,"(a_y * (-0.23198959 * sin(square(square(tanh(a_y))))))"
10,0.017369581,"(a_y * (-0.23198959 * square(sin(tanh(a_y)) + -0.118542634)))"
11,0.017359752,"(a_y * (tanh(-0.23198959) * square(sin(tanh(a_y)) + -0.118542634)))"
12,0.016531318,"(a_y * (-0.23198959 * square(sin(tanh(a_y - -1.0092435) - 0.2611972))))"
14,0.016068932,"(-0.053217385 * (((a_y * ((1.296923 - -1.2479409) + l)) - abs(a_y)) + dgamma_t_2))"
15,0.015443984,"(-0.05638801 * ((a_y - ((abs(a_y) * (cos(gamma_t) - gamma_t_2)) - a_y)) + dgamma_t_2))"
16,0.015442253,"(tanh(-0.05638801) * ((a_y - ((abs(a_y) * (cos(gamma_t) - gamma_t_2)) - a_y)) + dgamma_t_2))"
17,0.013755712,"(-0.054704208 * ((a_y - ((abs(a_y) * (sin(gamma_t * -1.7310137) - gamma_t)) - a_y)) + dgamma_t_2))"
18,0.013749216,"(tanh(-0.054704208) * ((a_y - ((abs(a_y) * (sin(gamma_t * -1.7310137) - gamma_t)) - a_y)) + dgamma_t_2))"
19,0.013125855,"(-0.054704208 * ((a_y - ((abs(a_y) * (sin(gamma_t * -1.7310137) - (gamma_t_2 / 1.4641281))) - a_y)) + dgamma_t_2))"
21,0.012700437,"(-0.054704208 * ((a_y - (((abs(a_y) * (sin(gamma_t * -1.7310137) - (gamma_t / 1.4641281))) / 0.7665094) - a_y)) + dgamma_t_2))"
22,0.012690778,"(tanh(-0.054704208) * ((a_y - (((abs(a_y) * (sin(gamma_t * -1.7310137) - (gamma_t / 1.4641281))) / 0.8033377) - a_y)) + dgamma_t_2))"
23,0.012647895,"(-0.054704208 * ((a_y - ((((abs(a_y) * (sin(gamma_t * -1.7310137) - (gamma_t / 1.4641281))) - 0.06796803) / 0.7665094) - a_y)) + dgamma_t_2))"
25,0.012169527,"(-0.054704208 * (((a_y - (((abs(a_y) * (sin(gamma_t * -1.7310137) - (gamma_t / 1.4641281))) / 0.7665094) - a_y)) + dgamma_t_2) + square(tanh(dgamma_t_2))))"
26,0.01211817,"(-0.054704208 * (((a_y - (((abs(a_y) * (sin(gamma_t * -1.7310137) - (gamma_t / 1.4641281))) / 0.7665094) - a_y)) + dgamma_t_2) + square(square(tanh(dgamma_t_2)))))"
