complexity,loss,score,equation,sympy_format,lambda_format
1,0.049326085,0.0,-2.251062e-8,-2.25106200000000e-8,PySRFunction(X=>-2.25106200000000E-8)
3,0.02014387,0.44777651243953964,(a_y * -0.17082909),-0.17082909*a_y,PySRFunction(X=>-0.17082909*a_y)
5,0.020142516,3.360936869619846e-05,((a_y * -0.17082962) - -0.0011310106),0.0011310106 - 0.17082962*a_y,PySRFunction(X=>0.0011310106 - 0.17082962*a_y)
6,0.01805093,0.10963559801191967,((a_y - tanh(a_y)) * -0.24165168),-0.24165168*a_y + 0.24165168*tanh(a_y),PySRFunction(X=>-0.24165168*a_y + 0.24165168*tanh(a_y))
7,0.017868087,0.01018093447966153,((a_y - tanh(tanh(a_y))) * -0.2268117),-0.2268117*a_y + 0.2268117*tanh(tanh(a_y)),PySRFunction(X=>-0.2268117*a_y + 0.2268117*tanh(tanh(a_y)))
8,0.017861633,0.0003612678784047507,((a_y - sin(tanh(tanh(a_y)))) * -0.22485577),-0.22485577*a_y + 0.22485577*sin(tanh(tanh(a_y))),PySRFunction(X=>-0.22485577*a_y + 0.22485577*sin(tanh(tanh(a_y))))
9,0.017764064,0.00547746442370798,(a_y * (-0.23198959 * sin(square(square(tanh(a_y)))))),-0.23198959*a_y*sin(tanh(a_y)**4),PySRFunction(X=>-0.23198959*a_y*sin(tanh(a_y)**4))
10,0.017369581,0.022457082302968202,(a_y * (-0.23198959 * square(sin(tanh(a_y)) + -0.118542634))),-0.23198959*a_y*(sin(tanh(a_y)) - 0.118542634)**2,PySRFunction(X=>-0.23198959*a_y*(sin(tanh(a_y)) - 0.118542634)**2)
11,0.017359752,0.0005660344966849312,(a_y * (tanh(-0.23198959) * square(sin(tanh(a_y)) + -0.118542634))),-0.227915445358346*a_y*(sin(tanh(a_y)) - 0.118542634)**2,PySRFunction(X=>-0.227915445358346*a_y*(sin(tanh(a_y)) - 0.118542634)**2)
12,0.016531318,0.04889778094421378,(a_y * (-0.23198959 * square(sin(tanh(a_y - -1.0092435) - 0.2611972)))),-0.23198959*a_y*sin(tanh(a_y + 1.0092435) - 0.2611972)**2,PySRFunction(X=>-0.23198959*a_y*sin(tanh(a_y + 1.0092435) - 0.2611972)**2)
14,0.016068932,0.014184462085788057,(-0.053217385 * (((a_y * ((1.296923 - -1.2479409) + l)) - abs(a_y)) + dgamma_t_2)),-0.053217385*a_y*(l + 2.5448639) - 0.053217385*dgamma_t_2 + 0.053217385*Abs(a_y),PySRFunction(X=>-0.053217385*a_y*(l + 2.5448639) - 0.053217385*dgamma_t_2 + 0.053217385*Abs(a_y))
15,0.015443984,0.03966817589966941,(-0.05638801 * ((a_y - ((abs(a_y) * (cos(gamma_t) - gamma_t_2)) - a_y)) + dgamma_t_2)),-0.11277602*a_y - 0.05638801*dgamma_t_2 + 0.05638801*(-gamma_t_2 + cos(gamma_t))*Abs(a_y),PySRFunction(X=>-0.11277602*a_y - 0.05638801*dgamma_t_2 + 0.05638801*(-gamma_t_2 + cos(gamma_t))*Abs(a_y))
16,0.015442253,0.00011208875991028132,(tanh(-0.05638801) * ((a_y - ((abs(a_y) * (cos(gamma_t) - gamma_t_2)) - a_y)) + dgamma_t_2)),-0.112656643992455*a_y - 0.0563283219962275*dgamma_t_2 + 0.0563283219962275*(-gamma_t_2 + cos(gamma_t))*Abs(a_y),PySRFunction(X=>-0.112656643992455*a_y - 0.0563283219962275*dgamma_t_2 + 0.0563283219962275*(-gamma_t_2 + cos(gamma_t))*Abs(a_y))
17,0.013755712,0.11565329760835226,(-0.054704208 * ((a_y - ((abs(a_y) * (sin(gamma_t * -1.7310137) - gamma_t)) - a_y)) + dgamma_t_2)),-0.109408416*a_y - 0.054704208*dgamma_t_2 + 0.054704208*(-gamma_t - sin(1.7310137*gamma_t))*Abs(a_y),PySRFunction(X=>-0.109408416*a_y - 0.054704208*dgamma_t_2 + 0.054704208*(-gamma_t - sin(1.7310137*gamma_t))*Abs(a_y))
18,0.013749216,0.0004723517269909218,(tanh(-0.054704208) * ((a_y - ((abs(a_y) * (sin(gamma_t * -1.7310137) - gamma_t)) - a_y)) + dgamma_t_2)),-0.109299409748787*a_y - 0.0546497048743933*dgamma_t_2 + 0.0546497048743933*(-gamma_t - sin(1.7310137*gamma_t))*Abs(a_y),PySRFunction(X=>-0.109299409748787*a_y - 0.0546497048743933*dgamma_t_2 + 0.0546497048743933*(-gamma_t - sin(1.7310137*gamma_t))*Abs(a_y))
