complexity,loss,score,equation,sympy_format,lambda_format
1,0.045195308,0.0,3.562395e-8,3.56239500000000e-8,PySRFunction(X=>3.56239500000000E-8)
3,0.030747395,0.19259400046174527,(a_y * 0.120199464),0.120199464*a_y,PySRFunction(X=>0.120199464*a_y)
5,0.027634714,0.053366269590002416,((a_y * theta_t_1) * 0.052508257),0.052508257*a_y*theta_t_1,PySRFunction(X=>0.052508257*a_y*theta_t_1)
6,0.026650693,0.036257582010704364,((a_y * abs(theta_t)) * 0.054574795),0.054574795*a_y*Abs(theta_t),PySRFunction(X=>0.054574795*a_y*Abs(theta_t))
7,0.024876814,0.06887894901720604,((a_y * (theta_t - -1.2758971)) * 0.04273043),0.04273043*a_y*(theta_t + 1.2758971),PySRFunction(X=>0.04273043*a_y*(theta_t + 1.2758971))
8,0.024597107,0.011307370612213522,((a_y * abs(theta_t + l)) * 0.05403797),0.05403797*a_y*Abs(l + theta_t),PySRFunction(X=>0.05403797*a_y*Abs(l + theta_t))
9,0.023085112,0.06344092681424335,(((a_y * (theta_t_2 + 1.2099812)) - dtheta_t_2) * 0.045450713),0.045450713*a_y*(theta_t_2 + 1.2099812) - 0.045450713*dtheta_t_2,PySRFunction(X=>0.045450713*a_y*(theta_t_2 + 1.2099812) - 0.045450713*dtheta_t_2)
10,0.022387262,0.030695771184562622,(((a_y * (theta_t + square(l))) - dtheta_t_2) * 0.05099889),0.05099889*a_y*(l**2 + theta_t) - 0.05099889*dtheta_t_2,PySRFunction(X=>0.05099889*a_y*(l**2 + theta_t) - 0.05099889*dtheta_t_2)
11,0.02212071,0.011977862609679767,(((a_y * abs(theta_t + square(l))) - dtheta_t_2) * 0.05099889),0.05099889*a_y*Abs(l**2 + theta_t) - 0.05099889*dtheta_t_2,PySRFunction(X=>0.05099889*a_y*Abs(l**2 + theta_t) - 0.05099889*dtheta_t_2)
13,0.0220252,0.0021635107084741587,(((a_y * (theta_t + square(l))) - (square(dgamma_t_1) * -0.3614277)) * 0.05755298),0.05755298*a_y*(l**2 + theta_t) + 0.020801241189546*dgamma_t_1**2,PySRFunction(X=>0.05755298*a_y*(l**2 + theta_t) + 0.020801241189546*dgamma_t_1**2)
14,0.021349372,0.03116492764914166,(((a_y * abs(theta_t + l)) - ((dtheta_t_2 / 1.9080392) * dgamma_t_2)) * 0.05755298),0.05755298*a_y*Abs(l + theta_t) - 0.0301634159298195*dgamma_t_2*dtheta_t_2,PySRFunction(X=>0.05755298*a_y*Abs(l + theta_t) - 0.0301634159298195*dgamma_t_2*dtheta_t_2)
