complexity,loss,score,equation,sympy_format,lambda_format
1,0.049326085,0.0,1.3056987e-8,1.30569870000000e-8,PySRFunction(X=>1.30569870000000E-8)
3,0.02014387,0.44777651243953964,(-0.17082803 * a_y),-0.17082803*a_y,PySRFunction(X=>-0.17082803*a_y)
6,0.018378617,0.030570718160482607,(0.18907651 * (sin(a_y) - a_y)),-0.18907651*a_y + 0.18907651*sin(a_y),PySRFunction(X=>-0.18907651*a_y + 0.18907651*sin(a_y))
7,0.018112225,0.014600744618376805,(0.18860191 * (sin(sin(a_y)) - a_y)),-0.18860191*a_y + 0.18860191*sin(sin(a_y)),PySRFunction(X=>-0.18860191*a_y + 0.18860191*sin(sin(a_y)))
8,0.01798877,0.006839450339173267,(0.18907651 * (sin(sin(sin(a_y))) - a_y)),-0.18907651*a_y + 0.18907651*sin(sin(sin(a_y))),PySRFunction(X=>-0.18907651*a_y + 0.18907651*sin(sin(sin(a_y))))
9,0.017925477,0.0035246772973362974,(0.18907651 * (sin(sin(sin(sin(a_y)))) - a_y)),-0.18907651*a_y + 0.18907651*sin(sin(sin(sin(a_y)))),PySRFunction(X=>-0.18907651*a_y + 0.18907651*sin(sin(sin(sin(a_y)))))
10,0.017893149,0.0018050948564045416,(0.18907651 * (sin(sin(sin(sin(sin(a_y))))) - a_y)),-0.18907651*a_y + 0.18907651*sin(sin(sin(sin(sin(a_y))))),PySRFunction(X=>-0.18907651*a_y + 0.18907651*sin(sin(sin(sin(sin(a_y))))))
11,0.017878558,0.000815784430371092,(0.18907651 * (sin(sin(sin(sin(sin(sin(a_y)))))) - a_y)),-0.18907651*a_y + 0.18907651*sin(sin(sin(sin(sin(sin(a_y)))))),PySRFunction(X=>-0.18907651*a_y + 0.18907651*sin(sin(sin(sin(sin(sin(a_y)))))))
12,0.017730443,0.008319012049926957,((sin(dgamma_t_2 - a_y) - (-0.07472797 - (a_y * 1.7021805))) * -0.099164434),-0.168795765848337*a_y + 0.099164434*sin(a_y - dgamma_t_2) - 0.00741035684901898,PySRFunction(X=>-0.168795765848337*a_y + 0.099164434*sin(a_y - dgamma_t_2) - 0.00741035684901898)
15,0.017039744,0.013244869286480518,(0.10976204 * ((-0.39413735 * a_sway) - (((dgamma_t_2 + gamma_t) + (a_y / 0.20946348)) * 0.3009459))),-0.043261319576194*a_sway - 0.157700215396192*a_y - 0.033032435913636*dgamma_t_2 - 0.033032435913636*gamma_t,PySRFunction(X=>-0.043261319576194*a_sway - 0.157700215396192*a_y - 0.033032435913636*dgamma_t_2 - 0.033032435913636*gamma_t)
17,0.016985849,0.0015839560848412407,(0.10976204 * ((-0.39413735 * (a_sway * 0.9459613)) - (((dgamma_t_2 + gamma_t) + (a_y / 0.20946348)) * 0.3009459))),-0.0409235341060119*a_sway - 0.157700215396192*a_y - 0.033032435913636*dgamma_t_2 - 0.033032435913636*gamma_t,PySRFunction(X=>-0.0409235341060119*a_sway - 0.157700215396192*a_y - 0.033032435913636*dgamma_t_2 - 0.033032435913636*gamma_t)
19,0.016849216,0.004038229059232588,(0.10976204 * ((-0.39413735 * a_sway) - (((((-0.5266308 * V_z) + dgamma_t_2) + gamma_t) + (a_y / 0.20946348)) * 0.3009459))),0.0173958981511469*V_z - 0.043261319576194*a_sway - 0.157700215396192*a_y - 0.033032435913636*dgamma_t_2 - 0.033032435913636*gamma_t,PySRFunction(X=>0.0173958981511469*V_z - 0.043261319576194*a_sway - 0.157700215396192*a_y - 0.033032435913636*dgamma_t_2 - 0.033032435913636*gamma_t)
20,0.016793301,0.003324070638698287,((sin(sin(sin(sin(dgamma_t_2)) - a_y) - sin(a_y)) - (-0.05051236 - (a_y * (1.4603925 - -0.44371507)))) * -0.099164434),-0.188819749454165*a_y + 0.099164434*sin(sin(a_y) + sin(a_y - sin(sin(dgamma_t_2)))) - 0.00500902958940424,PySRFunction(X=>-0.188819749454165*a_y + 0.099164434*sin(sin(a_y) + sin(a_y - sin(sin(dgamma_t_2)))) - 0.00500902958940424)
