complexity,loss,score,equation,sympy_format,lambda_format
1,0.045195315,0.0,-6.676671e-7,-6.67667100000000e-7,PySRFunction(X=>-6.67667100000000E-7)
3,0.030747462,0.19259298838139985,(0.12045956 * a_y),0.12045956*a_y,PySRFunction(X=>0.12045956*a_y)
4,0.030747395,2.1790440133533365e-06,(sin(0.12045956) * a_y),0.120168449768219*a_y,PySRFunction(X=>0.120168449768219*a_y)
5,0.027636616,0.10666371507171037,((0.05196187 * a_y) * theta_t_1),0.05196187*a_y*theta_t_1,PySRFunction(X=>0.05196187*a_y*theta_t_1)
7,0.02488599,0.052418282812051346,((0.035196383 * a_y) * (1.7118024 + theta_t)),0.035196383*a_y*(theta_t + 1.7118024),PySRFunction(X=>0.035196383*a_y*(theta_t + 1.7118024))
9,0.024336768,0.011158350658305416,((0.035196383 * a_y) * (1.7118024 + (theta_t + V_y))),0.035196383*a_y*(V_y + theta_t + 1.7118024),PySRFunction(X=>0.035196383*a_y*(V_y + theta_t + 1.7118024))
11,0.024111507,0.004649548890054825,((0.035196383 * a_y) * (theta_t_1 - (-1.1840029 - (v_surge * 0.47250688)))),0.035196383*a_y*(theta_t_1 + 0.47250688*v_surge + 1.1840029),PySRFunction(X=>0.035196383*a_y*(theta_t_1 + 0.47250688*v_surge + 1.1840029))
12,0.024080401,0.0012909222983989266,(sin(0.035196383 * a_y) * (theta_t_2 - (-1.019373 - (V_y + 1.0655138)))),(V_y + theta_t_2 + 2.0848868)*sin(0.035196383*a_y),PySRFunction(X=>(V_y + theta_t_2 + 2.0848868)*sin(0.035196383*a_y))
14,0.024077572,5.8744166895418186e-05,((sin(sin(sin(0.035196383))) * a_y) * (theta_t_2 - ((-1.5337754 - V_y) - 0.43110386))),0.0351745974613193*a_y*(V_y + theta_t_2 + 1.96487926),PySRFunction(X=>0.0351745974613193*a_y*(V_y + theta_t_2 + 1.96487926))
15,0.023537094,0.022703140028221113,((0.035196383 * a_y) * (theta_t_2 - ((-1.019373 - (V_y + sin(1.0655138))) - sin(dgamma_t_1)))),0.035196383*a_y*(V_y + theta_t_2 + sin(dgamma_t_1) + 1.89441075093374),PySRFunction(X=>0.035196383*a_y*(V_y + theta_t_2 + sin(dgamma_t_1) + 1.89441075093374))
19,0.023368545,0.0017966893645250059,((0.018801572 * a_y) * ((theta_t_1 - -1.3626356) - (((sin(-0.29152355) - v_surge) * (sin(-0.23055948) * a_y)) * 1.7293932))),0.018801572*a_y*(0.395204798740589*a_y*(-v_surge - 0.287411825119826) + theta_t_1 + 1.3626356),PySRFunction(X=>0.018801572*a_y*(0.395204798740589*a_y*(-v_surge - 0.287411825119826) + theta_t_1 + 1.3626356))
21,0.02334645,0.000472974505243706,(sin(0.035196383 * a_y) * (theta_t_2 - ((-1.019373 - (V_y + sin(1.0655138))) - sin((sin(0.035196383) - 0.3448537) + dgamma_t_1)))),(V_y + theta_t_2 + sin(dgamma_t_1 - 0.309664583344006) + 1.89441075093374)*sin(0.035196383*a_y),PySRFunction(X=>(V_y + theta_t_2 + sin(dgamma_t_1 - 0.309664583344006) + 1.89441075093374)*sin(0.035196383*a_y))
25,0.023318937,0.0002947902605831468,((0.018801572 * a_y) * ((theta_t_1 - -1.3626356) - (((sin((v_surge - -0.51955557) * -0.29152355) - v_surge) * (sin(sin(sin(-0.23055948))) * a_y)) * 1.7293932))),0.018801572*a_y*(0.388431647864091*a_y*(-v_surge - sin(0.29152355*v_surge + 0.151462684188674)) + theta_t_1 + 1.3626356),PySRFunction(X=>0.018801572*a_y*(0.388431647864091*a_y*(-v_surge - sin(0.29152355*v_surge + 0.151462684188674)) + theta_t_1 + 1.3626356))
