complexity,loss,equation,score,sympy_format,lambda_format
1,0.0006132272,0.00069618726,0.0,0.000696187260000000,PySRFunction(X=>0.000696187260000000)
3,0.0004190578,x3 * -0.00010585273,0.19036332279031007,x3*(-0.00010585273),PySRFunction(X=>x3*(-0.00010585273))
4,0.00041904987,sin(x3 * -0.00010585273),1.892358293362989e-05,sin(x3*(-0.00010585273)),PySRFunction(X=>sin(x3*(-0.00010585273)))
5,0.00034893316,(x4 + x3) * -0.0002464371,0.1831095490836053,(x3 + x4)*(-0.0002464371),PySRFunction(X=>(x3 + x4)*(-0.0002464371))
6,0.00030741165,(abs(x4) + x3) * -0.00025125218,0.12669265634580792,(x3 + Abs(x4))*(-0.00025125218),PySRFunction(X=>(x3 + Abs(x4))*(-0.00025125218))
7,0.00025554607,-0.01563296 - ((x3 - x5) * 0.00019396144),0.18478502238909392,-0.00019396144*(x3 - x5) - 0.01563296,PySRFunction(X=>-0.00019396144*(x3 - x5) - 0.01563296)
8,0.0002310394,((x3 * 0.6642431) + abs(x4)) * -0.0006262904,0.10081444775266915,(x3*0.6642431 + Abs(x4))*(-0.0006262904),PySRFunction(X=>(x3*0.6642431 + Abs(x4))*(-0.0006262904))
9,0.00016927773,(((x4 + x3) - x5) * -0.00040090404) - 0.015668843,0.31104751990350715,(x3 + x4 - x5)*(-0.00040090404) - 1*0.015668843,PySRFunction(X=>(x3 + x4 - x5)*(-0.00040090404) - 1*0.015668843)
10,0.00016925501,sin((x4 + (x3 - x5)) * -0.00040090422) - 0.015668843,0.00013422630871150887,sin((x3 + x4 - x5)*(-0.00040090422)) - 1*0.015668843,PySRFunction(X=>sin((x3 + x4 - x5)*(-0.00040090422)) - 1*0.015668843)
11,0.00016410742,((x4 + (x3 - x5)) - (-11.649687 / x2)) * -0.00038531737,0.030885299130639088,(x3 + x4 - x5 - (-1)*11.649687/x2)*(-0.00038531737),PySRFunction(X=>(x3 + x4 - x5 - (-1)*11.649687/x2)*(-0.00038531737))
12,0.00016008927,((exp(1.1079888 / x2) - (x3 * -0.46662414)) - x5) * -0.00039564288,0.024789616260752927,(-(-0.46662414)*x3 - x5 + exp(1.1079888/x2))*(-0.00039564288),PySRFunction(X=>(-(-0.46662414)*x3 - x5 + exp(1.1079888/x2))*(-0.00039564288))
13,0.0001529284,((-0.017626863 - (((x4 + x3) - x5) * 0.00010077984)) / x2) - -0.047552727,0.045761759142282754,-1*(-0.047552727) + (-0.00010077984*(x3 + x4 - x5) - 0.017626863)/x2,PySRFunction(X=>-1*(-0.047552727) + (-0.00010077984*(x3 + x4 - x5) - 0.017626863)/x2)
14,0.00015292491,sin(((-0.017626863 - (((x3 + x4) - x5) * 0.00010078043)) / x2) - -0.04753481),2.2821397618083885e-05,sin(-1*(-0.04753481) + (-0.00010078043*(x3 + x4 - x5) - 0.017626863)/x2),PySRFunction(X=>sin(-1*(-0.04753481) + (-0.00010078043*(x3 + x4 - x5) - 0.017626863)/x2))
15,0.00014414152,((0.024867004 / x2) * (x9 - ((x3 + (x4 - x5)) * 0.0041933977))) - -0.06262536,0.059151421860798,-1*(-0.06262536) + 0.024867004*(x9 - 0.0041933977*(x3 + x4 - x5))/x2,PySRFunction(X=>-1*(-0.06262536) + 0.024867004*(x9 - 0.0041933977*(x3 + x4 - x5))/x2)
16,0.00014193366,((0.022067577 / x2) * (x9 - sin((x3 + (x4 - x5)) * 0.0052650133))) - -0.053011898,0.01543582940522681,-1*(-0.053011898) + 0.022067577*(x9 - sin((x3 + x4 - x5)*0.0052650133))/x2,PySRFunction(X=>-1*(-0.053011898) + 0.022067577*(x9 - sin((x3 + x4 - x5)*0.0052650133))/x2)
17,0.00014025843,(((x9 - sin(sin(((x4 - x5) + x3) * 0.0059792977))) * 0.02130075) / x2) - -0.049777806,0.011873115790317438,-1*(-0.049777806) + (x9 - sin(sin((x3 + x4 - x5)*0.0059792977)))*0.02130075/x2,PySRFunction(X=>-1*(-0.049777806) + (x9 - sin(sin((x3 + x4 - x5)*0.0059792977)))*0.02130075/x2)
18,0.00013954657,(((x9 - sin(sin(sin(((x3 + x4) - x5) * 0.00637329)))) * 0.021504598) / x2) - -0.049779814,0.0050882688720056655,-1*(-0.049779814) + (x9 - sin(sin(sin((x3 + x4 - x5)*0.00637329))))*0.021504598/x2,PySRFunction(X=>-1*(-0.049779814) + (x9 - sin(sin(sin((x3 + x4 - x5)*0.00637329))))*0.021504598/x2)
19,0.00013903563,(((x9 - sin(sin(sin(sin(((x4 - x5) + x3) * 0.005383932))))) * 0.024725243) / x2) - -0.05996845,0.0036681494575388327,-1*(-0.05996845) + (x9 - sin(sin(sin(sin((x3 + x4 - x5)*0.005383932)))))*0.024725243/x2,PySRFunction(X=>-1*(-0.05996845) + (x9 - sin(sin(sin(sin((x3 + x4 - x5)*0.005383932)))))*0.024725243/x2)
20,0.0001380701,(sin((sin(exp(0.30371872 / x2)) - ((x3 + (x4 - x5)) * 0.011963919)) * x11) + 0.23600535) * -0.086229205,0.006968704020686125,(sin(x11*(-0.011963919*(x3 + x4 - x5) + sin(exp(0.30371872/x2)))) + 0.23600535)*(-0.086229205),PySRFunction(X=>(sin(x11*(-0.011963919*(x3 + x4 - x5) + sin(exp(0.30371872/x2)))) + 0.23600535)*(-0.086229205))
