complexity,loss,equation,score,sympy_format,lambda_format
1,0.003250336,-0.0010332605,0.0,-0.00103326050000000,PySRFunction(X=>-0.00103326050000000)
3,0.0027697105,x3 * 0.00016642323,0.08000778675558379,x3*0.00016642323,PySRFunction(X=>x3*0.00016642323)
4,0.0027695948,sin(0.00016642323 * x3),4.1774191437585704e-05,sin(0.00016642323*x3),PySRFunction(X=>sin(0.00016642323*x3))
5,0.002501262,(x3 - x5) * 0.00021296076,0.1019056234051073,(x3 - x5)*0.00021296076,PySRFunction(X=>(x3 - x5)*0.00021296076)
6,0.0015345758,(x3 + abs(x3)) * 0.00096421345,0.48854141345006036,(x3 + Abs(x3))*0.00096421345,PySRFunction(X=>(x3 + Abs(x3))*0.00096421345)
7,0.0015269634,(0.0009740247 - (x3 * -3.2796668e-6)) * x3,0.004972933672007374,x3*(0.0009740247 - (-3.2796668e-6)*x3),PySRFunction(X=>x3*(0.0009740247 - (-3.2796668e-6)*x3))
8,0.001297541,abs(x3 * 0.0009096704) + (x3 * 0.0010292049),0.16281012259548083,x3*0.0010292049 + 0.0009096704*Abs(x3),PySRFunction(X=>x3*0.0010292049 + 0.0009096704*Abs(x3))
9,0.0010933164,(((x3 * x2) - x5) * 0.0014501682) - -0.049681287,0.17125528898482134,(x2*x3 - x5)*0.0014501682 - 1*(-0.049681287),PySRFunction(X=>(x2*x3 - x5)*0.0014501682 - 1*(-0.049681287))
10,0.00093617116,((x3 * 0.277859) - (x5 - abs(x5))) * 0.0014171359,0.15517260177725478,(x3*0.277859 - (x5 - Abs(x5)))*0.0014171359,PySRFunction(X=>(x3*0.277859 - (x5 - Abs(x5)))*0.0014171359)
11,0.0009328877,sin(((x3 * 0.277859) - (x5 - abs(x5))) * 0.0014309642),0.003513493820906182,sin((x3*0.277859 - (x5 - Abs(x5)))*0.0014309642),PySRFunction(X=>sin((x3*0.277859 - (x5 - Abs(x5)))*0.0014309642))
12,0.0008889922,abs((x5 + -25.932291) * 0.0014517128) + ((x3 - x5) * 0.00045077028),0.04819636761495181,(x3 - x5)*0.00045077028 + 0.0014517128*Abs(x5 - 25.932291),PySRFunction(X=>(x3 - x5)*0.00045077028 + 0.0014517128*Abs(x5 - 25.932291))
13,0.00088848773,abs((x5 + -25.932291) * 0.0014517128) + sin((x3 - x5) * 0.00045077028),0.0005676238645854868,sin((x3 - x5)*0.00045077028) + 0.0014517128*Abs(x5 - 25.932291),PySRFunction(X=>sin((x3 - x5)*0.00045077028) + 0.0014517128*Abs(x5 - 25.932291))
14,0.00076447404,(x3 * 0.00038150715) - ((abs((0.08170347 * x7) - x5) - x5) * -0.0012524424),0.15033276974952783,x3*0.00038150715 - (-0.0012524424)*(-x5 + Abs(x5 - 0.08170347*x7)),PySRFunction(X=>x3*0.00038150715 - (-0.0012524424)*(-x5 + Abs(x5 - 0.08170347*x7)))
15,0.00068158755,(x3 * 0.0003779862) - ((abs(abs(x7 * 0.06514458) - x5) - x5) * -0.001183735),0.1147633584548253,x3*0.0003779862 - (-0.001183735)*(-x5 + Abs(x5 - 0.06514458*Abs(x7))),PySRFunction(X=>x3*0.0003779862 - (-0.001183735)*(-x5 + Abs(x5 - 0.06514458*Abs(x7))))
16,0.00068037893,sin((x3 * 0.00037940967) - ((x5 - abs(x5 - abs(x7 * -0.06555586))) * 0.0011871206)),0.001774816539185418,sin(x3*0.00037940967 - 0.0011871206*(x5 - Abs(x5 - 0.06555586*Abs(x7)))),PySRFunction(X=>sin(x3*0.00037940967 - 0.0011871206*(x5 - Abs(x5 - 0.06555586*Abs(x7)))))
17,0.0006627483,(0.0054102344 - ((abs((abs(x7) * 0.065090775) - x5) - x5) * -0.0011543415)) + (x3 * 0.00039602947),0.026254612867967445,x3*0.00039602947 - (-0.0011543415)*(-x5 + Abs(x5 - 1*Abs(x7)*0.065090775)) + 0.0054102344,PySRFunction(X=>x3*0.00039602947 - (-0.0011543415)*(-x5 + Abs(x5 - 1*Abs(x7)*0.065090775)) + 0.0054102344)
18,0.00064724684,((((x6 * 0.02522438) - -12.66924) + ((x3 * 0.39304397) - x5)) + abs(x5 + -13.70252)) * 0.0011148831,0.023667543670228296,(x3*0.39304397 - x5 + x6*0.02522438 + Abs(x5 - 13.70252) - 1*(-12.66924))*0.0011148831,PySRFunction(X=>(x3*0.39304397 - x5 + x6*0.02522438 + Abs(x5 - 13.70252) - 1*(-12.66924))*0.0011148831)
19,0.00064570014,sin(((x3 * 0.3928941) + ((abs(x5 + -13.441086) + ((x6 * 0.025122333) - -12.66924)) - x5)) * 0.0011291684),0.0023925199744777737,sin((x3*0.3928941 - x5 + x6*0.025122333 + Abs(x5 - 13.441086) - 1*(-12.66924))*0.0011291684),PySRFunction(X=>sin((x3*0.3928941 - x5 + x6*0.025122333 + Abs(x5 - 13.441086) - 1*(-12.66924))*0.0011291684))
20,0.00063866744,((((((x3 * 0.39065105) + abs(x5 + -14.197432)) - -13.23676) - x5) * -0.0012809859) + (x6 * -3.222074e-5)) * x9,0.010951335733441047,x9*(x6*(-3.222074e-5) + (x3*0.39065105 - x5 + Abs(x5 - 14.197432) - 1*(-13.23676))*(-0.0012809859)),PySRFunction(X=>x9*(x6*(-3.222074e-5) + (x3*0.39065105 - x5 + Abs(x5 - 14.197432) - 1*(-13.23676))*(-0.0012809859)))
21,0.00063709146,sin(((((x6 * 0.024121871) + (abs(x5 + -13.879213) + (x3 * 0.38689452))) - x5) - -12.669421) * -0.0012994492) * x9,0.002470656174402599,x9*sin((x3*0.38689452 - x5 + x6*0.024121871 + Abs(x5 - 13.879213) - 1*(-12.669421))*(-0.0012994492)),PySRFunction(X=>x9*sin((x3*0.38689452 - x5 + x6*0.024121871 + Abs(x5 - 13.879213) - 1*(-12.669421))*(-0.0012994492)))
22,0.0006200329,((((x6 * 0.061118644) + x3) * 0.22851673) - (-1.2790396 - (abs((x5 * x1) + 13.395824) - (x5 * 0.4362466)))) * 0.0018909951,0.027140683396115663,((x3 + x6*0.061118644)*0.22851673 - (-(-0.4362466*x5 + Abs(x1*x5 + 13.395824)) - 1.2790396))*0.0018909951,PySRFunction(X=>((x3 + x6*0.061118644)*0.22851673 - (-(-0.4362466*x5 + Abs(x1*x5 + 13.395824)) - 1.2790396))*0.0018909951)
23,0.0006110245,((x3 * 0.29238236) - ((x6 * -0.019351207) - (abs((x5 * (x1 - abs(x10))) + 17.355906) - (x5 * 0.5275485)))) * 0.0014735141,0.014635484580038079,(x3*0.29238236 - (x6*(-0.019351207) - (-0.5275485*x5 + Abs(x5*(x1 - Abs(x10)) + 17.355906))))*0.0014735141,PySRFunction(X=>(x3*0.29238236 - (x6*(-0.019351207) - (-0.5275485*x5 + Abs(x5*(x1 - Abs(x10)) + 17.355906))))*0.0014735141)
24,0.0006082234,((x3 * 0.30630273) + ((x6 * 0.019633712) - (-2.0395598 - (abs((x5 * (x10 + x1)) + 17.390713) - (x5 * 0.5771389))))) * 0.0014102919,0.004594807878081969,(x3*0.30630273 + x6*0.019633712 - (-(-0.5771389*x5 + Abs(x5*(x1 + x10) + 17.390713)) - 2.0395598))*0.0014102919,PySRFunction(X=>(x3*0.30630273 + x6*0.019633712 - (-(-0.5771389*x5 + Abs(x5*(x1 + x10) + 17.390713)) - 2.0395598))*0.0014102919)
25,0.0006005743,((x3 * 0.31006023) - (-1.2751263 - ((x6 * 0.019177444) + (abs((log(x10 + 0.60865736) * x5) + 18.955582) - (x5 * 0.55043614))))) * 0.0013869805,0.012655884598376813,0.000430047492835515*x3 - 0.00076344419267527*x5 + 2.6598740867842e-5*x6 + 0.0013869805*Abs(x5*log(x10 + 0.60865736) + 18.955582) + 0.00176857531313715,PySRFunction(X=>0.000430047492835515*x3 - 0.00076344419267527*x5 + 2.6598740867842e-5*x6 + 0.0013869805*Abs(x5*log(x10 + 0.60865736) + 18.955582) + 0.00176857531313715)
26,0.0005978551,sin(((x3 * 0.31006023) - (-1.2751263 - ((abs((x5 * log(x10 + 0.60865736)) + 18.955582) - (x5 * 0.55043614)) + (x6 * 0.019177444)))) * 0.0013869815),0.004537947193825781,sin(0.000430047802895745*x3 - 0.00076344474311141*x5 + 2.6598760045286e-5*x6 + 0.0013869815*Abs(x5*log(x10 + 0.60865736) + 18.955582) + 0.00176857658826345),PySRFunction(X=>sin(0.000430047802895745*x3 - 0.00076344474311141*x5 + 2.6598760045286e-5*x6 + 0.0013869815*Abs(x5*log(x10 + 0.60865736) + 18.955582) + 0.00176857658826345))
27,0.00059568346,sin(sin(((x3 * 0.3097223) - (x9 - ((abs((x5 * log(x10 + 0.6070998)) + 18.955574) - (x5 * 0.5495455)) + (x6 * 0.018375855)))) * 0.001397555)),0.003638998301755984,sin(sin(0.0004328539489765*x3 - 0.0007680200612525*x5 + 2.5681268034525e-5*x6 - 0.001397555*x9 + 0.001397555*Abs(x5*log(x10 + 0.6070998) + 18.955574))),PySRFunction(X=>sin(sin(0.0004328539489765*x3 - 0.0007680200612525*x5 + 2.5681268034525e-5*x6 - 0.001397555*x9 + 0.001397555*Abs(x5*log(x10 + 0.6070998) + 18.955574))))
28,0.00059361866,sin(sin(sin(((x6 * 0.018375855) + ((x3 * 0.30940714) - (x9 - (abs((log(x10 + 0.6070998) * x5) + 18.955574) - (x5 * 0.5495455))))) * 0.0014120573))),0.0034722919262514264,sin(sin(sin(0.000436900610709122*x3 - 0.00077598973495715*x5 + 2.59477601964915e-5*x6 - 0.0014120573*x9 + 0.0014120573*Abs(x5*log(x10 + 0.6070998) + 18.955574)))),PySRFunction(X=>sin(sin(sin(0.000436900610709122*x3 - 0.00077598973495715*x5 + 2.59477601964915e-5*x6 - 0.0014120573*x9 + 0.0014120573*Abs(x5*log(x10 + 0.6070998) + 18.955574)))))
29,0.00059171766,sin(sin(sin(sin(((x6 * 0.01837587) + ((x3 * 0.3097223) - (-1.2200791 - (abs((log(x10 + 0.6070998) * x5) + 18.955574) - (x5 * 0.5495455))))) * 0.0014209053)))),0.003207531225957954,sin(sin(sin(sin(0.00044008605759819*x3 - 0.00078085211354115*x5 + 2.6110371075111e-5*x6 + 0.0014209053*Abs(x5*log(x10 + 0.6070998) + 18.955574) + 0.00173361685960923)))),PySRFunction(X=>sin(sin(sin(sin(0.00044008605759819*x3 - 0.00078085211354115*x5 + 2.6110371075111e-5*x6 + 0.0014209053*Abs(x5*log(x10 + 0.6070998) + 18.955574) + 0.00173361685960923)))))
30,0.00058995845,sin(sin(sin(sin(sin((((x3 * 0.30972224) + (0.01837574 * x6)) - (-1.3447741 - (abs((log(x10 + 0.6070998) * x5) + 18.955574) - (0.5504844 * x5)))) * 0.0014333043))))),0.002977484752022549,sin(sin(sin(sin(sin(0.000443926218397632*x3 - 0.00078901165760292*x5 + 2.6338027157682e-5*x6 + 0.0014333043*Abs(x5*log(x10 + 0.6070998) + 18.955574) + 0.00192747050005863))))),PySRFunction(X=>sin(sin(sin(sin(sin(0.000443926218397632*x3 - 0.00078901165760292*x5 + 2.6338027157682e-5*x6 + 0.0014333043*Abs(x5*log(x10 + 0.6070998) + 18.955574) + 0.00192747050005863))))))
