complexity,loss,equation,score,sympy_format,lambda_format
1,0.0026898494,-0.0,0.0,0.0,PySRFunction(X=>0.0)
3,0.0021919077,x4 * 0.00014554481,0.10235647319071363,x4*0.00014554481,PySRFunction(X=>x4*0.00014554481)
5,0.0018964559,x12 + (x4 * 0.0002852601),0.07239271600999266,x12 + x4*0.0002852601,PySRFunction(X=>x12 + x4*0.0002852601)
7,0.0012697162,(x4 * 0.0002576903) - (x10 * x15),0.2005967087916768,-x10*x15 + x4*0.0002576903,PySRFunction(X=>-x10*x15 + x4*0.0002576903)
9,0.0011704706,((x5 + x4) * 0.00023593433) - (x10 * x15),0.0406937603847154,-x10*x15 + (x4 + x5)*0.00023593433,PySRFunction(X=>-x10*x15 + (x4 + x5)*0.00023593433)
11,0.00092582504,(((x1 * -0.104936756) + x15) * -0.47388315) + (x4 * 0.0003877533),0.11723794701728252,x4*0.0003877533 + (x1*(-0.104936756) + x15)*(-0.47388315),PySRFunction(X=>x4*0.0003877533 + (x1*(-0.104936756) + x15)*(-0.47388315))
13,0.0008390702,(x4 * 0.00040878417) + ((x12 + -0.5549232) * (x15 + (x1 * -0.103607275))),0.049195450552928184,x4*0.00040878417 + (x12 - 0.5549232)*(x1*(-0.103607275) + x15),PySRFunction(X=>x4*0.00040878417 + (x12 - 0.5549232)*(x1*(-0.103607275) + x15))
14,0.0008205501,(x10 * 0.07673488) + (sqrt(x15 * -0.16543177) + ((x4 * 0.0004207351) - 0.0896958)),0.022319405008821718,0.07673488*x10 + 0.0004207351*x4 + 0.406733045129112*sqrt(-x15) - 0.0896958,PySRFunction(X=>0.07673488*x10 + 0.0004207351*x4 + 0.406733045129112*sqrt(-x15) - 0.0896958)
15,0.000769217,(((x12 * 3.3276742) + -0.7553871) * ((x1 * -0.09858486) + x13)) + (x4 * 0.00046594185),0.0646018546406681,x4*0.00046594185 + (x1*(-0.09858486) + x13)*(x12*3.3276742 - 0.7553871),PySRFunction(X=>x4*0.00046594185 + (x1*(-0.09858486) + x13)*(x12*3.3276742 - 0.7553871))
16,0.0007491156,(x4 * 0.00045077372) + ((((x10 * -0.119263686) + x15) * log(x12 + 0.44674817)) - 0.03702217),0.026479803627450994,0.00045077372*x4 + (-0.119263686*x10 + x15)*log(x12 + 0.44674817) - 0.03702217,PySRFunction(X=>0.00045077372*x4 + (-0.119263686*x10 + x15)*log(x12 + 0.44674817) - 0.03702217)
17,0.00065151113,(x4 * 0.0004988688) + ((((x12 + -0.1978381) * (x15 * 5.804003)) + -0.035751853) - (x1 * -0.07040779)),0.13959883065490386,-(-0.07040779)*x1 + (x12 - 0.1978381)*x15*5.804003 + x4*0.0004988688 - 0.035751853,PySRFunction(X=>-(-0.07040779)*x1 + (x12 - 0.1978381)*x15*5.804003 + x4*0.0004988688 - 0.035751853)
19,0.00065032305,((((x4 * 0.00050181936) + ((x15 * 5.804003) * (x12 + -0.1978381))) - (x1 * -0.07040779)) * x14) + -0.035642363,0.0009126203229977418,x14*(-(-0.07040779)*x1 + x15*5.804003*(x12 - 0.1978381) + x4*0.00050181936) - 0.035642363,PySRFunction(X=>x14*(-(-0.07040779)*x1 + x15*5.804003*(x12 - 0.1978381) + x4*0.00050181936) - 0.035642363)
21,0.0006249597,((sin((x10 + 0.765231) * (x15 / -0.14526384)) * 0.22348912) + -0.0598741) + (x4 * 0.00046959333),0.019891035884305856,x4*0.00046959333 + sin(x15*(x10 + 0.765231)/(-0.14526384))*0.22348912 - 0.0598741,PySRFunction(X=>x4*0.00046959333 + sin(x15*(x10 + 0.765231)/(-0.14526384))*0.22348912 - 0.0598741)
23,0.00059775036,(sin(((x10 + 0.95318353) * x15) / -0.16571182) * 0.23345645) + (((x9 * -0.00053132407) * x4) + -0.07054815),0.022256979530377426,x9*(-0.00053132407)*x4 + sin(x15*(x10 + 0.95318353)/(-0.16571182))*0.23345645 - 0.07054815,PySRFunction(X=>x9*(-0.00053132407)*x4 + sin(x15*(x10 + 0.95318353)/(-0.16571182))*0.23345645 - 0.07054815)
25,0.00059409,(((x4 * 0.00048495262) + -0.070645355) * cos(x10)) + (sin((x15 * (x10 + 1.0209342)) / -0.1756866) * 0.2227387),0.0030711927799116317,(x4*0.00048495262 - 0.070645355)*cos(x10) + sin(x15*(x10 + 1.0209342)/(-0.1756866))*0.2227387,PySRFunction(X=>(x4*0.00048495262 - 0.070645355)*cos(x10) + sin(x15*(x10 + 1.0209342)/(-0.1756866))*0.2227387)
27,0.000569557,(((x4 * 0.00053977926) * cos(x16 - 0.25703415)) + -0.07420016) + (sin((x14 + x10) * (x13 / -0.16887283)) * 0.2368218),0.021085978680899366,x4*0.00053977926*cos(x16 - 1*0.25703415) + sin(x13*(x10 + x14)/(-0.16887283))*0.2368218 - 0.07420016,PySRFunction(X=>x4*0.00053977926*cos(x16 - 1*0.25703415) + sin(x13*(x10 + x14)/(-0.16887283))*0.2368218 - 0.07420016)
