complexity,loss,equation,score,sympy_format,lambda_format
1,0.002584983,0.0,0.0,0.0,PySRFunction(X=>0.0)
3,0.0022193145,x4 * -0.00012472313,0.07626028355978554,x4*(-0.00012472313),PySRFunction(X=>x4*(-0.00012472313))
5,0.001864747,x13 * (x3 * -0.00352832),0.0870364886798894,x13*x3*(-0.00352832),PySRFunction(X=>x13*x3*(-0.00352832))
7,0.0017836287,x13 * ((x13 * x16) * -2.9599686),0.022237751181783262,x13*x13*x16*(-2.9599686),PySRFunction(X=>x13*x13*x16*(-2.9599686))
8,0.0017616525,(x16 + x1) * (29.728876 * log(x14)),0.012397595699019968,29.728876*(x1 + x16)*log(x14),PySRFunction(X=>29.728876*(x1 + x16)*log(x14))
9,0.0017353804,sin(x3 * 0.0078002205) * (x10 * x10),0.01502564890715328,x10*x10*sin(x3*0.0078002205),PySRFunction(X=>x10*x10*sin(x3*0.0078002205))
10,0.0015462029,(log(x14) * 38.515667) * (x11 + (x16 + x10)),0.11542445661897507,38.515667*(x10 + x11 + x16)*log(x14),PySRFunction(X=>38.515667*(x10 + x11 + x16)*log(x14))
11,0.001535951,sin(x14 * 37.69408) * ((x11 + x16) + x10),0.006652450293417318,(x10 + x11 + x16)*sin(x14*37.69408),PySRFunction(X=>(x10 + x11 + x16)*sin(x14*37.69408))
12,0.0014991902,(log(x14) * 39.065784) * (((x16 + x1) + x15) - x12),0.024224637513946285,39.065784*(x1 - x12 + x15 + x16)*log(x14),PySRFunction(X=>39.065784*(x1 - x12 + x15 + x16)*log(x14))
13,0.0014076056,sin(x14 * -289.02505) * ((x13 + (x16 + x1)) * -0.22106192),0.06303499080068381,sin(x14*(-289.02505))*(x1 + x13 + x16)*(-0.22106192),PySRFunction(X=>sin(x14*(-289.02505))*(x1 + x13 + x16)*(-0.22106192))
14,0.00140715,((x1 + (x13 + x16)) * 0.22345729) * sin(log(x14) * 280.323),0.0003237226024019433,(0.22345729*x1 + 0.22345729*x13 + 0.22345729*x16)*sin(280.323*log(x14)),PySRFunction(X=>(0.22345729*x1 + 0.22345729*x13 + 0.22345729*x16)*sin(280.323*log(x14)))
15,0.0013483653,(((x1 + x13) + (x16 - x12)) * -0.233249) * sin(x14 * -289.0234),0.042673412414794866,(x1 - x12 + x13 + x16)*(-0.233249)*sin(x14*(-289.0234)),PySRFunction(X=>(x1 - x12 + x13 + x16)*(-0.233249)*sin(x14*(-289.0234)))
16,0.0013474588,sin(log(x14) * 280.323) * ((x16 + ((x1 + x13) - x12)) * 0.23486383),0.0006725216486983417,(0.23486383*x1 - 0.23486383*x12 + 0.23486383*x13 + 0.23486383*x16)*sin(280.323*log(x14)),PySRFunction(X=>(0.23486383*x1 - 0.23486383*x12 + 0.23486383*x13 + 0.23486383*x16)*sin(280.323*log(x14)))
17,0.0013267825,sin((x16 + sin(x1 + x13)) * sin(x14 * -304.73593)) * 0.2649266,0.015463609819846123,sin((x16 + sin(x1 + x13))*sin(x14*(-304.73593)))*0.2649266,PySRFunction(X=>sin((x16 + sin(x1 + x13))*sin(x14*(-304.73593)))*0.2649266)
18,0.0013237997,sin((x16 + sin(x1 + x13)) * sin(log(x14) * 284.69702)) * 0.26683643,0.002250676292269029,0.26683643*sin((x16 + sin(x1 + x13))*sin(284.69702*log(x14))),PySRFunction(X=>0.26683643*sin((x16 + sin(x1 + x13))*sin(284.69702*log(x14))))
19,0.0013144223,sin((log(x14) * 302.8289) * (x15 + log(sin(x1 + x16) - -1.1213968))) * 0.24640772,0.007108908569315189,0.24640772*sin(302.8289*(x15 + log(sin(x1 + x16) + 1.1213968))*log(x14)),PySRFunction(X=>0.24640772*sin(302.8289*(x15 + log(sin(x1 + x16) + 1.1213968))*log(x14)))
20,0.0013007786,(sin(sin(log(x14) * 273.05588) * 2.033437) * 0.19320077) * (sin(x1 + x15) + x16),0.0104342452514402,0.19320077*(x16 + sin(x1 + x15))*sin(2.033437*sin(273.05588*log(x14))),PySRFunction(X=>0.19320077*(x16 + sin(x1 + x15))*sin(2.033437*sin(273.05588*log(x14))))
21,0.0012855178,sin(sin(log(x14) * 253.61751) * log(sin(x15 + (x1 + x16)) - -1.1033475)) * x2,0.011801413881390834,x2*sin(log(sin(x1 + x15 + x16) + 1.1033475)*sin(253.61751*log(x14))),PySRFunction(X=>x2*sin(log(sin(x1 + x15 + x16) + 1.1033475)*sin(253.61751*log(x14))))
23,0.001255466,sin(log(sin(sin(x1 + x15) + x16) - -1.0629925) * sin(log(x14) * 258.7657)) * 0.28873393,0.011827387987826676,0.28873393*sin(log(sin(x16 + sin(x1 + x15)) + 1.0629925)*sin(258.7657*log(x14))),PySRFunction(X=>0.28873393*sin(log(sin(x16 + sin(x1 + x15)) + 1.0629925)*sin(258.7657*log(x14))))
25,0.0012287081,sin(sin(log(x14) * 253.61755) * (log(sin(x16 + sin(x1 + x15)) - -0.9959542) + 0.0892867)) * 0.28036168,0.01077176310075259,0.28036168*sin((log(sin(x16 + sin(x1 + x15)) + 0.9959542) + 0.0892867)*sin(253.61755*log(x14))),PySRFunction(X=>0.28036168*sin((log(sin(x16 + sin(x1 + x15)) + 0.9959542) + 0.0892867)*sin(253.61755*log(x14))))
27,0.001224914,sin(sin(sin(253.61755 * log(x14)) * (log(sin(x16 + sin(x1 + x15)) - -0.9959542) + 0.0892867))) * 0.29661584,0.0015463273761919883,0.29661584*sin(sin((log(sin(x16 + sin(x1 + x15)) + 0.9959542) + 0.0892867)*sin(253.61755*log(x14)))),PySRFunction(X=>0.29661584*sin(sin((log(sin(x16 + sin(x1 + x15)) + 0.9959542) + 0.0892867)*sin(253.61755*log(x14)))))
28,0.0012145664,log((sin(sin(log(x14) * 253.61757) * log(sin((x16 + sin(x1 + x15)) + 0.071023025) - -0.9872123)) * 0.30903468) + 0.99799126),0.008483496780226706,log(0.30903468*sin(log(sin(x16 + sin(x1 + x15) + 0.071023025) + 0.9872123)*sin(253.61757*log(x14))) + 0.99799126),PySRFunction(X=>log(0.30903468*sin(log(sin(x16 + sin(x1 + x15) + 0.071023025) + 0.9872123)*sin(253.61757*log(x14))) + 0.99799126))
30,0.0012118748,log((sin(sin(sin(log(x14) * 253.61757) * log(sin((x16 + sin(x15 + x1)) + 0.07063609) - -0.9856686))) * 0.32061344) + 0.9977697),0.0011092793445829502,log(0.32061344*sin(sin(log(sin(x16 + sin(x1 + x15) + 0.07063609) + 0.9856686)*sin(253.61757*log(x14)))) + 0.9977697),PySRFunction(X=>log(0.32061344*sin(sin(log(sin(x16 + sin(x1 + x15) + 0.07063609) + 0.9856686)*sin(253.61757*log(x14)))) + 0.9977697))
