complexity,loss,equation,score,sympy_format,lambda_format
1,0.0006132272,0.00069657527,0.0,0.000696575270000000,PySRFunction(X=>0.000696575270000000)
3,0.00041905788,x3 * -0.00010583738,0.1903632273380928,x3*(-0.00010583738),PySRFunction(X=>x3*(-0.00010583738))
4,0.0004023081,square(x2) + -0.0889784,0.04079083582548537,x2**2 - 0.0889784,PySRFunction(X=>x2**2 - 0.0889784)
5,0.00034893333,(x3 + x4) * -0.00024633764,0.14233734054628178,(x3 + x4)*(-0.00024633764),PySRFunction(X=>(x3 + x4)*(-0.00024633764))
6,0.00030741183,(abs(x4) + x3) * -0.00025096253,0.12669255801109794,(x3 + Abs(x4))*(-0.00025096253),PySRFunction(X=>(x3 + Abs(x4))*(-0.00025096253))
7,0.00025554656,((x3 - x5) * -0.00019418162) - 0.015637042,0.18478369046237286,(x3 - x5)*(-0.00019418162) - 1*0.015637042,PySRFunction(X=>(x3 - x5)*(-0.00019418162) - 1*0.015637042)
8,0.00023094931,((x3 / 1.5087965) + abs(x4)) * -0.0006374536,0.10120637474900239,(x3/1.5087965 + Abs(x4))*(-0.0006374536),PySRFunction(X=>(x3/1.5087965 + Abs(x4))*(-0.0006374536))
9,0.000169277,((x3 + (x4 - x5)) * -0.00040009158) - 0.015635768,0.31066182281679094,(x3 + x4 - x5)*(-0.00040009158) - 1*0.015635768,PySRFunction(X=>(x3 + x4 - x5)*(-0.00040009158) - 1*0.015635768)
10,0.0001692555,sin((x3 + (x4 - x5)) * -0.0004000948) - 0.015616925,0.00012701882406516163,sin((x3 + x4 - x5)*(-0.0004000948)) - 1*0.015616925,PySRFunction(X=>sin((x3 + x4 - x5)*(-0.0004000948)) - 1*0.015616925)
11,0.00016410655,(x4 + ((11.64751 / x2) + (x3 - x5))) * -0.0003850127,0.030893495585986377,(x3 + x4 - x5 + 11.64751/x2)*(-0.0003850127),PySRFunction(X=>(x3 + x4 - x5 + 11.64751/x2)*(-0.0003850127))
12,0.00015439112,((x4 + (x3 - x5)) + exp(1.0676572 / x2)) * -0.00034782244,0.06102678900226764,(x3 + x4 - x5 + exp(1.0676572/x2))*(-0.00034782244),PySRFunction(X=>(x3 + x4 - x5 + exp(1.0676572/x2))*(-0.00034782244))
13,0.0001431762,((x4 + x3) - (x5 + (-1.6083581 / (x2 + -0.23876767)))) * -0.00031558296,0.07541308338708388,(x3 + x4 - (x5 - 1.6083581/(x2 - 0.23876767)))*(-0.00031558296),PySRFunction(X=>(x3 + x4 - (x5 - 1.6083581/(x2 - 0.23876767)))*(-0.00031558296))
15,0.00013254829,((x4 + x3) - ((-1.2504673 / (x2 + -0.24147958)) + x5)) * (x11 * 0.00090141105),0.03856450386831294,(x3 + x4 - (x5 - 1.2504673/(x2 - 0.24147958)))*x11*0.00090141105,PySRFunction(X=>(x3 + x4 - (x5 - 1.2504673/(x2 - 0.24147958)))*x11*0.00090141105)
17,0.0001311081,((x4 + (((-0.3654663 / ((x2 / -0.6226241) - x11)) + x3) - x5)) * -0.0003505574) + -0.010249159,0.005462429050796694,(x3 + x4 - x5 - 0.3654663/(-x11 + x2/(-0.6226241)))*(-0.0003505574) - 0.010249159,PySRFunction(X=>(x3 + x4 - x5 - 0.3654663/(-x11 + x2/(-0.6226241)))*(-0.0003505574) - 0.010249159)
18,0.00012266284,(abs(x5 - (-1.2868183 / ((x2 / -0.615028) - x11))) + ((x3 - x5) + x4)) * -0.00030354317,0.0665827203960184,(x3 + x4 - x5 + Abs(x5 - (-1)*1.2868183/(-x11 + x2/(-0.615028))))*(-0.00030354317),PySRFunction(X=>(x3 + x4 - x5 + Abs(x5 - (-1)*1.2868183/(-x11 + x2/(-0.615028))))*(-0.00030354317))
19,0.00012262767,sin((abs((-1.2868183 / ((x2 / -0.615028) - x11)) - x5) + (x4 + (x3 - x5))) * -0.00030354317),0.0002867620132634799,sin((x3 + x4 - x5 + Abs(x5 - 1.2868183/(x11 - x2/(-0.615028))))*(-0.00030354317)),PySRFunction(X=>sin((x3 + x4 - x5 + Abs(x5 - 1.2868183/(x11 - x2/(-0.615028))))*(-0.00030354317)))
20,0.000115111885,(x3 + ((abs(x5 - (-1.3510988 / ((x2 / -0.6144893) - x11))) - (x5 * 0.72913194)) + x4)) * -0.00030936708,0.06324812291520641,(x3 + x4 - 0.72913194*x5 + Abs(x5 - (-1)*1.3510988/(-x11 + x2/(-0.6144893))))*(-0.00030936708),PySRFunction(X=>(x3 + x4 - 0.72913194*x5 + Abs(x5 - (-1)*1.3510988/(-x11 + x2/(-0.6144893))))*(-0.00030936708))
21,0.00011376744,(x4 + ((x3 + abs((-1.4196758 / ((x2 / -0.6139658) - x11)) - x5)) - (exp(x11) * x5))) * -0.00031144076,0.011748203673312198,(x3 + x4 - x5*exp(x11) + Abs(x5 - 1.4196758/(x11 - x2/(-0.6139658))))*(-0.00031144076),PySRFunction(X=>(x3 + x4 - x5*exp(x11) + Abs(x5 - 1.4196758/(x11 - x2/(-0.6139658))))*(-0.00031144076))
22,0.00011374871,sin(((x4 + (abs((-1.4196758 / ((x2 / -0.6139658) - x11)) - x5) + x3)) - (exp(x11) * x5)) * -0.00031144076),0.00016464765285725556,sin((x3 + x4 - x5*exp(x11) + Abs(x5 - 1.4196758/(x11 - x2/(-0.6139658))))*(-0.00031144076)),PySRFunction(X=>sin((x3 + x4 - x5*exp(x11) + Abs(x5 - 1.4196758/(x11 - x2/(-0.6139658))))*(-0.00031144076)))
23,0.000112717906,((x3 + (x4 + abs(-3.0011973 - ((-1.39501 / ((x2 / -0.6139658) - x11)) - x5)))) - (x5 * exp(x11))) * -0.00031144076,0.009103426694511394,(x3 + x4 - x5*exp(x11) + Abs(-x5 + 3.0011973 + 1.39501/(x11 - x2/(-0.6139658))))*(-0.00031144076),PySRFunction(X=>(x3 + x4 - x5*exp(x11) + Abs(-x5 + 3.0011973 + 1.39501/(x11 - x2/(-0.6139658))))*(-0.00031144076))
24,0.000109209366,((x3 + (abs((-1.567975 / (x11 - (x2 / -0.6111019))) + ((-2.4310775 / (x11 - x10)) - x4)) - x5)) * -0.00029052288) - 0.009563388,0.031621461549298235,(x3 - x5 + Abs(x4 + 1.567975/(x11 - x2/(-0.6111019)) - 2.4310775/(x10 - x11)))*(-0.00029052288) - 1*0.009563388,PySRFunction(X=>(x3 - x5 + Abs(x4 + 1.567975/(x11 - x2/(-0.6111019)) - 2.4310775/(x10 - x11)))*(-0.00029052288) - 1*0.009563388)
26,0.0001089682,(((x3 + abs(((-2.4310775 / (x11 - x10)) - x4) + ((-0.7948741 + x1) / (x11 - (x2 / -0.6111019))))) - x5) * -0.00028943442) - 0.009563517,0.0011053661595144234,(x3 - x5 + Abs(-x4 + (x1 - 0.7948741)/(x11 - x2/(-0.6111019)) - 2.4310775/(-x10 + x11)))*(-0.00028943442) - 1*0.009563517,PySRFunction(X=>(x3 - x5 + Abs(-x4 + (x1 - 0.7948741)/(x11 - x2/(-0.6111019)) - 2.4310775/(-x10 + x11)))*(-0.00028943442) - 1*0.009563517)
27,0.000108968175,(((x3 + abs(((-2.4310775 / (x11 - x10)) - x4) + ((x1 + -0.7948741) / (x11 - (x2 / -0.6111019))))) - x5) * -0.00028943442) - sin(0.009563517),2.2942475764178164e-07,(x3 - x5 + Abs(-x4 + (x1 - 0.7948741)/(x11 - x2/(-0.6111019)) - 2.4310775/(-x10 + x11)))*(-0.00028943442) - sin(0.009563517),PySRFunction(X=>(x3 - x5 + Abs(-x4 + (x1 - 0.7948741)/(x11 - x2/(-0.6111019)) - 2.4310775/(-x10 + x11)))*(-0.00028943442) - sin(0.009563517))
28,0.00010879589,((abs((((x9 - x0) + x11) / (x11 - (x2 / -0.6098408))) + ((-2.4310834 / (x11 - x10)) - x4)) + (x3 - x5)) * -0.0002857305) - 0.009373161,0.001582309146790152,(x3 - x5 + Abs(-x4 + (-x0 + x11 + x9)/(x11 - x2/(-0.6098408)) - 2.4310834/(-x10 + x11)))*(-0.0002857305) - 1*0.009373161,PySRFunction(X=>(x3 - x5 + Abs(-x4 + (-x0 + x11 + x9)/(x11 - x2/(-0.6098408)) - 2.4310834/(-x10 + x11)))*(-0.0002857305) - 1*0.009373161)
29,0.00010251007,((x3 + (abs((-2.0685792 / ((x2 / -0.609307) - x11)) + (((x5 + square(x2 / (x11 - x10))) - x4) / -1.2932198)) - x5)) * -0.00025793456) - 0.00492119,0.059512520317741326,(x3 - x5 + Abs(0.773263756091579*x2**2/(x10 - x11)**2 - 0.773263756091579*x4 + 0.773263756091579*x5 - 2.0685792/(x11 - x2/(-0.609307))))*(-0.00025793456) - 1*0.00492119,PySRFunction(X=>(x3 - x5 + Abs(0.773263756091579*x2**2/(x10 - x11)**2 - 0.773263756091579*x4 + 0.773263756091579*x5 - 2.0685792/(x11 - x2/(-0.609307))))*(-0.00025793456) - 1*0.00492119)
30,0.00010250551,sin(((x3 + (abs((-2.0685792 / ((x2 / -0.609307) - x11)) + (((x5 + square(x2 / (x11 - x10))) - x4) / -1.2932198)) - x5)) * -0.00025793456) - 0.00492119),4.448442406911971e-05,sin((x3 - x5 + Abs(0.773263756091579*x2**2/(x10 - x11)**2 - 0.773263756091579*x4 + 0.773263756091579*x5 - 2.0685792/(x11 - x2/(-0.609307))))*(-0.00025793456) - 1*0.00492119),PySRFunction(X=>sin((x3 - x5 + Abs(0.773263756091579*x2**2/(x10 - x11)**2 - 0.773263756091579*x4 + 0.773263756091579*x5 - 2.0685792/(x11 - x2/(-0.609307))))*(-0.00025793456) - 1*0.00492119))
