complexity,loss,equation,score,sympy_format,lambda_format
1,0.003250336,-0.0010279897,0.0,-0.00102798970000000,PySRFunction(X=>-0.00102798970000000)
3,0.0027697105,x3 * 0.00016646224,0.08000778675558379,x3*0.00016646224,PySRFunction(X=>x3*0.00016646224)
4,0.0027695948,sin(x3 * 0.00016646224),4.1774191437585704e-05,sin(x3*0.00016646224),PySRFunction(X=>sin(x3*0.00016646224))
5,0.0025012624,(x5 - x3) * -0.00021234865,0.10190546348584743,(-x3 + x5)*(-0.00021234865),PySRFunction(X=>(-x3 + x5)*(-0.00021234865))
6,0.0019497798,exp(x3 * 0.020128196) * 0.014608632,0.24907912130231533,exp(x3*0.020128196)*0.014608632,PySRFunction(X=>exp(x3*0.020128196)*0.014608632)
7,0.0017274052,(x5 - (54.340084 - x4)) * -0.0008619365,0.12109604495842068,(x5 - (54.340084 - x4))*(-0.0008619365),PySRFunction(X=>(x5 - (54.340084 - x4))*(-0.0008619365))
8,0.0012974773,(abs(x3) * 0.00090224645) - (x3 * -0.0010207554),0.28619855744220113,-(-0.0010207554)*x3 + Abs(x3)*0.00090224645,PySRFunction(X=>-(-0.0010207554)*x3 + Abs(x3)*0.00090224645)
9,0.0010933107,((x5 - (x3 * x2)) * -0.0014465414) - -0.049483053,0.17121140842766266,(-x2*x3 + x5)*(-0.0014465414) - 1*(-0.049483053),PySRFunction(X=>(-x2*x3 + x5)*(-0.0014465414) - 1*(-0.049483053))
10,0.0009361716,((x5 - (x3 * 0.27800778)) - abs(x5)) * -0.0014152937,0.15516691826887075,(-0.27800778*x3 + x5 - Abs(x5))*(-0.0014152937),PySRFunction(X=>(-0.27800778*x3 + x5 - Abs(x5))*(-0.0014152937))
11,0.00093287125,sin(((x5 - (x3 * 0.27735597)) - abs(x5)) * -0.0014327075),0.0035315973951185633,sin((-0.27735597*x3 + x5 - Abs(x5))*(-0.0014327075)),PySRFunction(X=>sin((-0.27735597*x3 + x5 - Abs(x5))*(-0.0014327075)))
12,0.0008955632,((x5 - (x3 * 0.30009413)) - abs(6.0111923 - x5)) * -0.0013111088,0.04081440150413268,(-0.30009413*x3 + x5 - Abs(x5 - 6.0111923))*(-0.0013111088),PySRFunction(X=>(-0.30009413*x3 + x5 - Abs(x5 - 6.0111923))*(-0.0013111088))
13,0.0008935291,sin(((x5 - (x3 * 0.2990571)) - abs(6.0111947 - x5)) * -0.0013314972),0.0022738914883896405,sin((-0.2990571*x3 + x5 - Abs(x5 - 6.0111947))*(-0.0013314972)),PySRFunction(X=>sin((-0.2990571*x3 + x5 - Abs(x5 - 6.0111947))*(-0.0013314972)))
14,0.0007650673,((x5 - ((x6 * 0.021218607) - (x3 * -0.28160363))) - abs(x5)) * -0.0013773178,0.1552150988065103,(x5 - (-(-0.28160363)*x3 + x6*0.021218607) - Abs(x5))*(-0.0013773178),PySRFunction(X=>(x5 - (-(-0.28160363)*x3 + x6*0.021218607) - Abs(x5))*(-0.0013773178))
15,0.0007627298,sin(((x5 - (((x6 * -0.07629452) - x3) * -0.28213298)) - abs(x5)) * -0.0014025439),0.003059963687465619,sin((x5 - (-0.28213298)*(-x3 + x6*(-0.07629452)) - Abs(x5))*(-0.0014025439)),PySRFunction(X=>sin((x5 - (-0.28213298)*(-x3 + x6*(-0.07629452)) - Abs(x5))*(-0.0014025439)))
