Complexity,Loss,Equation
1,0.0005505432,"0.0007285676"
2,0.0005122796,"square(x12)"
3,0.00035120887,"x16 * 0.029428242"
5,0.0002504157,"(x0 - x16) * -0.034634367"
6,0.00024652097,"(sin(x0) - x16) * -0.03585409"
7,0.00015153071,"(-0.08008895 - x13) * (x0 - x16)"
8,0.00015016926,"(-0.08240879 - x13) * (x0 - sin(x16))"
9,0.00014782976,"(-0.07356308 - x13) * ((x0 - x16) / 0.8112848)"
10,0.0001389132,"((x11 - x10) - x13) * sin(x0 - x16)"
11,0.00012305248,"((x11 - x10) - x15) * (x0 - (x16 * 0.78573275))"
12,8.277935e-5,"abs(x12) + ((x16 + -2.51284) / (1.3542732 / (x13 + 0.072704755)))"
13,7.792233e-5,"((x16 + -1.7253487) / (1.0250971 / (x15 + 0.071435004))) + (x12 / -1.2495718)"
14,7.7904326e-5,"sin(((x16 + -1.7253487) / (1.0250971 / (x15 + 0.071435004))) + (x12 / -1.2495718))"
15,7.319566e-5,"(x12 / -1.2541883) + ((x16 + -2.0548444) / ((1.7230237 - x0) / (x13 + 0.07332914)))"
16,7.31819e-5,"(x12 / -1.2541883) + ((x16 + -2.0548444) / ((1.7230237 - sin(x0)) / (x13 + 0.07332914)))"
17,7.1998096e-5,"(x12 / -1.2451609) + ((x16 + -2.1588979) / (((1.7780907 - x0) / (x15 + 0.07308416)) + x16))"
18,7.1984694e-5,"((x16 + -2.1588979) / (((1.7780907 - x0) / (0.07308416 + sin(x15))) + x16)) + (x12 / -1.24463)"
19,7.114435e-5,"(x12 / -1.2691944) + ((x16 + -2.156125) / (x16 + (((1.7959868 - x0) / (x15 + 0.0730614)) + x16)))"
20,6.525937e-5,"(-0.39369357 / (x11 * ((abs(x0 + x16) + -1.8955142) / x12))) + (-2.2532306 / (1.269961 / (x13 + 0.07258204)))"
21,6.524242e-5,"(-0.39369357 / (x11 * ((abs(x0 + x16) + -1.8955142) / x12))) + sin(-2.2532306 / (1.269961 / (x13 + 0.07258204)))"
22,5.9959413e-5,"(-0.42862096 / ((((abs(x0) + -2.073965) + x16) * -0.33007023) / x12)) + (-2.2101655 / ((1.6504679 - x0) / (x15 + 0.0728381)))"
23,5.8579004e-5,"(-2.2099237 / ((1.6485039 - x0) / (x15 + 0.073104404))) + (-0.42905357 / (((abs(x16 + abs(x0)) + -2.075544) * -0.32741746) / x12))"
24,5.8093494e-5,"(-2.2157934 / ((1.6782117 - x0) / (x15 + 0.077112556))) + ((-0.41972512 / (((abs(x0) + (x16 + -2.0081782)) * -0.3517501) / x12)) + 0.007464508)"
25,5.651867e-5,"((-2.209963 / ((1.6779851 - x0) / (x15 + 0.07829925))) + (-0.42649505 / (((sin(x16) + abs(x0)) + -1.997886) * (-0.33941728 / x12)))) + 0.008709016"
26,5.631117e-5,"((-0.42789784 / ((-0.33745077 / x12) * (abs(sin(x16) + abs(x0)) + -1.9976094))) + 0.00780951) + (-2.2097578 / ((1.6779968 - x0) / (x15 + 0.078375354)))"
27,5.553642e-5,"((-2.1965249 / ((1.6594691 - x0) / (x13 + 0.07329976))) + (-0.4488241 / (((abs(sin(x16) + abs(x0)) + -2.0389147) / x12) * -0.34699395))) / exp(x12)"
28,5.4239867e-5,"((-0.4383957 / ((abs(abs(x0) + sin(x16)) + -2.0190995) * (-0.35856014 / x12))) + (-2.181923 / ((1.7007611 - x0) / (x15 + 0.07323613)))) / square(exp(x12))"
30,5.41857e-5,"((-0.43916008 / ((-2.028757 + abs(abs(x0) + sin(x16))) * (-0.3603143 / x12))) + (-2.1762218 / ((1.7096038 - x0) / (0.073303424 + x15)))) / square(exp(x12) * x14)"
