complexity,loss,equation,score,sympy_format,lambda_format
1,0.0005505432,0.0007285676,0.0,0.000728567600000000,PySRFunction(X=>0.000728567600000000)
2,0.0005122796,square(x12),0.07203485746366499,x12**2,PySRFunction(X=>x12**2)
3,0.00035120887,x16 * 0.029428242,0.37748945202831446,x16*0.029428242,PySRFunction(X=>x16*0.029428242)
5,0.0002504157,(x0 - x16) * -0.034634367,0.1691293903826763,(x0 - x16)*(-0.034634367),PySRFunction(X=>(x0 - x16)*(-0.034634367))
6,0.00024652097,(sin(x0) - x16) * -0.03585409,0.01567527608258411,(-x16 + sin(x0))*(-0.03585409),PySRFunction(X=>(-x16 + sin(x0))*(-0.03585409))
7,0.00015153071,(-0.08008895 - x13) * (x0 - x16),0.4866587501804171,(x0 - x16)*(-x13 - 0.08008895),PySRFunction(X=>(x0 - x16)*(-x13 - 0.08008895))
8,0.00015016926,(-0.08240879 - x13) * (x0 - sin(x16)),0.009025252746414355,(x0 - sin(x16))*(-x13 - 0.08240879),PySRFunction(X=>(x0 - sin(x16))*(-x13 - 0.08240879))
9,0.00014782976,(-0.07356308 - x13) * ((x0 - x16) / 0.8112848),0.015701716506252805,(x0 - x16)*(-x13 - 0.07356308)/0.8112848,PySRFunction(X=>(x0 - x16)*(-x13 - 0.07356308)/0.8112848)
10,0.0001389132,((x11 - x10) - x13) * sin(x0 - x16),0.062212063782829646,(-x10 + x11 - x13)*sin(x0 - x16),PySRFunction(X=>(-x10 + x11 - x13)*sin(x0 - x16))
11,0.00012305248,((x11 - x10) - x15) * (x0 - (x16 * 0.78573275)),0.1212383465996696,(x0 - 0.78573275*x16)*(-x10 + x11 - x15),PySRFunction(X=>(x0 - 0.78573275*x16)*(-x10 + x11 - x15))
12,8.277935e-05,abs(x12) + ((x16 + -2.51284) / (1.3542732 / (x13 + 0.072704755))),0.39643229689118387,Abs(x12) + (x16 - 2.51284)/((1.3542732/(x13 + 0.072704755))),PySRFunction(X=>Abs(x12) + (x16 - 2.51284)/((1.3542732/(x13 + 0.072704755))))
13,7.792233e-05,((x16 + -1.7253487) / (1.0250971 / (x15 + 0.071435004))) + (x12 / -1.2495718),0.060466072800284924,x12/(-1.2495718) + (x16 - 1.7253487)/((1.0250971/(x15 + 0.071435004))),PySRFunction(X=>x12/(-1.2495718) + (x16 - 1.7253487)/((1.0250971/(x15 + 0.071435004))))
14,7.7904326e-05,sin(((x16 + -1.7253487) / (1.0250971 / (x15 + 0.071435004))) + (x12 / -1.2495718)),0.00023107728218351285,sin(x12/(-1.2495718) + (x16 - 1.7253487)/((1.0250971/(x15 + 0.071435004)))),PySRFunction(X=>sin(x12/(-1.2495718) + (x16 - 1.7253487)/((1.0250971/(x15 + 0.071435004)))))
15,7.319566e-05,(x12 / -1.2541883) + ((x16 + -2.0548444) / ((1.7230237 - x0) / (x13 + 0.07332914))),0.0623453544770115,x12/(-1.2541883) + (x16 - 2.0548444)/(((1.7230237 - x0)/(x13 + 0.07332914))),PySRFunction(X=>x12/(-1.2541883) + (x16 - 2.0548444)/(((1.7230237 - x0)/(x13 + 0.07332914))))
16,7.31819e-05,(x12 / -1.2541883) + ((x16 + -2.0548444) / ((1.7230237 - sin(x0)) / (x13 + 0.07332914))),0.00018800696009043898,x12/(-1.2541883) + (x16 - 2.0548444)/(((1.7230237 - sin(x0))/(x13 + 0.07332914))),PySRFunction(X=>x12/(-1.2541883) + (x16 - 2.0548444)/(((1.7230237 - sin(x0))/(x13 + 0.07332914))))
17,7.1998096e-05,(x12 / -1.2451609) + ((x16 + -2.1588979) / (((1.7780907 - x0) / (x15 + 0.07308416)) + x16)),0.016308448410039922,x12/(-1.2451609) + (x16 - 2.1588979)/(x16 + (1.7780907 - x0)/(x15 + 0.07308416)),PySRFunction(X=>x12/(-1.2451609) + (x16 - 2.1588979)/(x16 + (1.7780907 - x0)/(x15 + 0.07308416)))
18,7.1984694e-05,((x16 + -2.1588979) / (((1.7780907 - x0) / (0.07308416 + sin(x15))) + x16)) + (x12 / -1.24463),0.00018616113826799277,x12/(-1.24463) + (x16 - 2.1588979)/(x16 + (1.7780907 - x0)/(sin(x15) + 0.07308416)),PySRFunction(X=>x12/(-1.24463) + (x16 - 2.1588979)/(x16 + (1.7780907 - x0)/(sin(x15) + 0.07308416)))
19,7.114435e-05,(x12 / -1.2691944) + ((x16 + -2.156125) / (x16 + (((1.7959868 - x0) / (x15 + 0.0730614)) + x16))),0.011742601398759394,x12/(-1.2691944) + (x16 - 2.156125)/(x16 + x16 + (1.7959868 - x0)/(x15 + 0.0730614)),PySRFunction(X=>x12/(-1.2691944) + (x16 - 2.156125)/(x16 + x16 + (1.7959868 - x0)/(x15 + 0.0730614)))
20,6.525937e-05,(-0.39369357 / (x11 * ((abs(x0 + x16) + -1.8955142) / x12))) + (-2.2532306 / (1.269961 / (x13 + 0.07258204))),0.0863412742592662,-(1.77425180773268*x13 + 0.128778815678926) - 0.39369357*x12/(x11*(Abs(x0 + x16) - 1.8955142)),PySRFunction(X=>-(1.77425180773268*x13 + 0.128778815678926) - 0.39369357*x12/(x11*(Abs(x0 + x16) - 1.8955142)))
21,6.524242e-05,(-0.39369357 / (x11 * ((abs(x0 + x16) + -1.8955142) / x12))) + sin(-2.2532306 / (1.269961 / (x13 + 0.07258204))),0.0002597665533219027,sin(-(1.77425180773268*x13 + 0.128778815678926)) - 0.39369357*x12/(x11*(Abs(x0 + x16) - 1.8955142)),PySRFunction(X=>sin(-(1.77425180773268*x13 + 0.128778815678926)) - 0.39369357*x12/(x11*(Abs(x0 + x16) - 1.8955142)))
22,5.9959413e-05,(-0.42862096 / ((((abs(x0) + -2.073965) + x16) * -0.33007023) / x12)) + (-2.2101655 / ((1.6504679 - x0) / (x15 + 0.0728381))),0.08444198754576553,-0.42862096*(-3.02965826393977*x12/(x16 + Abs(x0) - 2.073965)) - 2.2101655*(x15 + 0.0728381)/(1.6504679 - x0),PySRFunction(X=>-0.42862096*(-3.02965826393977*x12/(x16 + Abs(x0) - 2.073965)) - 2.2101655*(x15 + 0.0728381)/(1.6504679 - x0))
23,5.8579004e-05,(-2.2099237 / ((1.6485039 - x0) / (x15 + 0.073104404))) + (-0.42905357 / (((abs(x16 + abs(x0)) + -2.075544) * -0.32741746) / x12)),0.023291544461418366,-0.42905357*(-3.05420486738856*x12/(Abs(x16 + Abs(x0)) - 2.075544)) - 2.2099237*(x15 + 0.073104404)/(1.6485039 - x0),PySRFunction(X=>-0.42905357*(-3.05420486738856*x12/(Abs(x16 + Abs(x0)) - 2.075544)) - 2.2099237*(x15 + 0.073104404)/(1.6485039 - x0))
24,5.8093494e-05,(-2.2157934 / ((1.6782117 - x0) / (x15 + 0.077112556))) + ((-0.41972512 / (((abs(x0) + (x16 + -2.0081782)) * -0.3517501) / x12)) + 0.007464508),0.008322660623395784,0.007464508 - 0.41972512*(-2.84292740783869*x12/(x16 + Abs(x0) - 2.0081782)) - 2.2157934*(x15 + 0.077112556)/(1.6782117 - x0),PySRFunction(X=>0.007464508 - 0.41972512*(-2.84292740783869*x12/(x16 + Abs(x0) - 2.0081782)) - 2.2157934*(x15 + 0.077112556)/(1.6782117 - x0))
25,5.651867e-05,((-2.209963 / ((1.6779851 - x0) / (x15 + 0.07829925))) + (-0.42649505 / (((sin(x16) + abs(x0)) + -1.997886) * (-0.33941728 / x12)))) + 0.008709016,0.02748265219557512,0.008709016 - 0.42649505*(-2.94622595526073*x12/(sin(x16) + Abs(x0) - 1.997886)) - 2.209963*(x15 + 0.07829925)/(1.6779851 - x0),PySRFunction(X=>0.008709016 - 0.42649505*(-2.94622595526073*x12/(sin(x16) + Abs(x0) - 1.997886)) - 2.209963*(x15 + 0.07829925)/(1.6779851 - x0))
26,5.631117e-05,((-0.42789784 / ((-0.33745077 / x12) * (abs(sin(x16) + abs(x0)) + -1.9976094))) + 0.00780951) + (-2.2097578 / ((1.6779968 - x0) / (x15 + 0.078375354))),0.0036781091585352406,0.00780951 - 2.2097578*(x15 + 0.078375354)/(1.6779968 - x0) - 0.42789784*(-2.96339522354624*x12/(Abs(sin(x16) + Abs(x0)) - 1.9976094)),PySRFunction(X=>0.00780951 - 2.2097578*(x15 + 0.078375354)/(1.6779968 - x0) - 0.42789784*(-2.96339522354624*x12/(Abs(sin(x16) + Abs(x0)) - 1.9976094)))
27,5.553642e-05,((-2.1965249 / ((1.6594691 - x0) / (x13 + 0.07329976))) + (-0.4488241 / (((abs(sin(x16) + abs(x0)) + -2.0389147) / x12) * -0.34699395))) / exp(x12),0.01385389513475404,(-0.4488241*(-2.88189462669306*x12/(Abs(sin(x16) + Abs(x0)) - 2.0389147)) - 2.1965249*(x13 + 0.07329976)/(1.6594691 - x0))/exp(x12),PySRFunction(X=>(-0.4488241*(-2.88189462669306*x12/(Abs(sin(x16) + Abs(x0)) - 2.0389147)) - 2.1965249*(x13 + 0.07329976)/(1.6594691 - x0))/exp(x12))
28,5.4239867e-05,((-0.4383957 / ((abs(abs(x0) + sin(x16)) + -2.0190995) * (-0.35856014 / x12))) + (-2.181923 / ((1.7007611 - x0) / (x15 + 0.07323613)))) / square(exp(x12)),0.02362283018865371,(-0.4383957*(-2.78893242288448*x12/(Abs(sin(x16) + Abs(x0)) - 2.0190995)) - 2.181923*(x15 + 0.07323613)/(1.7007611 - x0))/exp(2*x12),PySRFunction(X=>(-0.4383957*(-2.78893242288448*x12/(Abs(sin(x16) + Abs(x0)) - 2.0190995)) - 2.181923*(x15 + 0.07323613)/(1.7007611 - x0))/exp(2*x12))
30,5.41857e-05,((-0.43916008 / ((-2.028757 + abs(abs(x0) + sin(x16))) * (-0.3603143 / x12))) + (-2.1762218 / ((1.7096038 - x0) / (0.073303424 + x15)))) / square(exp(x12) * x14),0.0004995777841428837,(-0.43916008*(-2.77535473890434*x12/(Abs(sin(x16) + Abs(x0)) - 2.028757)) - 2.1762218*(x15 + 0.073303424)/(1.7096038 - x0))/((x14**2*exp(2*x12))),PySRFunction(X=>(-0.43916008*(-2.77535473890434*x12/(Abs(sin(x16) + Abs(x0)) - 2.028757)) - 2.1762218*(x15 + 0.073303424)/(1.7096038 - x0))/((x14**2*exp(2*x12))))
