complexity,loss,equation,score,sympy_format,lambda_format
1,0.0031279686,-0.0010001413,0.0,-0.00100014130000000,PySRFunction(X=>-0.00100014130000000)
3,0.0024206007,x16 * -0.055415772,0.12818402588134212,x16*(-0.055415772),PySRFunction(X=>x16*(-0.055415772))
4,0.0024116894,sin(x16) * -0.060239054,0.00368823473646792,sin(x16)*(-0.060239054),PySRFunction(X=>sin(x16)*(-0.060239054))
5,0.0014660204,(x3 * 0.00046132074) - x12,0.49777597898661685,-x12 + x3*0.00046132074,PySRFunction(X=>-x12 + x3*0.00046132074)
6,0.0014638617,sin(x3 * 0.0004625327) - x12,0.0014735749200427595,-x12 + sin(x3*0.0004625327),PySRFunction(X=>-x12 + sin(x3*0.0004625327))
7,0.0009351297,((x3 - x5) * 0.0005048172) - x12,0.44814798659986155,-x12 + (x3 - x5)*0.0005048172,PySRFunction(X=>-x12 + (x3 - x5)*0.0005048172)
8,0.0009341348,sin((x3 - x5) * 0.00050619367) - x12,0.0010644829492512551,-x12 + sin((x3 - x5)*0.00050619367),PySRFunction(X=>-x12 + sin((x3 - x5)*0.00050619367))
9,0.0005297152,((x4 * -0.0012902233) + 0.25722522) - (x13 * -3.8804412),0.5672812496699355,-(-3.8804412)*x13 + x4*(-0.0012902233) + 0.25722522,PySRFunction(X=>-(-3.8804412)*x13 + x4*(-0.0012902233) + 0.25722522)
10,0.00052825076,(x4 * -0.0012964224) + sin(0.25971743 - (x13 * -3.9169488)),0.0027684084189236553,x4*(-0.0012964224) + sin(0.25971743 - (-3.9169488)*x13),PySRFunction(X=>x4*(-0.0012964224) + sin(0.25971743 - (-3.9169488)*x13))
11,0.00046465182,(x4 * -0.0012717627) + (0.25329813 - ((x9 * 4.2638206) * x13)),0.12828274428546554,-4.2638206*x13*x9 + x4*(-0.0012717627) + 0.25329813,PySRFunction(X=>-4.2638206*x13*x9 + x4*(-0.0012717627) + 0.25329813)
12,0.0004606234,(x4 * -0.001288925) - (((sin(x9) * x13) * 4.989375) + -0.25799298),0.00870756152621195,x4*(-0.001288925) - (sin(x9)*x13*4.989375 - 0.25799298),PySRFunction(X=>x4*(-0.001288925) - (sin(x9)*x13*4.989375 - 0.25799298))
13,0.00037160845,(x3 * 0.00080232526) + ((3.052207 - (x15 * -47.092445)) * (x2 + -0.2029294)),0.2147400432101956,x3*0.00080232526 + (3.052207 - (-47.092445)*x15)*(x2 - 0.2029294),PySRFunction(X=>x3*0.00080232526 + (3.052207 - (-47.092445)*x15)*(x2 - 0.2029294))
14,0.00036920438,sin((x3 * 0.0008056816) + ((x2 + -0.20212775) * (3.0363967 - (x15 * -46.891994)))),0.006490380139038226,sin(x3*0.0008056816 + (3.0363967 - (-46.891994)*x15)*(x2 - 0.20212775)),PySRFunction(X=>sin(x3*0.0008056816 + (3.0363967 - (-46.891994)*x15)*(x2 - 0.20212775)))
15,0.00035627742,(x3 * 0.00080101186) + ((x2 + -0.20228153) * (3.036372 - (x15 * (x0 + -47.093475)))),0.03564066900495446,x3*0.00080101186 + (3.036372 - x15*(x0 - 47.093475))*(x2 - 0.20228153),PySRFunction(X=>x3*0.00080101186 + (3.036372 - x15*(x0 - 47.093475))*(x2 - 0.20228153))
16,0.00035375022,sin((x3 * 0.00080101186) + ((x2 + -0.20228153) * (3.036372 - (x15 * (x0 + -47.093475))))),0.007118626176614761,sin(x3*0.00080101186 + (3.036372 - x15*(x0 - 47.093475))*(x2 - 0.20228153)),PySRFunction(X=>sin(x3*0.00080101186 + (3.036372 - x15*(x0 - 47.093475))*(x2 - 0.20228153)))
17,0.00034222644,((3.594829 - (x13 * -54.50112)) * (x2 + -0.21568324)) + (x3 * (0.00072311395 - (x15 * 0.0042915363))),0.033118447634604004,x3*(0.00072311395 - 0.0042915363*x15) + (3.594829 - (-54.50112)*x13)*(x2 - 0.21568324),PySRFunction(X=>x3*(0.00072311395 - 0.0042915363*x15) + (3.594829 - (-54.50112)*x13)*(x2 - 0.21568324))
18,0.00034084334,sin(((x2 + -0.21568324) * (3.594829 - (x13 * -54.50112))) + ((0.00072311395 - (x15 * 0.0042915363)) * x3)),0.004049664999706219,sin(x3*(0.00072311395 - 0.0042915363*x15) + (3.594829 - (-54.50112)*x13)*(x2 - 0.21568324)),PySRFunction(X=>sin(x3*(0.00072311395 - 0.0042915363*x15) + (3.594829 - (-54.50112)*x13)*(x2 - 0.21568324)))
19,0.0003209939,((0.0011873328 - ((x12 / 3.5948403) * -0.016510034)) * x3) + ((3.6262562 - (x13 * -54.498955)) * (x2 + -0.21978585)),0.06000083839688143,x3*(0.0011873328 - (-0.016510034)*x12/3.5948403) + (3.6262562 - (-54.498955)*x13)*(x2 - 0.21978585),PySRFunction(X=>x3*(0.0011873328 - (-0.016510034)*x12/3.5948403) + (3.6262562 - (-54.498955)*x13)*(x2 - 0.21978585))
20,0.00030782385,((x2 + -0.21870765) * (4.2552824 - (x13 * -65.196))) + ((x3 + ((x13 * square(x4)) * 0.22097993)) * 0.0006881575),0.04189441605113072,(4.2552824 - (-65.196)*x13)*(x2 - 0.21870765) + (x13*x4**2*0.22097993 + x3)*0.0006881575,PySRFunction(X=>(4.2552824 - (-65.196)*x13)*(x2 - 0.21870765) + (x13*x4**2*0.22097993 + x3)*0.0006881575)
21,0.00030618673,sin(((x2 + -0.21870765) * (4.2552824 - (x13 * -65.196))) + ((x3 + ((x13 * square(x4)) * 0.22097993)) * 0.0006881575)),0.005332559186365902,sin((4.2552824 - (-65.196)*x13)*(x2 - 0.21870765) + (x13*x4**2*0.22097993 + x3)*0.0006881575),PySRFunction(X=>sin((4.2552824 - (-65.196)*x13)*(x2 - 0.21870765) + (x13*x4**2*0.22097993 + x3)*0.0006881575))
22,0.00029724583,((x3 + (x13 * (x7 + (square(x4) * 0.19028693)))) * 0.00065946166) + ((x2 + -0.21048734) * (3.5654287 - (x13 * -54.49969))),0.02963563771966179,(3.5654287 - (-54.49969)*x13)*(x2 - 0.21048734) + (x13*(x4**2*0.19028693 + x7) + x3)*0.00065946166,PySRFunction(X=>(3.5654287 - (-54.49969)*x13)*(x2 - 0.21048734) + (x13*(x4**2*0.19028693 + x7) + x3)*0.00065946166)
23,0.00028588687,((3.5843487 - (x13 * -54.49827)) * (x2 + -0.20917179)) + ((x3 + (abs(x7 + (square(x4) * 0.18597557)) * x13)) * 0.00067681295),0.03896333375201043,(3.5843487 - (-54.49827)*x13)*(x2 - 0.20917179) + (x13*Abs(x4**2*0.18597557 + x7) + x3)*0.00067681295,PySRFunction(X=>(3.5843487 - (-54.49827)*x13)*(x2 - 0.20917179) + (x13*Abs(x4**2*0.18597557 + x7) + x3)*0.00067681295)
24,0.0002848797,sin(((3.5843487 - (x13 * -54.49827)) * (x2 + -0.20917179)) + ((x3 + (abs(x7 + (square(x4) * 0.18597557)) * x13)) * 0.00067681295)),0.0035291872310318877,sin((3.5843487 - (-54.49827)*x13)*(x2 - 0.20917179) + (x13*Abs(x4**2*0.18597557 + x7) + x3)*0.00067681295),PySRFunction(X=>sin((3.5843487 - (-54.49827)*x13)*(x2 - 0.20917179) + (x13*Abs(x4**2*0.18597557 + x7) + x3)*0.00067681295))
25,0.000275202,(((abs(x7 + ((0.22018974 + x12) * square(x4))) * x13) + x3) * 0.00071416714) + ((x2 + -0.21052392) * (3.5989149 - (x13 * -54.49669))),0.03456161241934759,(3.5989149 - (-54.49669)*x13)*(x2 - 0.21052392) + (x13*Abs(x4**2*(x12 + 0.22018974) + x7) + x3)*0.00071416714,PySRFunction(X=>(3.5989149 - (-54.49669)*x13)*(x2 - 0.21052392) + (x13*Abs(x4**2*(x12 + 0.22018974) + x7) + x3)*0.00071416714)
26,0.00027236098,((((((x5 * 4.3428397) + x7) + (square(x4) * 0.21294923)) * x13) + x3) * 0.000667454) + ((x2 + -0.21014409) * (3.6324697 - (x13 * -54.494484))),0.010377054687467887,(3.6324697 - (-54.494484)*x13)*(x2 - 0.21014409) + (x13*(x4**2*0.21294923 + x5*4.3428397 + x7) + x3)*0.000667454,PySRFunction(X=>(3.6324697 - (-54.494484)*x13)*(x2 - 0.21014409) + (x13*(x4**2*0.21294923 + x5*4.3428397 + x7) + x3)*0.000667454)
27,0.00026185322,((3.6435664 - (x13 * -54.49406)) * (x2 + -0.21035597)) + ((x3 + ((abs(x7 + (square(x4) * 0.19763015)) + (x5 * 4.343801)) * x13)) * 0.00068264885),0.03934420102061583,(3.6435664 - (-54.49406)*x13)*(x2 - 0.21035597) + (x13*(x5*4.343801 + Abs(x4**2*0.19763015 + x7)) + x3)*0.00068264885,PySRFunction(X=>(3.6435664 - (-54.49406)*x13)*(x2 - 0.21035597) + (x13*(x5*4.343801 + Abs(x4**2*0.19763015 + x7)) + x3)*0.00068264885)
28,0.00026090335,sin(((x3 + (x13 * ((x5 * 4.3423233) + abs(x7 + (square(x4) * 0.21575895))))) * 0.0006704244) + ((3.642832 - (x13 * -54.49371)) * (x2 + -0.20994844))),0.0036340855376620915,sin((3.642832 - (-54.49371)*x13)*(x2 - 0.20994844) + (x13*(x5*4.3423233 + Abs(x4**2*0.21575895 + x7)) + x3)*0.0006704244),PySRFunction(X=>sin((3.642832 - (-54.49371)*x13)*(x2 - 0.20994844) + (x13*(x5*4.3423233 + Abs(x4**2*0.21575895 + x7)) + x3)*0.0006704244))
